['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Haas F1 Team,GRO,2.0,HYPERSOFT,1,None,5.0,False,4,False
Haas F1 Team,GRO,3.0,HYPERSOFT,1,None,6.0,False,4,False
Haas F1 Team,GRO,4.0,HYPERSOFT,1,None,7.0,False,4,False
Haas F1 Team,GRO,5.0,HYPERSOFT,1,106573000000,8.0,False,1,False
Haas F1 Team,GRO,6.0,HYPERSOFT,1,107177000000,9.0,False,1,True
Haas F1 Team,GRO,7.0,HYPERSOFT,1,133568000000,10.0,False,26,False
Haas F1 Team,GRO,8.0,SUPERSOFT,2,144915000000,1.0,True,67,False
Haas F1 Team,GRO,9.0,SUPERSOFT,2,107035000000,2.0,True,1,True
Haas F1 Team,GRO,10.0,SUPERSOFT,2,107875000000,3.0,True,1,True
Haas F1 Team,GRO,11.0,SUPERSOFT,2,107224000000,4.0,True,1,True
Haas F1 Team,GRO,12.0,SUPERSOFT,2,107494000000,5.0,True,1,True
Haas F1 Team,GRO,13.0,SUPERSOFT,2,108093000000,6.0,True,1,True
Haas F1 Team,GRO,14.0,SUPERSOFT,2,108047000000,7.0,True,1,True
Haas F1 Team,GRO,15.0,SUPERSOFT,2,107581000000,8.0,True,1,True
Haas F1 Team,GRO,16.0,SUPERSOFT,2,107796000000,9.0,True,1,True
Haas F1 Team,GRO,17.0,SUPERSOFT,2,107730000000,10.0,True,1,True
Haas F1 Team,GRO,18.0,SUPERSOFT,2,107326000000,11.0,True,1,True
Haas F1 Team,GRO,19.0,SUPERSOFT,2,107373000000,12.0,True,1,True
Haas F1 Team,GRO,20.0,SUPERSOFT,2,107370000000,13.0,True,1,True
Haas F1 Team,GRO,21.0,SUPERSOFT,2,107771000000,14.0,True,1,True
Haas F1 Team,GRO,22.0,SUPERSOFT,2,107456000000,15.0,True,1,True
Haas F1 Team,GRO,23.0,SUPERSOFT,2,107773000000,16.0,True,1,True
Haas F1 Team,GRO,24.0,SUPERSOFT,2,106902000000,17.0,True,1,True
Haas F1 Team,GRO,25.0,SUPERSOFT,2,106911000000,18.0,True,1,True
Haas F1 Team,GRO,26.0,SUPERSOFT,2,107024000000,19.0,True,1,True
Haas F1 Team,GRO,27.0,SUPERSOFT,2,108081000000,20.0,True,1,True
Haas F1 Team,GRO,28.0,SUPERSOFT,2,106421000000,21.0,True,1,True
Haas F1 Team,GRO,29.0,SUPERSOFT,2,106299000000,22.0,True,1,True
Haas F1 Team,GRO,30.0,SUPERSOFT,2,108670000000,23.0,True,1,True
Haas F1 Team,GRO,31.0,SUPERSOFT,2,107451000000,24.0,True,1,True
Haas F1 Team,GRO,32.0,SUPERSOFT,2,105296000000,25.0,True,1,True
Haas F1 Team,GRO,33.0,SUPERSOFT,2,105377000000,26.0,True,1,True
Haas F1 Team,GRO,34.0,SUPERSOFT,2,104722000000,27.0,True,1,True
Haas F1 Team,GRO,35.0,SUPERSOFT,2,105137000000,28.0,True,1,True
Haas F1 Team,GRO,36.0,SUPERSOFT,2,105154000000,29.0,True,1,True
Haas F1 Team,GRO,37.0,SUPERSOFT,2,104973000000,30.0,True,1,True
Haas F1 Team,GRO,38.0,SUPERSOFT,2,104935000000,31.0,True,1,True
Haas F1 Team,GRO,39.0,SUPERSOFT,2,104952000000,32.0,True,1,True
Haas F1 Team,GRO,40.0,SUPERSOFT,2,104962000000,33.0,True,1,True
Haas F1 Team,GRO,41.0,SUPERSOFT,2,104455000000,34.0,True,1,True
Haas F1 Team,GRO,42.0,SUPERSOFT,2,104119000000,35.0,True,1,True
Haas F1 Team,GRO,43.0,SUPERSOFT,2,103918000000,36.0,True,1,True
Haas F1 Team,GRO,44.0,SUPERSOFT,2,105029000000,37.0,True,1,True
Haas F1 Team,GRO,45.0,SUPERSOFT,2,107019000000,38.0,True,1,True
Haas F1 Team,GRO,46.0,SUPERSOFT,2,104960000000,39.0,True,1,True
Haas F1 Team,GRO,47.0,SUPERSOFT,2,106518000000,40.0,True,2,True
Haas F1 Team,GRO,48.0,SUPERSOFT,2,108486000000,41.0,True,2,True
Haas F1 Team,GRO,49.0,SUPERSOFT,2,104553000000,42.0,True,1,True
Haas F1 Team,GRO,50.0,SUPERSOFT,2,103664000000,43.0,True,1,True
Haas F1 Team,GRO,51.0,SUPERSOFT,2,103782000000,44.0,True,1,True
Haas F1 Team,GRO,52.0,SUPERSOFT,2,103791000000,45.0,True,1,True
Haas F1 Team,GRO,53.0,SUPERSOFT,2,103364000000,46.0,True,1,True
Haas F1 Team,GRO,54.0,SUPERSOFT,2,103195000000,47.0,True,1,True
