['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Racing Point,OCO,2.0,HYPERSOFT,1,None,5.0,False,4,False
Racing Point,OCO,3.0,HYPERSOFT,1,None,6.0,False,4,False
Racing Point,OCO,4.0,HYPERSOFT,1,None,7.0,False,4,False
Racing Point,OCO,5.0,HYPERSOFT,1,107301000000,8.0,False,1,False
Racing Point,OCO,6.0,HYPERSOFT,1,108763000000,9.0,False,1,True
Racing Point,OCO,7.0,HYPERSOFT,1,133500000000,10.0,False,26,False
Racing Point,OCO,8.0,HYPERSOFT,1,132194000000,11.0,False,67,False
Racing Point,OCO,9.0,HYPERSOFT,1,105919000000,12.0,False,1,True
Racing Point,OCO,10.0,HYPERSOFT,1,106374000000,13.0,False,1,True
Racing Point,OCO,11.0,HYPERSOFT,1,106545000000,14.0,False,1,True
Racing Point,OCO,12.0,HYPERSOFT,1,107090000000,15.0,False,1,True
Racing Point,OCO,13.0,HYPERSOFT,1,107439000000,16.0,False,1,True
Racing Point,OCO,14.0,HYPERSOFT,1,107459000000,17.0,False,1,True
Racing Point,OCO,15.0,HYPERSOFT,1,107543000000,18.0,False,1,True
Racing Point,OCO,16.0,HYPERSOFT,1,109844000000,19.0,False,1,True
Racing Point,OCO,17.0,HYPERSOFT,1,108494000000,20.0,False,1,True
Racing Point,OCO,18.0,HYPERSOFT,1,108526000000,21.0,False,1,False
Racing Point,OCO,19.0,SUPERSOFT,2,124792000000,1.0,True,1,False
Racing Point,OCO,20.0,SUPERSOFT,2,105419000000,2.0,True,1,True
Racing Point,OCO,21.0,SUPERSOFT,2,106608000000,3.0,True,1,True
Racing Point,OCO,22.0,SUPERSOFT,2,106619000000,4.0,True,1,True
Racing Point,OCO,23.0,SUPERSOFT,2,106899000000,5.0,True,1,True
Racing Point,OCO,24.0,SUPERSOFT,2,106564000000,6.0,True,1,True
Racing Point,OCO,25.0,SUPERSOFT,2,106449000000,7.0,True,1,True
Racing Point,OCO,26.0,SUPERSOFT,2,107023000000,8.0,True,1,True
Racing Point,OCO,27.0,SUPERSOFT,2,107986000000,9.0,True,1,True
Racing Point,OCO,28.0,SUPERSOFT,2,106557000000,10.0,True,1,True
Racing Point,OCO,29.0,SUPERSOFT,2,106181000000,11.0,True,1,True
Racing Point,OCO,30.0,SUPERSOFT,2,106937000000,12.0,True,1,True
Racing Point,OCO,31.0,SUPERSOFT,2,106743000000,13.0,True,1,True
Racing Point,OCO,32.0,SUPERSOFT,2,104910000000,14.0,True,1,True
Racing Point,OCO,33.0,SUPERSOFT,2,104232000000,15.0,True,1,True
Racing Point,OCO,34.0,SUPERSOFT,2,104195000000,16.0,True,1,True
Racing Point,OCO,35.0,SUPERSOFT,2,104254000000,17.0,True,1,True
Racing Point,OCO,36.0,SUPERSOFT,2,104710000000,18.0,True,1,True
Racing Point,OCO,37.0,SUPERSOFT,2,105512000000,19.0,True,1,True
Racing Point,OCO,38.0,SUPERSOFT,2,104120000000,20.0,True,1,True
Racing Point,OCO,39.0,SUPERSOFT,2,104279000000,21.0,True,1,True
Racing Point,OCO,40.0,SUPERSOFT,2,103937000000,22.0,True,1,True
Racing Point,OCO,41.0,SUPERSOFT,2,103591000000,23.0,True,1,True
Racing Point,OCO,42.0,SUPERSOFT,2,103692000000,24.0,True,1,True
Racing Point,OCO,43.0,SUPERSOFT,2,103901000000,25.0,True,1,True
Racing Point,OCO,44.0,SUPERSOFT,2,104407000000,26.0,True,1,True
Racing Point,OCO,45.0,SUPERSOFT,2,None,27.0,True,1,False
