['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Racing Point,PER,2.0,ULTRASOFT,1,None,2.0,True,4,False
Racing Point,PER,3.0,ULTRASOFT,1,None,3.0,True,4,False
Racing Point,PER,4.0,ULTRASOFT,1,None,4.0,True,4,False
Racing Point,PER,5.0,ULTRASOFT,1,108054000000,5.0,True,1,False
Racing Point,PER,6.0,ULTRASOFT,1,107897000000,6.0,True,1,True
Racing Point,PER,7.0,ULTRASOFT,1,133849000000,7.0,True,26,False
Racing Point,PER,8.0,ULTRASOFT,1,131883000000,8.0,True,67,False
Racing Point,PER,9.0,ULTRASOFT,1,106079000000,9.0,True,1,True
Racing Point,PER,10.0,ULTRASOFT,1,106885000000,10.0,True,1,True
Racing Point,PER,11.0,ULTRASOFT,1,106673000000,11.0,True,1,True
Racing Point,PER,12.0,ULTRASOFT,1,106904000000,12.0,True,1,True
Racing Point,PER,13.0,ULTRASOFT,1,107239000000,13.0,True,1,True
Racing Point,PER,14.0,ULTRASOFT,1,107342000000,14.0,True,1,True
Racing Point,PER,15.0,ULTRASOFT,1,107530000000,15.0,True,1,True
Racing Point,PER,16.0,ULTRASOFT,1,107428000000,16.0,True,1,True
Racing Point,PER,17.0,ULTRASOFT,1,106562000000,17.0,True,1,True
Racing Point,PER,18.0,ULTRASOFT,1,106275000000,18.0,True,1,True
Racing Point,PER,19.0,ULTRASOFT,1,106040000000,19.0,True,1,True
Racing Point,PER,20.0,ULTRASOFT,1,106065000000,20.0,True,1,True
Racing Point,PER,21.0,ULTRASOFT,1,106188000000,21.0,True,1,True
Racing Point,PER,22.0,ULTRASOFT,1,105853000000,22.0,True,1,True
Racing Point,PER,23.0,ULTRASOFT,1,105992000000,23.0,True,1,True
Racing Point,PER,24.0,ULTRASOFT,1,106238000000,24.0,True,1,True
Racing Point,PER,25.0,ULTRASOFT,1,106301000000,25.0,True,1,True
Racing Point,PER,26.0,ULTRASOFT,1,108456000000,26.0,True,1,False
Racing Point,PER,27.0,SUPERSOFT,2,124774000000,1.0,True,1,False
Racing Point,PER,28.0,SUPERSOFT,2,103911000000,2.0,True,1,True
Racing Point,PER,29.0,SUPERSOFT,2,104354000000,3.0,True,1,True
Racing Point,PER,30.0,SUPERSOFT,2,104667000000,4.0,True,1,True
Racing Point,PER,31.0,SUPERSOFT,2,105093000000,5.0,True,1,True
Racing Point,PER,32.0,SUPERSOFT,2,104413000000,6.0,True,1,True
Racing Point,PER,33.0,SUPERSOFT,2,104665000000,7.0,True,1,True
Racing Point,PER,34.0,SUPERSOFT,2,104795000000,8.0,True,1,True
Racing Point,PER,35.0,SUPERSOFT,2,104987000000,9.0,True,1,True
Racing Point,PER,36.0,SUPERSOFT,2,104445000000,10.0,True,1,True
Racing Point,PER,37.0,SUPERSOFT,2,104362000000,11.0,True,1,True
Racing Point,PER,38.0,SUPERSOFT,2,104784000000,12.0,True,1,True
Racing Point,PER,39.0,SUPERSOFT,2,104899000000,13.0,True,1,True
Racing Point,PER,40.0,SUPERSOFT,2,104669000000,14.0,True,1,True
Racing Point,PER,41.0,SUPERSOFT,2,104216000000,15.0,True,1,True
Racing Point,PER,42.0,SUPERSOFT,2,104214000000,16.0,True,1,True
Racing Point,PER,43.0,SUPERSOFT,2,103873000000,17.0,True,1,True
Racing Point,PER,44.0,SUPERSOFT,2,103824000000,18.0,True,1,True
Racing Point,PER,45.0,SUPERSOFT,2,103983000000,19.0,True,1,True
Racing Point,PER,46.0,SUPERSOFT,2,105063000000,20.0,True,1,True
Racing Point,PER,47.0,SUPERSOFT,2,103722000000,21.0,True,1,True
Racing Point,PER,48.0,SUPERSOFT,2,104225000000,22.0,True,2,True
Racing Point,PER,49.0,SUPERSOFT,2,103794000000,23.0,True,2,True
Racing Point,PER,50.0,SUPERSOFT,2,103563000000,24.0,True,1,True
Racing Point,PER,51.0,SUPERSOFT,2,103020000000,25.0,True,1,True
Racing Point,PER,52.0,SUPERSOFT,2,103307000000,26.0,True,1,True
Racing Point,PER,53.0,SUPERSOFT,2,102816000000,27.0,True,1,True
Racing Point,PER,54.0,SUPERSOFT,2,102819000000,28.0,True,1,True
Racing Point,PER,55.0,SUPERSOFT,2,103445000000,29.0,True,1,True
