['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
McLaren,VAN,2.0,SUPERSOFT,1,None,2.0,True,4,False
McLaren,VAN,3.0,SUPERSOFT,1,None,3.0,True,4,False
McLaren,VAN,4.0,SUPERSOFT,1,None,4.0,True,4,False
McLaren,VAN,5.0,SUPERSOFT,1,109545000000,5.0,True,1,False
McLaren,VAN,6.0,SUPERSOFT,1,109092000000,6.0,True,1,True
McLaren,VAN,7.0,SUPERSOFT,1,135522000000,7.0,True,26,False
McLaren,VAN,8.0,SUPERSOFT,1,130457000000,8.0,True,67,False
McLaren,VAN,9.0,SUPERSOFT,1,107635000000,9.0,True,1,True
McLaren,VAN,10.0,SUPERSOFT,1,107693000000,10.0,True,1,True
McLaren,VAN,11.0,SUPERSOFT,1,107885000000,11.0,True,1,True
McLaren,VAN,12.0,SUPERSOFT,1,107811000000,12.0,True,1,True
McLaren,VAN,13.0,SUPERSOFT,1,107827000000,13.0,True,1,True
McLaren,VAN,14.0,SUPERSOFT,1,107923000000,14.0,True,1,True
McLaren,VAN,15.0,SUPERSOFT,1,107766000000,15.0,True,1,True
McLaren,VAN,16.0,SUPERSOFT,1,107652000000,16.0,True,1,True
McLaren,VAN,17.0,SUPERSOFT,1,107899000000,17.0,True,1,True
McLaren,VAN,18.0,SUPERSOFT,1,107504000000,18.0,True,1,True
McLaren,VAN,19.0,SUPERSOFT,1,107404000000,19.0,True,1,True
McLaren,VAN,20.0,SUPERSOFT,1,107669000000,20.0,True,1,True
McLaren,VAN,21.0,SUPERSOFT,1,107695000000,21.0,True,1,True
McLaren,VAN,22.0,SUPERSOFT,1,107224000000,22.0,True,1,True
McLaren,VAN,23.0,SUPERSOFT,1,107300000000,23.0,True,1,True
McLaren,VAN,24.0,SUPERSOFT,1,107101000000,24.0,True,1,True
McLaren,VAN,25.0,SUPERSOFT,1,107127000000,25.0,True,1,True
McLaren,VAN,26.0,SUPERSOFT,1,107422000000,26.0,True,1,True
McLaren,VAN,27.0,SUPERSOFT,1,107879000000,27.0,True,1,True
McLaren,VAN,28.0,SUPERSOFT,1,106293000000,28.0,True,1,True
McLaren,VAN,29.0,SUPERSOFT,1,106663000000,29.0,True,1,True
McLaren,VAN,30.0,SUPERSOFT,1,107472000000,30.0,True,1,True
McLaren,VAN,31.0,SUPERSOFT,1,108795000000,31.0,True,1,True
McLaren,VAN,32.0,SUPERSOFT,1,107487000000,32.0,True,1,True
McLaren,VAN,33.0,SUPERSOFT,1,106302000000,33.0,True,1,True
McLaren,VAN,34.0,SUPERSOFT,1,106990000000,34.0,True,1,True
McLaren,VAN,35.0,SUPERSOFT,1,109180000000,35.0,True,1,False
McLaren,VAN,36.0,ULTRASOFT,2,126769000000,1.0,True,1,False
McLaren,VAN,37.0,ULTRASOFT,2,105115000000,2.0,True,1,True
McLaren,VAN,38.0,ULTRASOFT,2,104890000000,3.0,True,1,True
McLaren,VAN,39.0,ULTRASOFT,2,105256000000,4.0,True,1,True
McLaren,VAN,40.0,ULTRASOFT,2,105164000000,5.0,True,1,True
McLaren,VAN,41.0,ULTRASOFT,2,104874000000,6.0,True,1,True
McLaren,VAN,42.0,ULTRASOFT,2,104590000000,7.0,True,1,True
McLaren,VAN,43.0,ULTRASOFT,2,104421000000,8.0,True,1,True
McLaren,VAN,44.0,ULTRASOFT,2,104812000000,9.0,True,1,True
McLaren,VAN,45.0,ULTRASOFT,2,105997000000,10.0,True,1,True
McLaren,VAN,46.0,ULTRASOFT,2,106428000000,11.0,True,1,True
McLaren,VAN,47.0,ULTRASOFT,2,105101000000,12.0,True,2,True
McLaren,VAN,48.0,ULTRASOFT,2,104391000000,13.0,True,2,True
McLaren,VAN,49.0,ULTRASOFT,2,104074000000,14.0,True,1,True
McLaren,VAN,50.0,ULTRASOFT,2,103893000000,15.0,True,1,True
McLaren,VAN,51.0,ULTRASOFT,2,104227000000,16.0,True,1,False
McLaren,VAN,52.0,ULTRASOFT,2,103718000000,17.0,True,1,True
McLaren,VAN,53.0,ULTRASOFT,2,103249000000,18.0,True,1,True
McLaren,VAN,54.0,ULTRASOFT,2,103945000000,19.0,True,1,True
