['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Ferrari,VET,2.0,ULTRASOFT,1,None,5.0,False,4,False
Ferrari,VET,3.0,ULTRASOFT,1,None,6.0,False,4,False
Ferrari,VET,4.0,ULTRASOFT,1,None,7.0,False,4,False
Ferrari,VET,5.0,ULTRASOFT,1,104870000000,8.0,False,1,False
Ferrari,VET,6.0,ULTRASOFT,1,105497000000,9.0,False,1,True
Ferrari,VET,7.0,ULTRASOFT,1,129512000000,10.0,False,26,False
Ferrari,VET,8.0,ULTRASOFT,1,135199000000,11.0,False,67,False
Ferrari,VET,9.0,ULTRASOFT,1,104412000000,12.0,False,1,True
Ferrari,VET,10.0,ULTRASOFT,1,105055000000,13.0,False,1,True
Ferrari,VET,11.0,ULTRASOFT,1,105372000000,14.0,False,1,True
Ferrari,VET,12.0,ULTRASOFT,1,105257000000,15.0,False,1,True
Ferrari,VET,13.0,ULTRASOFT,1,105338000000,16.0,False,1,True
Ferrari,VET,14.0,ULTRASOFT,1,104921000000,17.0,False,1,True
Ferrari,VET,15.0,ULTRASOFT,1,107097000000,18.0,False,1,False
Ferrari,VET,16.0,SUPERSOFT,2,125214000000,1.0,True,1,False
Ferrari,VET,17.0,SUPERSOFT,2,103602000000,2.0,True,1,True
Ferrari,VET,18.0,SUPERSOFT,2,103385000000,3.0,True,1,True
Ferrari,VET,19.0,SUPERSOFT,2,103775000000,4.0,True,1,True
Ferrari,VET,20.0,SUPERSOFT,2,103897000000,5.0,True,1,True
Ferrari,VET,21.0,SUPERSOFT,2,103818000000,6.0,True,1,True
Ferrari,VET,22.0,SUPERSOFT,2,103704000000,7.0,True,1,True
Ferrari,VET,23.0,SUPERSOFT,2,103848000000,8.0,True,1,True
Ferrari,VET,24.0,SUPERSOFT,2,103918000000,9.0,True,1,True
Ferrari,VET,25.0,SUPERSOFT,2,103949000000,10.0,True,1,True
Ferrari,VET,26.0,SUPERSOFT,2,104513000000,11.0,True,1,True
Ferrari,VET,27.0,SUPERSOFT,2,104762000000,12.0,True,1,True
Ferrari,VET,28.0,SUPERSOFT,2,103465000000,13.0,True,1,True
Ferrari,VET,29.0,SUPERSOFT,2,103017000000,14.0,True,1,True
Ferrari,VET,30.0,SUPERSOFT,2,103027000000,15.0,True,1,True
Ferrari,VET,31.0,SUPERSOFT,2,103435000000,16.0,True,1,True
Ferrari,VET,32.0,SUPERSOFT,2,103025000000,17.0,True,1,True
Ferrari,VET,33.0,SUPERSOFT,2,103269000000,18.0,True,1,True
Ferrari,VET,34.0,SUPERSOFT,2,103368000000,19.0,True,1,True
Ferrari,VET,35.0,SUPERSOFT,2,103441000000,20.0,True,1,True
Ferrari,VET,36.0,SUPERSOFT,2,103498000000,21.0,True,1,True
Ferrari,VET,37.0,SUPERSOFT,2,102648000000,22.0,True,1,True
Ferrari,VET,38.0,SUPERSOFT,2,102768000000,23.0,True,1,True
Ferrari,VET,39.0,SUPERSOFT,2,102858000000,24.0,True,1,True
Ferrari,VET,40.0,SUPERSOFT,2,102948000000,25.0,True,1,True
Ferrari,VET,41.0,SUPERSOFT,2,103067000000,26.0,True,1,True
Ferrari,VET,42.0,SUPERSOFT,2,102761000000,27.0,True,1,True
Ferrari,VET,43.0,SUPERSOFT,2,103100000000,28.0,True,1,True
Ferrari,VET,44.0,SUPERSOFT,2,102738000000,29.0,True,1,True
Ferrari,VET,45.0,SUPERSOFT,2,102580000000,30.0,True,1,True
Ferrari,VET,46.0,SUPERSOFT,2,102750000000,31.0,True,1,True
Ferrari,VET,47.0,SUPERSOFT,2,103732000000,32.0,True,1,True
Ferrari,VET,48.0,SUPERSOFT,2,102768000000,33.0,True,2,True
Ferrari,VET,49.0,SUPERSOFT,2,102787000000,34.0,True,2,True
Ferrari,VET,50.0,SUPERSOFT,2,102008000000,35.0,True,1,True
Ferrari,VET,51.0,SUPERSOFT,2,101450000000,36.0,True,1,True
Ferrari,VET,52.0,SUPERSOFT,2,102233000000,37.0,True,1,True
Ferrari,VET,53.0,SUPERSOFT,2,101488000000,38.0,True,1,True
Ferrari,VET,54.0,SUPERSOFT,2,100867000000,39.0,True,1,True
Ferrari,VET,55.0,SUPERSOFT,2,101296000000,40.0,True,1,True
