['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Mercedes,BOT,2,ULTRASOFT,1.0,93264000000,4.0,False,1,True
Mercedes,BOT,3,ULTRASOFT,1.0,92580000000,5.0,False,1,True
Mercedes,BOT,4,ULTRASOFT,1.0,91848000000,6.0,False,1,True
Mercedes,BOT,5,ULTRASOFT,1.0,91530000000,7.0,False,2,True
Mercedes,BOT,6,ULTRASOFT,1.0,91554000000,8.0,False,2,True
Mercedes,BOT,7,ULTRASOFT,1.0,91057000000,9.0,False,2,True
Mercedes,BOT,8,ULTRASOFT,1.0,91571000000,10.0,False,1,True
Mercedes,BOT,9,ULTRASOFT,1.0,90756000000,11.0,False,2,True
Mercedes,BOT,10,ULTRASOFT,1.0,90229000000,12.0,False,1,True
Mercedes,BOT,11,ULTRASOFT,1.0,90003000000,13.0,False,1,True
Mercedes,BOT,12,ULTRASOFT,1.0,90133000000,14.0,False,1,True
Mercedes,BOT,13,ULTRASOFT,1.0,90097000000,15.0,False,1,True
Mercedes,BOT,14,ULTRASOFT,1.0,90548000000,16.0,False,1,True
Mercedes,BOT,15,ULTRASOFT,1.0,90661000000,17.0,False,1,True
Mercedes,BOT,16,ULTRASOFT,1.0,90061000000,18.0,False,1,True
Mercedes,BOT,17,ULTRASOFT,1.0,90537000000,19.0,False,1,True
Mercedes,BOT,18,ULTRASOFT,1.0,90287000000,20.0,False,1,True
Mercedes,BOT,19,ULTRASOFT,1.0,91023000000,21.0,False,1,True
Mercedes,BOT,20,ULTRASOFT,1.0,90657000000,22.0,False,1,True
Mercedes,BOT,21,ULTRASOFT,1.0,89729000000,23.0,False,1,True
Mercedes,BOT,22,ULTRASOFT,1.0,91341000000,24.0,False,1,True
Mercedes,BOT,23,ULTRASOFT,1.0,90258000000,25.0,False,2,True
Mercedes,BOT,24,ULTRASOFT,1.0,91157000000,26.0,False,2,True
Mercedes,BOT,25,ULTRASOFT,1.0,106549000000,27.0,False,26,False
Mercedes,BOT,26,SUPERSOFT,2.0,128176000000,1.0,True,6,False
Mercedes,BOT,27,SUPERSOFT,2.0,124496000000,2.0,True,64,False
Mercedes,BOT,28,SUPERSOFT,2.0,122533000000,3.0,True,4,False
Mercedes,BOT,29,SUPERSOFT,2.0,103421000000,4.0,True,4,False
Mercedes,BOT,30,SUPERSOFT,2.0,116443000000,5.0,True,4,False
Mercedes,BOT,31,SUPERSOFT,2.0,128943000000,6.0,True,4,False
Mercedes,BOT,32,SUPERSOFT,2.0,91274000000,7.0,True,1,False
Mercedes,BOT,33,SUPERSOFT,2.0,89773000000,8.0,True,1,True
Mercedes,BOT,34,SUPERSOFT,2.0,89247000000,9.0,True,1,True
Mercedes,BOT,35,SUPERSOFT,2.0,88515000000,10.0,True,1,True
Mercedes,BOT,36,SUPERSOFT,2.0,88279000000,11.0,True,1,True
Mercedes,BOT,37,SUPERSOFT,2.0,88130000000,12.0,True,1,True
Mercedes,BOT,38,SUPERSOFT,2.0,88063000000,13.0,True,1,True
Mercedes,BOT,39,SUPERSOFT,2.0,88336000000,14.0,True,1,True
Mercedes,BOT,40,SUPERSOFT,2.0,88734000000,15.0,True,1,True
Mercedes,BOT,41,SUPERSOFT,2.0,87969000000,16.0,True,1,True
Mercedes,BOT,42,SUPERSOFT,2.0,87308000000,17.0,True,1,True
Mercedes,BOT,43,SUPERSOFT,2.0,88047000000,18.0,True,1,True
Mercedes,BOT,44,SUPERSOFT,2.0,88476000000,19.0,True,1,True
Mercedes,BOT,45,SUPERSOFT,2.0,88599000000,20.0,True,1,True
Mercedes,BOT,46,SUPERSOFT,2.0,88000000000,21.0,True,1,True
Mercedes,BOT,47,SUPERSOFT,2.0,87123000000,22.0,True,1,True
Mercedes,BOT,48,SUPERSOFT,2.0,88351000000,23.0,True,1,True
Mercedes,BOT,49,SUPERSOFT,2.0,88574000000,24.0,True,1,True
Mercedes,BOT,50,SUPERSOFT,2.0,88481000000,25.0,True,1,True
Mercedes,BOT,51,SUPERSOFT,2.0,87572000000,26.0,True,1,True
Mercedes,BOT,52,SUPERSOFT,2.0,87370000000,27.0,True,1,True
Mercedes,BOT,53,SUPERSOFT,2.0,87264000000,28.0,True,1,True
Mercedes,BOT,54,SUPERSOFT,2.0,87019000000,29.0,True,1,True
Mercedes,BOT,55,SUPERSOFT,2.0,87275000000,30.0,True,1,True
Mercedes,BOT,56,SUPERSOFT,2.0,87166000000,31.0,True,1,True
Mercedes,BOT,57,SUPERSOFT,2.0,87965000000,32.0,True,1,True
Mercedes,BOT,58,SUPERSOFT,2.0,89446000000,33.0,True,1,True
