['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Haas F1 Team,GRO,2,ULTRASOFT,1.0,91033000000,4.0,False,1,True
Haas F1 Team,GRO,3,ULTRASOFT,1.0,91150000000,5.0,False,1,True
Haas F1 Team,GRO,4,ULTRASOFT,1.0,90769000000,6.0,False,1,True
Haas F1 Team,GRO,5,ULTRASOFT,1.0,90694000000,7.0,False,2,True
Haas F1 Team,GRO,6,ULTRASOFT,1.0,91430000000,8.0,False,2,True
Haas F1 Team,GRO,7,ULTRASOFT,1.0,90898000000,9.0,False,2,True
Haas F1 Team,GRO,8,ULTRASOFT,1.0,90289000000,10.0,False,1,True
Haas F1 Team,GRO,9,ULTRASOFT,1.0,89914000000,11.0,False,1,True
Haas F1 Team,GRO,10,ULTRASOFT,1.0,91253000000,12.0,False,2,True
Haas F1 Team,GRO,11,ULTRASOFT,1.0,89628000000,13.0,False,1,True
Haas F1 Team,GRO,12,ULTRASOFT,1.0,89902000000,14.0,False,1,True
Haas F1 Team,GRO,13,ULTRASOFT,1.0,89713000000,15.0,False,1,True
Haas F1 Team,GRO,14,ULTRASOFT,1.0,89908000000,16.0,False,1,True
Haas F1 Team,GRO,15,ULTRASOFT,1.0,90250000000,17.0,False,1,True
Haas F1 Team,GRO,16,ULTRASOFT,1.0,90026000000,18.0,False,1,True
Haas F1 Team,GRO,17,ULTRASOFT,1.0,89913000000,19.0,False,1,True
Haas F1 Team,GRO,18,ULTRASOFT,1.0,90167000000,20.0,False,1,True
Haas F1 Team,GRO,19,ULTRASOFT,1.0,90274000000,21.0,False,1,True
Haas F1 Team,GRO,20,ULTRASOFT,1.0,89926000000,22.0,False,1,True
Haas F1 Team,GRO,21,ULTRASOFT,1.0,89613000000,23.0,False,1,True
Haas F1 Team,GRO,22,ULTRASOFT,1.0,89834000000,24.0,False,1,True
Haas F1 Team,GRO,23,ULTRASOFT,1.0,88805000000,25.0,False,2,True
Haas F1 Team,GRO,24,ULTRASOFT,1.0,109039000000,26.0,False,2,False
