['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Red Bull Racing,RIC,2,SUPERSOFT,1.0,91264000000,4.0,False,1,True
Red Bull Racing,RIC,3,SUPERSOFT,1.0,91162000000,5.0,False,1,True
Red Bull Racing,RIC,4,SUPERSOFT,1.0,90796000000,6.0,False,1,True
Red Bull Racing,RIC,5,SUPERSOFT,1.0,91690000000,7.0,False,2,True
Red Bull Racing,RIC,6,SUPERSOFT,1.0,90718000000,8.0,False,2,True
Red Bull Racing,RIC,7,SUPERSOFT,1.0,90559000000,9.0,False,2,True
Red Bull Racing,RIC,8,SUPERSOFT,1.0,89921000000,10.0,False,1,True
Red Bull Racing,RIC,9,SUPERSOFT,1.0,89654000000,11.0,False,1,True
Red Bull Racing,RIC,10,SUPERSOFT,1.0,91265000000,12.0,False,2,True
Red Bull Racing,RIC,11,SUPERSOFT,1.0,89605000000,13.0,False,1,True
Red Bull Racing,RIC,12,SUPERSOFT,1.0,89913000000,14.0,False,1,True
Red Bull Racing,RIC,13,SUPERSOFT,1.0,89684000000,15.0,False,1,True
Red Bull Racing,RIC,14,SUPERSOFT,1.0,89869000000,16.0,False,1,True
Red Bull Racing,RIC,15,SUPERSOFT,1.0,90310000000,17.0,False,1,True
Red Bull Racing,RIC,16,SUPERSOFT,1.0,89793000000,18.0,False,1,True
Red Bull Racing,RIC,17,SUPERSOFT,1.0,90190000000,19.0,False,1,True
Red Bull Racing,RIC,18,SUPERSOFT,1.0,89998000000,20.0,False,1,True
Red Bull Racing,RIC,19,SUPERSOFT,1.0,90222000000,21.0,False,1,True
Red Bull Racing,RIC,20,SUPERSOFT,1.0,90031000000,22.0,False,1,True
Red Bull Racing,RIC,21,SUPERSOFT,1.0,89608000000,23.0,False,1,True
Red Bull Racing,RIC,22,SUPERSOFT,1.0,89653000000,24.0,False,1,True
Red Bull Racing,RIC,23,SUPERSOFT,1.0,89328000000,25.0,False,2,True
Red Bull Racing,RIC,24,SUPERSOFT,1.0,89301000000,26.0,False,2,True
Red Bull Racing,RIC,25,SUPERSOFT,1.0,88127000000,27.0,False,2,True
Red Bull Racing,RIC,26,SUPERSOFT,1.0,137173000000,28.0,False,26,False
Red Bull Racing,RIC,27,SOFT,2.0,129560000000,1.0,True,64,False
Red Bull Racing,RIC,28,SOFT,2.0,121319000000,2.0,True,4,False
Red Bull Racing,RIC,29,SOFT,2.0,116632000000,3.0,True,4,False
Red Bull Racing,RIC,30,SOFT,2.0,119575000000,4.0,True,4,False
Red Bull Racing,RIC,31,SOFT,2.0,136895000000,5.0,True,4,False
Red Bull Racing,RIC,32,SOFT,2.0,88909000000,6.0,True,1,False
Red Bull Racing,RIC,33,SOFT,2.0,87984000000,7.0,True,1,True
Red Bull Racing,RIC,34,SOFT,2.0,87859000000,8.0,True,1,False
Red Bull Racing,RIC,35,SOFT,2.0,87907000000,9.0,True,1,True
Red Bull Racing,RIC,36,SOFT,2.0,87412000000,10.0,True,1,True
Red Bull Racing,RIC,37,SOFT,2.0,87444000000,11.0,True,1,True
Red Bull Racing,RIC,38,SOFT,2.0,87868000000,12.0,True,1,True
Red Bull Racing,RIC,39,SOFT,2.0,87534000000,13.0,True,1,True
Red Bull Racing,RIC,40,SOFT,2.0,87204000000,14.0,True,1,True
Red Bull Racing,RIC,41,SOFT,2.0,87110000000,15.0,True,1,True
Red Bull Racing,RIC,42,SOFT,2.0,86872000000,16.0,True,1,True
Red Bull Racing,RIC,43,SOFT,2.0,87478000000,17.0,True,1,True
Red Bull Racing,RIC,44,SOFT,2.0,87185000000,18.0,True,1,True
Red Bull Racing,RIC,45,SOFT,2.0,87166000000,19.0,True,1,True
Red Bull Racing,RIC,46,SOFT,2.0,87316000000,20.0,True,1,True
Red Bull Racing,RIC,47,SOFT,2.0,87392000000,21.0,True,1,True
Red Bull Racing,RIC,48,SOFT,2.0,87094000000,22.0,True,1,True
Red Bull Racing,RIC,49,SOFT,2.0,87527000000,23.0,True,1,True
Red Bull Racing,RIC,50,SOFT,2.0,86725000000,24.0,True,1,True
Red Bull Racing,RIC,51,SOFT,2.0,87606000000,25.0,True,1,True
Red Bull Racing,RIC,52,SOFT,2.0,87904000000,26.0,True,1,True
Red Bull Racing,RIC,53,SOFT,2.0,87355000000,27.0,True,1,True
Red Bull Racing,RIC,54,SOFT,2.0,85945000000,28.0,True,1,True
Red Bull Racing,RIC,55,SOFT,2.0,86165000000,29.0,True,1,True
Red Bull Racing,RIC,56,SOFT,2.0,86429000000,30.0,True,1,True
Red Bull Racing,RIC,57,SOFT,2.0,86348000000,31.0,True,1,True
Red Bull Racing,RIC,58,SOFT,2.0,87199000000,32.0,True,1,True
