['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Williams,STR,2,SUPERSOFT,1.0,93137000000,1.0,True,1,True
Williams,STR,3,SUPERSOFT,1.0,92654000000,2.0,True,1,True
Williams,STR,4,SUPERSOFT,1.0,92962000000,3.0,True,1,True
Williams,STR,5,SUPERSOFT,1.0,92273000000,4.0,True,2,True
Williams,STR,6,SUPERSOFT,1.0,92517000000,5.0,True,2,True
Williams,STR,7,SUPERSOFT,1.0,91978000000,6.0,True,2,True
Williams,STR,8,SUPERSOFT,1.0,91658000000,7.0,True,1,True
Williams,STR,9,SUPERSOFT,1.0,91402000000,8.0,True,2,True
Williams,STR,10,SUPERSOFT,1.0,91088000000,9.0,True,1,True
Williams,STR,11,SUPERSOFT,1.0,91119000000,10.0,True,1,True
Williams,STR,12,SUPERSOFT,1.0,91798000000,11.0,True,1,True
Williams,STR,13,SUPERSOFT,1.0,90928000000,12.0,True,1,True
Williams,STR,14,SUPERSOFT,1.0,90834000000,13.0,True,1,True
Williams,STR,15,SUPERSOFT,1.0,91321000000,14.0,True,1,True
Williams,STR,16,SUPERSOFT,1.0,91349000000,15.0,True,1,True
Williams,STR,17,SUPERSOFT,1.0,91730000000,16.0,True,1,True
Williams,STR,18,SUPERSOFT,1.0,91254000000,17.0,True,1,True
Williams,STR,19,SUPERSOFT,1.0,90827000000,18.0,True,1,True
Williams,STR,20,SUPERSOFT,1.0,91010000000,19.0,True,1,True
Williams,STR,21,SUPERSOFT,1.0,90987000000,20.0,True,1,True
Williams,STR,22,SUPERSOFT,1.0,91016000000,21.0,True,1,True
Williams,STR,23,SUPERSOFT,1.0,90969000000,22.0,True,2,True
Williams,STR,24,SUPERSOFT,1.0,90955000000,23.0,True,2,True
Williams,STR,25,SUPERSOFT,1.0,120771000000,24.0,True,26,False
Williams,STR,26,SOFT,2.0,128343000000,1.0,True,6,False
Williams,STR,27,SOFT,2.0,122853000000,2.0,True,64,False
Williams,STR,28,SOFT,2.0,123853000000,3.0,True,4,False
Williams,STR,29,SOFT,2.0,112536000000,4.0,True,4,False
Williams,STR,30,ULTRASOFT,3.0,97353000000,1.0,True,4,False
Williams,STR,31,ULTRASOFT,3.0,112039000000,2.0,True,4,False
Williams,STR,32,ULTRASOFT,3.0,93234000000,3.0,True,1,False
Williams,STR,33,ULTRASOFT,3.0,90979000000,4.0,True,1,True
Williams,STR,34,ULTRASOFT,3.0,90407000000,5.0,True,1,True
Williams,STR,35,ULTRASOFT,3.0,90010000000,6.0,True,1,True
Williams,STR,36,ULTRASOFT,3.0,89699000000,7.0,True,1,True
Williams,STR,37,ULTRASOFT,3.0,90141000000,8.0,True,1,True
Williams,STR,38,ULTRASOFT,3.0,90200000000,9.0,True,1,True
Williams,STR,39,ULTRASOFT,3.0,90841000000,10.0,True,1,True
Williams,STR,40,ULTRASOFT,3.0,90418000000,11.0,True,1,True
Williams,STR,41,ULTRASOFT,3.0,89756000000,12.0,True,1,True
Williams,STR,42,ULTRASOFT,3.0,89498000000,13.0,True,1,True
Williams,STR,43,ULTRASOFT,3.0,89285000000,14.0,True,1,True
Williams,STR,44,ULTRASOFT,3.0,89556000000,15.0,True,1,True
Williams,STR,45,ULTRASOFT,3.0,89674000000,16.0,True,1,True
Williams,STR,46,ULTRASOFT,3.0,89303000000,17.0,True,1,True
Williams,STR,47,ULTRASOFT,3.0,89115000000,18.0,True,1,True
Williams,STR,48,ULTRASOFT,3.0,88858000000,19.0,True,1,True
Williams,STR,49,ULTRASOFT,3.0,88674000000,20.0,True,1,True
Williams,STR,50,ULTRASOFT,3.0,89299000000,21.0,True,1,True
Williams,STR,51,ULTRASOFT,3.0,89231000000,22.0,True,1,True
Williams,STR,52,ULTRASOFT,3.0,89410000000,23.0,True,1,True
Williams,STR,53,ULTRASOFT,3.0,90935000000,24.0,True,1,True
Williams,STR,54,ULTRASOFT,3.0,88971000000,25.0,True,1,True
Williams,STR,55,ULTRASOFT,3.0,88511000000,26.0,True,1,True
Williams,STR,56,ULTRASOFT,3.0,88689000000,27.0,True,1,True
Williams,STR,57,ULTRASOFT,3.0,88638000000,28.0,True,1,True
Williams,STR,58,ULTRASOFT,3.0,91291000000,29.0,True,1,True
