['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Red Bull Racing,VER,2,SUPERSOFT,1.0,90942000000,4.0,False,1,True
Red Bull Racing,VER,3,SUPERSOFT,1.0,90904000000,5.0,False,1,True
Red Bull Racing,VER,4,SUPERSOFT,1.0,90812000000,6.0,False,1,True
Red Bull Racing,VER,5,SUPERSOFT,1.0,90477000000,7.0,False,2,True
Red Bull Racing,VER,6,SUPERSOFT,1.0,91259000000,8.0,False,2,True
Red Bull Racing,VER,7,SUPERSOFT,1.0,90460000000,9.0,False,2,True
Red Bull Racing,VER,8,SUPERSOFT,1.0,90251000000,10.0,False,1,True
Red Bull Racing,VER,9,SUPERSOFT,1.0,90444000000,11.0,False,1,True
Red Bull Racing,VER,10,SUPERSOFT,1.0,96502000000,12.0,False,2,True
Red Bull Racing,VER,11,SUPERSOFT,1.0,90207000000,13.0,False,1,True
Red Bull Racing,VER,12,SUPERSOFT,1.0,90074000000,14.0,False,1,True
Red Bull Racing,VER,13,SUPERSOFT,1.0,89917000000,15.0,False,1,True
Red Bull Racing,VER,14,SUPERSOFT,1.0,89650000000,16.0,False,1,True
Red Bull Racing,VER,15,SUPERSOFT,1.0,90095000000,17.0,False,1,True
Red Bull Racing,VER,16,SUPERSOFT,1.0,89988000000,18.0,False,1,True
Red Bull Racing,VER,17,SUPERSOFT,1.0,90141000000,19.0,False,1,True
Red Bull Racing,VER,18,SUPERSOFT,1.0,90015000000,20.0,False,1,True
Red Bull Racing,VER,19,SUPERSOFT,1.0,90169000000,21.0,False,1,True
Red Bull Racing,VER,20,SUPERSOFT,1.0,89941000000,22.0,False,1,True
Red Bull Racing,VER,21,SUPERSOFT,1.0,106361000000,23.0,False,1,False
Red Bull Racing,VER,22,SOFT,2.0,93466000000,1.0,True,1,False
Red Bull Racing,VER,23,SOFT,2.0,88436000000,2.0,True,2,True
Red Bull Racing,VER,24,SOFT,2.0,87955000000,3.0,True,2,True
Red Bull Racing,VER,25,SOFT,2.0,96424000000,4.0,True,26,False
Red Bull Racing,VER,26,SOFT,2.0,121221000000,5.0,True,6,False
Red Bull Racing,VER,27,SOFT,2.0,125786000000,6.0,True,64,False
Red Bull Racing,VER,28,SOFT,2.0,123267000000,7.0,True,4,False
Red Bull Racing,VER,29,SOFT,2.0,108521000000,8.0,True,4,False
Red Bull Racing,VER,30,SOFT,2.0,118528000000,9.0,True,4,False
Red Bull Racing,VER,31,SOFT,2.0,134396000000,10.0,True,4,False
Red Bull Racing,VER,32,SOFT,2.0,90266000000,11.0,True,1,False
Red Bull Racing,VER,33,SOFT,2.0,88940000000,12.0,True,1,True
Red Bull Racing,VER,34,SOFT,2.0,89221000000,13.0,True,1,True
Red Bull Racing,VER,35,SOFT,2.0,88564000000,14.0,True,1,True
Red Bull Racing,VER,36,SOFT,2.0,88315000000,15.0,True,1,True
Red Bull Racing,VER,37,SOFT,2.0,88760000000,16.0,True,1,True
Red Bull Racing,VER,38,SOFT,2.0,88210000000,17.0,True,1,True
Red Bull Racing,VER,39,SOFT,2.0,88288000000,18.0,True,1,True
Red Bull Racing,VER,40,SOFT,2.0,88244000000,19.0,True,1,True
Red Bull Racing,VER,41,SOFT,2.0,88048000000,20.0,True,1,True
Red Bull Racing,VER,42,SOFT,2.0,88015000000,21.0,True,1,True
Red Bull Racing,VER,43,SOFT,2.0,88029000000,22.0,True,1,True
Red Bull Racing,VER,44,SOFT,2.0,87980000000,23.0,True,1,True
Red Bull Racing,VER,45,SOFT,2.0,88124000000,24.0,True,1,True
Red Bull Racing,VER,46,SOFT,2.0,88482000000,25.0,True,1,True
Red Bull Racing,VER,47,SOFT,2.0,88006000000,26.0,True,1,True
Red Bull Racing,VER,48,SOFT,2.0,88352000000,27.0,True,1,True
Red Bull Racing,VER,49,SOFT,2.0,88045000000,28.0,True,1,True
Red Bull Racing,VER,50,SOFT,2.0,87635000000,29.0,True,1,True
Red Bull Racing,VER,51,SOFT,2.0,87396000000,30.0,True,1,True
Red Bull Racing,VER,52,SOFT,2.0,87403000000,31.0,True,1,True
Red Bull Racing,VER,53,SOFT,2.0,87834000000,32.0,True,1,True
Red Bull Racing,VER,54,SOFT,2.0,86880000000,33.0,True,1,True
Red Bull Racing,VER,55,SOFT,2.0,87148000000,34.0,True,1,True
Red Bull Racing,VER,56,SOFT,2.0,87062000000,35.0,True,1,True
Red Bull Racing,VER,57,SOFT,2.0,87042000000,36.0,True,1,True
Red Bull Racing,VER,58,SOFT,2.0,87646000000,37.0,True,1,True
