['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Toro Rosso,GAS,2,SUPERSOFT,1.0,73059000000,1.0,True,2,True
Toro Rosso,GAS,3,SUPERSOFT,1.0,71444000000,2.0,True,1,True
Toro Rosso,GAS,4,SUPERSOFT,1.0,71165000000,3.0,True,1,True
Toro Rosso,GAS,5,SUPERSOFT,1.0,72408000000,4.0,True,1,True
Toro Rosso,GAS,6,SUPERSOFT,1.0,72341000000,5.0,True,1,True
Toro Rosso,GAS,7,SUPERSOFT,1.0,71014000000,6.0,True,1,True
Toro Rosso,GAS,8,SUPERSOFT,1.0,71290000000,7.0,True,1,True
Toro Rosso,GAS,9,SUPERSOFT,1.0,71736000000,8.0,True,1,True
Toro Rosso,GAS,10,SUPERSOFT,1.0,71169000000,9.0,True,1,True
Toro Rosso,GAS,11,SUPERSOFT,1.0,70902000000,10.0,True,1,True
Toro Rosso,GAS,12,SUPERSOFT,1.0,71358000000,11.0,True,2,True
Toro Rosso,GAS,13,SUPERSOFT,1.0,70827000000,12.0,True,1,True
Toro Rosso,GAS,14,SUPERSOFT,1.0,75150000000,13.0,True,26,False
Toro Rosso,GAS,15,SUPERSOFT,1.0,94972000000,14.0,True,6,False
Toro Rosso,GAS,16,SOFT,2.0,87790000000,1.0,True,67,False
Toro Rosso,GAS,17,SOFT,2.0,69364000000,2.0,True,1,True
Toro Rosso,GAS,18,SOFT,2.0,69872000000,3.0,True,1,True
Toro Rosso,GAS,19,SOFT,2.0,70013000000,4.0,True,1,True
Toro Rosso,GAS,20,SOFT,2.0,69810000000,5.0,True,1,True
Toro Rosso,GAS,21,SOFT,2.0,69581000000,6.0,True,1,True
Toro Rosso,GAS,22,SOFT,2.0,69942000000,7.0,True,1,True
Toro Rosso,GAS,23,SOFT,2.0,69892000000,8.0,True,1,True
Toro Rosso,GAS,24,SOFT,2.0,69934000000,9.0,True,1,True
Toro Rosso,GAS,25,SOFT,2.0,69995000000,10.0,True,1,True
Toro Rosso,GAS,26,SOFT,2.0,69910000000,11.0,True,1,True
Toro Rosso,GAS,27,SOFT,2.0,69536000000,12.0,True,1,True
Toro Rosso,GAS,28,SOFT,2.0,69781000000,13.0,True,1,True
Toro Rosso,GAS,29,SOFT,2.0,69737000000,14.0,True,1,True
Toro Rosso,GAS,30,SOFT,2.0,69707000000,15.0,True,1,True
Toro Rosso,GAS,31,SOFT,2.0,69768000000,16.0,True,1,True
Toro Rosso,GAS,32,SOFT,2.0,69883000000,17.0,True,1,True
Toro Rosso,GAS,33,SOFT,2.0,69843000000,18.0,True,1,True
Toro Rosso,GAS,34,SOFT,2.0,70279000000,19.0,True,1,True
Toro Rosso,GAS,35,SOFT,2.0,70021000000,20.0,True,1,True
Toro Rosso,GAS,36,SOFT,2.0,69735000000,21.0,True,1,True
Toro Rosso,GAS,37,SOFT,2.0,69532000000,22.0,True,1,True
Toro Rosso,GAS,38,SOFT,2.0,69295000000,23.0,True,1,True
Toro Rosso,GAS,39,SOFT,2.0,69582000000,24.0,True,1,True
Toro Rosso,GAS,40,SOFT,2.0,69459000000,25.0,True,1,True
Toro Rosso,GAS,41,SOFT,2.0,69543000000,26.0,True,1,True
Toro Rosso,GAS,42,SOFT,2.0,69526000000,27.0,True,1,True
Toro Rosso,GAS,43,SOFT,2.0,69929000000,28.0,True,1,True
Toro Rosso,GAS,44,SOFT,2.0,70789000000,29.0,True,1,True
Toro Rosso,GAS,45,SOFT,2.0,69581000000,30.0,True,1,True
Toro Rosso,GAS,46,SOFT,2.0,69423000000,31.0,True,1,True
Toro Rosso,GAS,47,SOFT,2.0,69951000000,32.0,True,1,True
Toro Rosso,GAS,48,SOFT,2.0,71781000000,33.0,True,1,True
Toro Rosso,GAS,49,SOFT,2.0,70861000000,34.0,True,1,True
Toro Rosso,GAS,50,SOFT,2.0,69842000000,35.0,True,1,True
Toro Rosso,GAS,51,SOFT,2.0,69628000000,36.0,True,1,True
Toro Rosso,GAS,52,SOFT,2.0,69653000000,37.0,True,1,True
Toro Rosso,GAS,53,SOFT,2.0,69993000000,38.0,True,2,True
Toro Rosso,GAS,54,SOFT,2.0,69930000000,39.0,True,2,True
Toro Rosso,GAS,55,SOFT,2.0,69645000000,40.0,True,2,True
Toro Rosso,GAS,56,SOFT,2.0,69728000000,41.0,True,2,True
Toro Rosso,GAS,57,SOFT,2.0,69516000000,42.0,True,1,True
Toro Rosso,GAS,58,SOFT,2.0,69584000000,43.0,True,1,False
Toro Rosso,GAS,59,SOFT,2.0,70805000000,44.0,True,1,True
Toro Rosso,GAS,60,SOFT,2.0,69650000000,45.0,True,1,True
Toro Rosso,GAS,61,SOFT,2.0,70012000000,46.0,True,1,True
Toro Rosso,GAS,62,SOFT,2.0,70584000000,47.0,True,2,True
Toro Rosso,GAS,63,SOFT,2.0,70845000000,48.0,True,2,True
Toro Rosso,GAS,64,SOFT,2.0,71017000000,49.0,True,1,True
Toro Rosso,GAS,65,SOFT,2.0,72450000000,50.0,True,1,True
Toro Rosso,GAS,66,SOFT,2.0,70444000000,51.0,True,1,True
Toro Rosso,GAS,67,SOFT,2.0,70316000000,52.0,True,1,True
Toro Rosso,GAS,68,SOFT,2.0,70206000000,53.0,True,1,True
Toro Rosso,GAS,69,SOFT,2.0,70108000000,54.0,True,1,True
Toro Rosso,GAS,70,SOFT,2.0,70726000000,55.0,True,1,True
