['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Haas F1 Team,GRO,2,ULTRASOFT,1.0,71320000000,4.0,False,2,True
Haas F1 Team,GRO,3,ULTRASOFT,1.0,72422000000,5.0,False,1,True
Haas F1 Team,GRO,4,ULTRASOFT,1.0,70337000000,6.0,False,1,True
Haas F1 Team,GRO,5,ULTRASOFT,1.0,70155000000,7.0,False,1,True
Haas F1 Team,GRO,6,ULTRASOFT,1.0,70364000000,8.0,False,1,True
Haas F1 Team,GRO,7,ULTRASOFT,1.0,69937000000,9.0,False,1,True
Haas F1 Team,GRO,8,ULTRASOFT,1.0,69956000000,10.0,False,1,True
Haas F1 Team,GRO,9,ULTRASOFT,1.0,69996000000,11.0,False,1,True
Haas F1 Team,GRO,10,ULTRASOFT,1.0,70166000000,12.0,False,1,True
Haas F1 Team,GRO,11,ULTRASOFT,1.0,70262000000,13.0,False,1,True
Haas F1 Team,GRO,12,ULTRASOFT,1.0,70223000000,14.0,False,2,True
Haas F1 Team,GRO,13,ULTRASOFT,1.0,70448000000,15.0,False,2,True
Haas F1 Team,GRO,14,ULTRASOFT,1.0,70214000000,16.0,False,2,True
Haas F1 Team,GRO,15,ULTRASOFT,1.0,93593000000,17.0,False,26,False
Haas F1 Team,GRO,16,SOFT,2.0,92147000000,1.0,True,67,False
Haas F1 Team,GRO,17,SOFT,2.0,69071000000,2.0,True,1,True
Haas F1 Team,GRO,18,SOFT,2.0,69688000000,3.0,True,1,True
Haas F1 Team,GRO,19,SOFT,2.0,69690000000,4.0,True,1,False
Haas F1 Team,GRO,20,SOFT,2.0,69770000000,5.0,True,1,True
Haas F1 Team,GRO,21,SOFT,2.0,69864000000,6.0,True,1,False
Haas F1 Team,GRO,22,SOFT,2.0,69794000000,7.0,True,1,True
Haas F1 Team,GRO,23,SOFT,2.0,69665000000,8.0,True,1,True
Haas F1 Team,GRO,24,SOFT,2.0,69277000000,9.0,True,1,False
Haas F1 Team,GRO,25,SOFT,2.0,69558000000,10.0,True,1,True
Haas F1 Team,GRO,26,SOFT,2.0,69714000000,11.0,True,1,True
Haas F1 Team,GRO,27,SOFT,2.0,69509000000,12.0,True,1,True
Haas F1 Team,GRO,28,SOFT,2.0,69693000000,13.0,True,1,True
Haas F1 Team,GRO,29,SOFT,2.0,69477000000,14.0,True,1,True
Haas F1 Team,GRO,30,SOFT,2.0,69901000000,15.0,True,1,True
Haas F1 Team,GRO,31,SOFT,2.0,69577000000,16.0,True,1,True
Haas F1 Team,GRO,32,SOFT,2.0,69849000000,17.0,True,1,True
Haas F1 Team,GRO,33,SOFT,2.0,69726000000,18.0,True,1,True
Haas F1 Team,GRO,34,SOFT,2.0,69571000000,19.0,True,1,True
Haas F1 Team,GRO,35,SOFT,2.0,69522000000,20.0,True,1,True
Haas F1 Team,GRO,36,SOFT,2.0,69723000000,21.0,True,1,True
Haas F1 Team,GRO,37,SOFT,2.0,69342000000,22.0,True,1,True
Haas F1 Team,GRO,38,SOFT,2.0,69630000000,23.0,True,1,True
Haas F1 Team,GRO,39,SOFT,2.0,69462000000,24.0,True,1,True
Haas F1 Team,GRO,40,SOFT,2.0,69249000000,25.0,True,1,True
Haas F1 Team,GRO,41,SOFT,2.0,69600000000,26.0,True,1,True
Haas F1 Team,GRO,42,SOFT,2.0,69255000000,27.0,True,1,True
Haas F1 Team,GRO,43,SOFT,2.0,70091000000,28.0,True,1,True
Haas F1 Team,GRO,44,SOFT,2.0,69189000000,29.0,True,1,True
Haas F1 Team,GRO,45,SOFT,2.0,69487000000,30.0,True,1,True
Haas F1 Team,GRO,46,SOFT,2.0,69250000000,31.0,True,1,True
Haas F1 Team,GRO,47,SOFT,2.0,69399000000,32.0,True,1,True
Haas F1 Team,GRO,48,SOFT,2.0,69274000000,33.0,True,1,True
Haas F1 Team,GRO,49,SOFT,2.0,69298000000,34.0,True,1,True
Haas F1 Team,GRO,50,SOFT,2.0,69129000000,35.0,True,1,True
Haas F1 Team,GRO,51,SOFT,2.0,69337000000,36.0,True,1,True
Haas F1 Team,GRO,52,SOFT,2.0,69544000000,37.0,True,1,True
Haas F1 Team,GRO,53,SOFT,2.0,69449000000,38.0,True,2,True
Haas F1 Team,GRO,54,SOFT,2.0,69836000000,39.0,True,2,True
Haas F1 Team,GRO,55,SOFT,2.0,70110000000,40.0,True,2,True
Haas F1 Team,GRO,56,SOFT,2.0,69630000000,41.0,True,2,True
Haas F1 Team,GRO,57,SOFT,2.0,69354000000,42.0,True,2,True
Haas F1 Team,GRO,58,SOFT,2.0,69497000000,43.0,True,1,True
Haas F1 Team,GRO,59,SOFT,2.0,69641000000,44.0,True,1,True
Haas F1 Team,GRO,60,SOFT,2.0,71192000000,45.0,True,1,True
Haas F1 Team,GRO,61,SOFT,2.0,70085000000,46.0,True,1,True
Haas F1 Team,GRO,62,SOFT,2.0,72458000000,47.0,True,2,True
Haas F1 Team,GRO,63,SOFT,2.0,70161000000,48.0,True,2,True
Haas F1 Team,GRO,64,SOFT,2.0,69464000000,49.0,True,2,True
Haas F1 Team,GRO,65,SOFT,2.0,69325000000,50.0,True,1,True
Haas F1 Team,GRO,66,SOFT,2.0,69091000000,51.0,True,1,True
Haas F1 Team,GRO,67,SOFT,2.0,69081000000,52.0,True,1,True
Haas F1 Team,GRO,68,SOFT,2.0,69133000000,53.0,True,1,True
Haas F1 Team,GRO,69,SOFT,2.0,69508000000,54.0,True,1,True
Haas F1 Team,GRO,70,SOFT,2.0,69176000000,55.0,True,1,True
