['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Williams,STR,2,ULTRASOFT,1.0,73397000000,1.0,True,2,True
Williams,STR,3,ULTRASOFT,1.0,71657000000,2.0,True,1,True
Williams,STR,4,ULTRASOFT,1.0,71195000000,3.0,True,1,True
Williams,STR,5,ULTRASOFT,1.0,71036000000,4.0,True,1,True
Williams,STR,6,ULTRASOFT,1.0,71832000000,5.0,True,1,True
Williams,STR,7,ULTRASOFT,1.0,70974000000,6.0,True,1,True
Williams,STR,8,ULTRASOFT,1.0,70943000000,7.0,True,1,True
Williams,STR,9,ULTRASOFT,1.0,70763000000,8.0,True,1,True
Williams,STR,10,ULTRASOFT,1.0,70994000000,9.0,True,1,True
Williams,STR,11,ULTRASOFT,1.0,70858000000,10.0,True,1,True
Williams,STR,12,ULTRASOFT,1.0,71108000000,11.0,True,2,True
Williams,STR,13,ULTRASOFT,1.0,70866000000,12.0,True,1,True
Williams,STR,14,ULTRASOFT,1.0,70840000000,13.0,True,26,False
Williams,STR,15,ULTRASOFT,1.0,98829000000,14.0,True,6,False
Williams,STR,16,SOFT,2.0,87716000000,1.0,True,67,False
Williams,STR,17,SOFT,2.0,70033000000,2.0,True,1,True
Williams,STR,18,SOFT,2.0,70321000000,3.0,True,1,True
Williams,STR,19,SOFT,2.0,70362000000,4.0,True,1,True
Williams,STR,20,SOFT,2.0,70568000000,5.0,True,1,True
Williams,STR,21,SOFT,2.0,70265000000,6.0,True,1,True
Williams,STR,22,SOFT,2.0,70729000000,7.0,True,1,True
Williams,STR,23,SOFT,2.0,70362000000,8.0,True,1,True
Williams,STR,24,SOFT,2.0,70409000000,9.0,True,1,True
Williams,STR,25,SOFT,2.0,71751000000,10.0,True,1,True
Williams,STR,26,SOFT,2.0,70508000000,11.0,True,1,True
Williams,STR,27,SOFT,2.0,71376000000,12.0,True,1,True
Williams,STR,28,SOFT,2.0,71923000000,13.0,True,1,True
Williams,STR,29,SOFT,2.0,70630000000,14.0,True,1,True
Williams,STR,30,SOFT,2.0,70460000000,15.0,True,1,True
Williams,STR,31,SOFT,2.0,70215000000,16.0,True,1,True
Williams,STR,32,SOFT,2.0,70382000000,17.0,True,1,True
Williams,STR,33,SOFT,2.0,70077000000,18.0,True,1,True
Williams,STR,34,SOFT,2.0,71550000000,19.0,True,1,True
Williams,STR,35,SOFT,2.0,69971000000,20.0,True,1,True
Williams,STR,36,SOFT,2.0,71530000000,21.0,True,1,True
Williams,STR,37,SOFT,2.0,72090000000,22.0,True,1,True
Williams,STR,38,SOFT,2.0,72686000000,23.0,True,1,True
Williams,STR,39,SOFT,2.0,70171000000,24.0,True,1,True
Williams,STR,40,SOFT,2.0,71594000000,25.0,True,1,True
Williams,STR,41,SOFT,2.0,69858000000,26.0,True,1,True
Williams,STR,42,SOFT,2.0,69940000000,27.0,True,1,True
Williams,STR,43,SOFT,2.0,69741000000,28.0,True,1,True
Williams,STR,44,SOFT,2.0,69670000000,29.0,True,1,True
Williams,STR,45,SOFT,2.0,70807000000,30.0,True,1,True
Williams,STR,46,SOFT,2.0,70003000000,31.0,True,1,True
Williams,STR,47,SOFT,2.0,70405000000,32.0,True,1,True
Williams,STR,48,SOFT,2.0,71043000000,33.0,True,1,True
Williams,STR,49,SOFT,2.0,70107000000,34.0,True,1,True
Williams,STR,50,SOFT,2.0,69799000000,35.0,True,1,True
Williams,STR,51,SOFT,2.0,69843000000,36.0,True,1,True
Williams,STR,52,SOFT,2.0,69766000000,37.0,True,1,True
Williams,STR,53,SOFT,2.0,70092000000,38.0,True,2,True
Williams,STR,54,SOFT,2.0,70424000000,39.0,True,2,True
Williams,STR,55,SOFT,2.0,69803000000,40.0,True,2,True
Williams,STR,56,SOFT,2.0,70435000000,41.0,True,2,True
Williams,STR,57,SOFT,2.0,69549000000,42.0,True,1,True
Williams,STR,58,SOFT,2.0,69931000000,43.0,True,1,True
Williams,STR,59,SOFT,2.0,69922000000,44.0,True,1,True
Williams,STR,60,SOFT,2.0,69903000000,45.0,True,1,True
Williams,STR,61,SOFT,2.0,70076000000,46.0,True,1,True
Williams,STR,62,SOFT,2.0,70232000000,47.0,True,2,True
Williams,STR,63,SOFT,2.0,70492000000,48.0,True,2,True
Williams,STR,64,SOFT,2.0,69961000000,49.0,True,1,True
Williams,STR,65,SOFT,2.0,73806000000,50.0,True,1,False
Williams,STR,66,SUPERSOFT,3.0,87563000000,1.0,True,1,False
Williams,STR,67,SUPERSOFT,3.0,70777000000,2.0,True,1,True
Williams,STR,68,SUPERSOFT,3.0,69203000000,3.0,True,1,True
Williams,STR,69,SUPERSOFT,3.0,69229000000,4.0,True,1,True
