['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Sauber,ERI,2.0,SOFT,2.0,None,1.0,True,4,False
Sauber,ERI,3.0,SOFT,2.0,129002000000,2.0,True,4,False
Sauber,ERI,4.0,SOFT,2.0,None,3.0,True,4,False
Sauber,ERI,5.0,SOFT,2.0,None,4.0,True,4,False
Sauber,ERI,6.0,SOFT,2.0,122407000000,5.0,True,1,False
Sauber,ERI,7.0,SOFT,2.0,114873000000,6.0,True,1,True
Sauber,ERI,8.0,SOFT,2.0,112166000000,7.0,True,1,True
Sauber,ERI,9.0,SOFT,2.0,112089000000,8.0,True,1,True
Sauber,ERI,10.0,SOFT,2.0,111113000000,9.0,True,2,True
Sauber,ERI,11.0,SOFT,2.0,111071000000,10.0,True,2,True
Sauber,ERI,12.0,SOFT,2.0,111485000000,11.0,True,1,True
Sauber,ERI,13.0,SOFT,2.0,110347000000,12.0,True,1,True
Sauber,ERI,14.0,SOFT,2.0,110643000000,13.0,True,2,True
Sauber,ERI,15.0,SOFT,2.0,110741000000,14.0,True,2,True
Sauber,ERI,16.0,SOFT,2.0,111088000000,15.0,True,1,True
Sauber,ERI,17.0,SOFT,2.0,110218000000,16.0,True,1,True
Sauber,ERI,18.0,SOFT,2.0,136714000000,17.0,True,2,False
Sauber,ERI,19.0,ULTRASOFT,3.0,132841000000,1.0,True,1,False
Sauber,ERI,20.0,ULTRASOFT,3.0,111650000000,2.0,True,2,True
Sauber,ERI,21.0,ULTRASOFT,3.0,109886000000,3.0,True,1,True
Sauber,ERI,22.0,ULTRASOFT,3.0,109513000000,4.0,True,1,True
Sauber,ERI,23.0,ULTRASOFT,3.0,109665000000,5.0,True,1,True
Sauber,ERI,24.0,ULTRASOFT,3.0,109530000000,6.0,True,1,True
Sauber,ERI,25.0,ULTRASOFT,3.0,109642000000,7.0,True,1,True
Sauber,ERI,26.0,ULTRASOFT,3.0,113324000000,8.0,True,1,True
Sauber,ERI,27.0,ULTRASOFT,3.0,109494000000,9.0,True,1,True
Sauber,ERI,28.0,ULTRASOFT,3.0,108801000000,10.0,True,1,True
Sauber,ERI,29.0,ULTRASOFT,3.0,108885000000,11.0,True,1,True
Sauber,ERI,30.0,ULTRASOFT,3.0,109460000000,12.0,True,1,True
Sauber,ERI,31.0,ULTRASOFT,3.0,109239000000,13.0,True,1,True
Sauber,ERI,32.0,ULTRASOFT,3.0,112432000000,14.0,True,1,True
Sauber,ERI,33.0,ULTRASOFT,3.0,109143000000,15.0,True,1,True
Sauber,ERI,34.0,ULTRASOFT,3.0,109308000000,16.0,True,1,True
Sauber,ERI,35.0,ULTRASOFT,3.0,109850000000,17.0,True,1,True
Sauber,ERI,36.0,ULTRASOFT,3.0,119730000000,18.0,True,1,False
Sauber,ERI,37.0,ULTRASOFT,4.0,138240000000,1.0,True,1,False
Sauber,ERI,38.0,ULTRASOFT,4.0,122333000000,2.0,True,24,False
Sauber,ERI,39.0,ULTRASOFT,4.0,148577000000,3.0,True,4,False
Sauber,ERI,40.0,ULTRASOFT,5.0,136806000000,4.0,False,4,False
Sauber,ERI,41.0,ULTRASOFT,5.0,115803000000,5.0,False,4,False
Sauber,ERI,42.0,ULTRASOFT,5.0,126365000000,6.0,False,4,False
Sauber,ERI,43.0,ULTRASOFT,5.0,121246000000,7.0,False,4,False
Sauber,ERI,44.0,ULTRASOFT,5.0,118912000000,8.0,False,4,False
Sauber,ERI,45.0,ULTRASOFT,5.0,129834000000,9.0,False,4,False
Sauber,ERI,46.0,ULTRASOFT,5.0,None,10.0,False,4,False
Sauber,ERI,47.0,ULTRASOFT,5.0,None,11.0,False,4,False
Sauber,ERI,48.0,ULTRASOFT,5.0,114448000000,12.0,False,1,False
Sauber,ERI,49.0,ULTRASOFT,5.0,110531000000,13.0,False,2,True
Sauber,ERI,50.0,ULTRASOFT,5.0,109279000000,14.0,False,1,True
Sauber,ERI,51.0,ULTRASOFT,5.0,107925000000,15.0,False,1,True
