['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Toro Rosso,GAS,2.0,ULTRASOFT,1.0,None,1.0,True,4,False
Toro Rosso,GAS,3.0,ULTRASOFT,1.0,None,2.0,True,4,False
Toro Rosso,GAS,4.0,ULTRASOFT,1.0,None,3.0,True,4,False
Toro Rosso,GAS,5.0,ULTRASOFT,1.0,None,4.0,True,4,False
Toro Rosso,GAS,6.0,ULTRASOFT,1.0,117629000000,5.0,True,1,False
Toro Rosso,GAS,7.0,ULTRASOFT,1.0,113074000000,6.0,True,1,True
Toro Rosso,GAS,8.0,ULTRASOFT,1.0,112328000000,7.0,True,1,True
Toro Rosso,GAS,9.0,ULTRASOFT,1.0,113125000000,8.0,True,1,True
Toro Rosso,GAS,10.0,ULTRASOFT,1.0,112542000000,9.0,True,2,True
Toro Rosso,GAS,11.0,ULTRASOFT,1.0,113062000000,10.0,True,2,True
Toro Rosso,GAS,12.0,ULTRASOFT,1.0,115851000000,11.0,True,1,False
Toro Rosso,GAS,13.0,SOFT,2.0,128728000000,1.0,True,1,False
Toro Rosso,GAS,14.0,SOFT,2.0,110971000000,2.0,True,2,True
Toro Rosso,GAS,15.0,SOFT,2.0,111209000000,3.0,True,2,True
Toro Rosso,GAS,16.0,SOFT,2.0,111018000000,4.0,True,1,True
Toro Rosso,GAS,17.0,SOFT,2.0,110839000000,5.0,True,1,True
Toro Rosso,GAS,18.0,SOFT,2.0,111709000000,6.0,True,2,True
Toro Rosso,GAS,19.0,SOFT,2.0,110368000000,7.0,True,1,True
Toro Rosso,GAS,20.0,SOFT,2.0,110041000000,8.0,True,2,True
Toro Rosso,GAS,21.0,SOFT,2.0,109623000000,9.0,True,1,True
Toro Rosso,GAS,22.0,SOFT,2.0,109563000000,10.0,True,1,True
Toro Rosso,GAS,23.0,SOFT,2.0,109420000000,11.0,True,1,True
Toro Rosso,GAS,24.0,SOFT,2.0,111067000000,12.0,True,1,True
Toro Rosso,GAS,25.0,SOFT,2.0,111183000000,13.0,True,1,True
Toro Rosso,GAS,26.0,SOFT,2.0,109425000000,14.0,True,1,True
Toro Rosso,GAS,27.0,SOFT,2.0,108739000000,15.0,True,1,True
Toro Rosso,GAS,28.0,SOFT,2.0,108595000000,16.0,True,1,True
Toro Rosso,GAS,29.0,SOFT,2.0,110878000000,17.0,True,1,True
Toro Rosso,GAS,30.0,SOFT,2.0,108849000000,18.0,True,1,True
Toro Rosso,GAS,31.0,SOFT,2.0,108463000000,19.0,True,1,True
Toro Rosso,GAS,32.0,SOFT,2.0,108678000000,20.0,True,1,True
Toro Rosso,GAS,33.0,SOFT,2.0,109778000000,21.0,True,1,True
Toro Rosso,GAS,34.0,SOFT,2.0,108346000000,22.0,True,1,True
Toro Rosso,GAS,35.0,SOFT,2.0,110238000000,23.0,True,1,True
Toro Rosso,GAS,36.0,SOFT,2.0,109082000000,24.0,True,1,True
Toro Rosso,GAS,37.0,SOFT,2.0,110229000000,25.0,True,1,True
Toro Rosso,GAS,38.0,SOFT,2.0,108035000000,26.0,True,1,True
Toro Rosso,GAS,39.0,SOFT,2.0,130628000000,27.0,True,24,False
Toro Rosso,GAS,40.0,ULTRASOFT,3.0,None,1.0,True,4,False
Toro Rosso,GAS,41.0,ULTRASOFT,3.0,141291000000,2.0,True,4,False
Toro Rosso,GAS,42.0,ULTRASOFT,3.0,113652000000,3.0,True,4,False
Toro Rosso,GAS,43.0,ULTRASOFT,3.0,117453000000,4.0,True,4,False
Toro Rosso,GAS,44.0,ULTRASOFT,3.0,None,5.0,True,4,False
Toro Rosso,GAS,45.0,ULTRASOFT,3.0,None,6.0,True,4,False
Toro Rosso,GAS,46.0,ULTRASOFT,3.0,None,7.0,True,4,False
Toro Rosso,GAS,47.0,ULTRASOFT,3.0,None,8.0,True,4,False
Toro Rosso,GAS,48.0,ULTRASOFT,3.0,112992000000,9.0,True,1,False
Toro Rosso,GAS,49.0,ULTRASOFT,3.0,112263000000,10.0,True,2,True
Toro Rosso,GAS,50.0,ULTRASOFT,3.0,112559000000,11.0,True,1,True
Toro Rosso,GAS,51.0,ULTRASOFT,3.0,111493000000,12.0,True,1,True
