['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Haas F1 Team,GRO,2.0,SOFT,1.0,None,1.0,True,4,False
Haas F1 Team,GRO,3.0,SUPERSOFT,2.0,None,1.0,True,4,False
Haas F1 Team,GRO,4.0,SUPERSOFT,2.0,None,2.0,True,4,False
Haas F1 Team,GRO,5.0,SUPERSOFT,2.0,None,3.0,True,4,False
Haas F1 Team,GRO,6.0,SUPERSOFT,2.0,120579000000,4.0,True,1,False
Haas F1 Team,GRO,7.0,SUPERSOFT,2.0,113070000000,5.0,True,1,True
Haas F1 Team,GRO,8.0,SUPERSOFT,2.0,111149000000,6.0,True,1,True
Haas F1 Team,GRO,9.0,SUPERSOFT,2.0,109602000000,7.0,True,1,True
Haas F1 Team,GRO,10.0,SUPERSOFT,2.0,110506000000,8.0,True,2,True
Haas F1 Team,GRO,11.0,SUPERSOFT,2.0,110276000000,9.0,True,2,True
Haas F1 Team,GRO,12.0,SUPERSOFT,2.0,109710000000,10.0,True,1,True
Haas F1 Team,GRO,13.0,SUPERSOFT,2.0,109555000000,11.0,True,1,True
Haas F1 Team,GRO,14.0,SUPERSOFT,2.0,110546000000,12.0,True,1,True
Haas F1 Team,GRO,15.0,SUPERSOFT,2.0,109921000000,13.0,True,2,True
Haas F1 Team,GRO,16.0,SUPERSOFT,2.0,108814000000,14.0,True,1,True
Haas F1 Team,GRO,17.0,SUPERSOFT,2.0,108984000000,15.0,True,1,True
Haas F1 Team,GRO,18.0,SUPERSOFT,2.0,109027000000,16.0,True,2,True
Haas F1 Team,GRO,19.0,SUPERSOFT,2.0,108867000000,17.0,True,1,True
Haas F1 Team,GRO,20.0,SUPERSOFT,2.0,107945000000,18.0,True,2,True
Haas F1 Team,GRO,21.0,SUPERSOFT,2.0,107829000000,19.0,True,1,True
Haas F1 Team,GRO,22.0,SUPERSOFT,2.0,107547000000,20.0,True,1,True
Haas F1 Team,GRO,23.0,SUPERSOFT,2.0,108667000000,21.0,True,1,True
Haas F1 Team,GRO,24.0,SUPERSOFT,2.0,107750000000,22.0,True,1,True
Haas F1 Team,GRO,25.0,SUPERSOFT,2.0,107380000000,23.0,True,1,True
Haas F1 Team,GRO,26.0,SUPERSOFT,2.0,108000000000,24.0,True,1,True
Haas F1 Team,GRO,27.0,SUPERSOFT,2.0,108821000000,25.0,True,1,True
Haas F1 Team,GRO,28.0,SUPERSOFT,2.0,108064000000,26.0,True,1,True
Haas F1 Team,GRO,29.0,SUPERSOFT,2.0,108109000000,27.0,True,1,True
Haas F1 Team,GRO,30.0,SUPERSOFT,2.0,108036000000,28.0,True,1,True
Haas F1 Team,GRO,31.0,SUPERSOFT,2.0,107100000000,29.0,True,1,True
Haas F1 Team,GRO,32.0,SUPERSOFT,2.0,107492000000,30.0,True,1,True
Haas F1 Team,GRO,33.0,SUPERSOFT,2.0,107675000000,31.0,True,1,True
Haas F1 Team,GRO,34.0,SUPERSOFT,2.0,106880000000,32.0,True,1,True
Haas F1 Team,GRO,35.0,SUPERSOFT,2.0,107314000000,33.0,True,1,True
Haas F1 Team,GRO,36.0,SUPERSOFT,2.0,108407000000,34.0,True,1,True
Haas F1 Team,GRO,37.0,SUPERSOFT,2.0,108525000000,35.0,True,1,True
Haas F1 Team,GRO,38.0,SUPERSOFT,2.0,107200000000,36.0,True,1,True
Haas F1 Team,GRO,39.0,SUPERSOFT,2.0,107329000000,37.0,True,2,True
Haas F1 Team,GRO,40.0,SUPERSOFT,2.0,140263000000,38.0,True,24,False
Haas F1 Team,GRO,41.0,ULTRASOFT,3.0,None,1.0,True,4,False
Haas F1 Team,GRO,42.0,ULTRASOFT,3.0,124606000000,2.0,True,4,False
