['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Haas F1 Team,MAG,2.0,SOFT,2.0,None,1.0,True,4,False
Haas F1 Team,MAG,3.0,SOFT,2.0,143300000000,2.0,True,4,False
Haas F1 Team,MAG,4.0,SOFT,2.0,None,3.0,True,4,False
Haas F1 Team,MAG,5.0,SOFT,2.0,None,4.0,True,4,False
Haas F1 Team,MAG,6.0,SOFT,2.0,121793000000,5.0,True,1,False
Haas F1 Team,MAG,7.0,SOFT,2.0,114742000000,6.0,True,1,True
Haas F1 Team,MAG,8.0,SOFT,2.0,113417000000,7.0,True,1,False
Haas F1 Team,MAG,9.0,SOFT,2.0,111776000000,8.0,True,1,True
Haas F1 Team,MAG,10.0,SOFT,2.0,111571000000,9.0,True,2,True
Haas F1 Team,MAG,11.0,SOFT,2.0,113420000000,10.0,True,2,True
Haas F1 Team,MAG,12.0,SOFT,2.0,112033000000,11.0,True,1,True
Haas F1 Team,MAG,13.0,SOFT,2.0,112069000000,12.0,True,1,True
Haas F1 Team,MAG,14.0,SOFT,2.0,111718000000,13.0,True,2,True
Haas F1 Team,MAG,15.0,SOFT,2.0,112022000000,14.0,True,2,True
Haas F1 Team,MAG,16.0,SOFT,2.0,111488000000,15.0,True,1,True
Haas F1 Team,MAG,17.0,SOFT,2.0,110919000000,16.0,True,1,True
Haas F1 Team,MAG,18.0,SOFT,2.0,111019000000,17.0,True,2,True
Haas F1 Team,MAG,19.0,SOFT,2.0,109715000000,18.0,True,1,True
Haas F1 Team,MAG,20.0,SOFT,2.0,109696000000,19.0,True,2,True
Haas F1 Team,MAG,21.0,SOFT,2.0,110193000000,20.0,True,1,True
Haas F1 Team,MAG,22.0,SOFT,2.0,110064000000,21.0,True,1,True
Haas F1 Team,MAG,23.0,SOFT,2.0,109943000000,22.0,True,1,True
Haas F1 Team,MAG,24.0,SOFT,2.0,109966000000,23.0,True,1,True
Haas F1 Team,MAG,25.0,SOFT,2.0,109311000000,24.0,True,1,True
Haas F1 Team,MAG,26.0,SOFT,2.0,109312000000,25.0,True,1,True
Haas F1 Team,MAG,27.0,SOFT,2.0,109135000000,26.0,True,1,True
Haas F1 Team,MAG,28.0,SOFT,2.0,109608000000,27.0,True,1,True
Haas F1 Team,MAG,29.0,SOFT,2.0,109240000000,28.0,True,1,True
Haas F1 Team,MAG,30.0,SOFT,2.0,109220000000,29.0,True,1,True
Haas F1 Team,MAG,31.0,SOFT,2.0,109066000000,30.0,True,1,True
Haas F1 Team,MAG,32.0,SOFT,2.0,108348000000,31.0,True,1,True
Haas F1 Team,MAG,33.0,SOFT,2.0,110569000000,32.0,True,1,True
Haas F1 Team,MAG,34.0,SOFT,2.0,109202000000,33.0,True,1,True
Haas F1 Team,MAG,35.0,SOFT,2.0,108155000000,34.0,True,1,True
Haas F1 Team,MAG,36.0,SOFT,2.0,108201000000,35.0,True,1,True
Haas F1 Team,MAG,37.0,SOFT,2.0,108658000000,36.0,True,1,True
Haas F1 Team,MAG,38.0,SOFT,2.0,110105000000,37.0,True,1,True
Haas F1 Team,MAG,39.0,SOFT,2.0,127833000000,38.0,True,24,False
Haas F1 Team,MAG,40.0,ULTRASOFT,3.0,None,1.0,True,4,False
Haas F1 Team,MAG,41.0,ULTRASOFT,3.0,144036000000,2.0,True,4,False
Haas F1 Team,MAG,42.0,ULTRASOFT,3.0,114492000000,3.0,True,4,False
Haas F1 Team,MAG,43.0,ULTRASOFT,3.0,117521000000,4.0,True,4,False
Haas F1 Team,MAG,44.0,ULTRASOFT,3.0,None,5.0,True,4,False
Haas F1 Team,MAG,45.0,ULTRASOFT,3.0,None,6.0,True,4,False
Haas F1 Team,MAG,46.0,ULTRASOFT,3.0,None,7.0,True,4,False
Haas F1 Team,MAG,47.0,ULTRASOFT,3.0,None,8.0,True,4,False
Haas F1 Team,MAG,48.0,ULTRASOFT,3.0,121693000000,9.0,True,1,False
Haas F1 Team,MAG,49.0,ULTRASOFT,3.0,112037000000,10.0,True,2,True
Haas F1 Team,MAG,50.0,ULTRASOFT,3.0,110340000000,11.0,True,1,True
Haas F1 Team,MAG,51.0,ULTRASOFT,3.0,111293000000,12.0,True,1,True
