['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
McLaren,VAN,2.0,SUPERSOFT,1.0,None,1.0,True,4,False
McLaren,VAN,3.0,SUPERSOFT,1.0,None,2.0,True,4,False
McLaren,VAN,4.0,SUPERSOFT,1.0,None,3.0,True,4,False
McLaren,VAN,5.0,SUPERSOFT,1.0,None,4.0,True,4,False
McLaren,VAN,6.0,SUPERSOFT,1.0,120462000000,5.0,True,1,False
McLaren,VAN,7.0,SUPERSOFT,1.0,114305000000,6.0,True,1,True
McLaren,VAN,8.0,SUPERSOFT,1.0,113192000000,7.0,True,1,True
McLaren,VAN,9.0,SUPERSOFT,1.0,110922000000,8.0,True,1,True
McLaren,VAN,10.0,SUPERSOFT,1.0,111272000000,9.0,True,2,True
McLaren,VAN,11.0,SUPERSOFT,1.0,111993000000,10.0,True,2,True
McLaren,VAN,12.0,SUPERSOFT,1.0,110959000000,11.0,True,1,True
McLaren,VAN,13.0,SUPERSOFT,1.0,110245000000,12.0,True,1,True
McLaren,VAN,14.0,SUPERSOFT,1.0,109672000000,13.0,True,2,True
McLaren,VAN,15.0,SUPERSOFT,1.0,109870000000,14.0,True,2,True
McLaren,VAN,16.0,SUPERSOFT,1.0,110279000000,15.0,True,1,True
McLaren,VAN,17.0,SUPERSOFT,1.0,114173000000,16.0,True,1,False
McLaren,VAN,18.0,SOFT,2.0,127675000000,1.0,True,2,False
McLaren,VAN,19.0,SOFT,2.0,109301000000,2.0,True,1,True
McLaren,VAN,20.0,SOFT,2.0,108728000000,3.0,True,2,True
McLaren,VAN,21.0,SOFT,2.0,110181000000,4.0,True,1,True
McLaren,VAN,22.0,SOFT,2.0,109227000000,5.0,True,1,True
McLaren,VAN,23.0,SOFT,2.0,109041000000,6.0,True,1,True
McLaren,VAN,24.0,SOFT,2.0,109440000000,7.0,True,1,True
McLaren,VAN,25.0,SOFT,2.0,118878000000,8.0,True,1,False
McLaren,VAN,26.0,ULTRASOFT,3.0,126509000000,1.0,True,1,False
McLaren,VAN,27.0,ULTRASOFT,3.0,109087000000,2.0,True,1,True
McLaren,VAN,28.0,ULTRASOFT,3.0,108773000000,3.0,True,1,True
McLaren,VAN,29.0,ULTRASOFT,3.0,108991000000,4.0,True,1,True
McLaren,VAN,30.0,ULTRASOFT,3.0,111025000000,5.0,True,1,True
McLaren,VAN,31.0,ULTRASOFT,3.0,112840000000,6.0,True,1,True
McLaren,VAN,32.0,ULTRASOFT,3.0,109046000000,7.0,True,1,True
McLaren,VAN,33.0,ULTRASOFT,3.0,109369000000,8.0,True,1,True
McLaren,VAN,34.0,ULTRASOFT,3.0,109446000000,9.0,True,1,True
McLaren,VAN,35.0,ULTRASOFT,3.0,109145000000,10.0,True,1,True
McLaren,VAN,36.0,ULTRASOFT,3.0,108739000000,11.0,True,1,True
McLaren,VAN,37.0,ULTRASOFT,3.0,112176000000,12.0,True,1,True
McLaren,VAN,38.0,ULTRASOFT,3.0,111743000000,13.0,True,2,True
McLaren,VAN,39.0,ULTRASOFT,3.0,139187000000,14.0,True,24,False
McLaren,VAN,40.0,ULTRASOFT,4.0,None,1.0,True,4,False
McLaren,VAN,41.0,ULTRASOFT,4.0,128439000000,2.0,True,4,False
McLaren,VAN,42.0,ULTRASOFT,4.0,114094000000,3.0,True,4,False
McLaren,VAN,43.0,ULTRASOFT,4.0,120438000000,4.0,True,4,False
McLaren,VAN,44.0,ULTRASOFT,4.0,132863000000,5.0,True,4,False
McLaren,VAN,45.0,ULTRASOFT,4.0,None,6.0,True,4,False
McLaren,VAN,46.0,ULTRASOFT,4.0,None,7.0,True,4,False
McLaren,VAN,47.0,ULTRASOFT,5.0,None,4.0,False,4,False
McLaren,VAN,48.0,ULTRASOFT,5.0,111957000000,5.0,False,1,False
McLaren,VAN,49.0,ULTRASOFT,5.0,109873000000,6.0,False,2,True
McLaren,VAN,50.0,ULTRASOFT,5.0,107666000000,7.0,False,1,True
McLaren,VAN,51.0,ULTRASOFT,5.0,108219000000,8.0,False,1,True
