['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Ferrari,VET,2.0,nan,nan,None,nan,nan,4,False
Ferrari,VET,3.0,SUPERSOFT,1.0,None,5.0,False,4,False
Ferrari,VET,4.0,SUPERSOFT,1.0,None,6.0,False,4,False
Ferrari,VET,5.0,SUPERSOFT,1.0,None,7.0,False,4,False
Ferrari,VET,6.0,SUPERSOFT,1.0,111316000000,8.0,False,1,False
Ferrari,VET,7.0,SUPERSOFT,1.0,109587000000,9.0,False,1,True
Ferrari,VET,8.0,SUPERSOFT,1.0,108465000000,10.0,False,1,True
Ferrari,VET,9.0,SUPERSOFT,1.0,107845000000,11.0,False,1,True
Ferrari,VET,10.0,SUPERSOFT,1.0,107506000000,12.0,False,2,True
Ferrari,VET,11.0,SUPERSOFT,1.0,107240000000,13.0,False,2,True
Ferrari,VET,12.0,SUPERSOFT,1.0,106825000000,14.0,False,1,True
Ferrari,VET,13.0,SUPERSOFT,1.0,106864000000,15.0,False,1,True
Ferrari,VET,14.0,SUPERSOFT,1.0,107430000000,16.0,False,1,True
Ferrari,VET,15.0,SUPERSOFT,1.0,106722000000,17.0,False,2,True
Ferrari,VET,16.0,SUPERSOFT,1.0,107271000000,18.0,False,1,True
Ferrari,VET,17.0,SUPERSOFT,1.0,106911000000,19.0,False,1,True
Ferrari,VET,18.0,SUPERSOFT,1.0,106873000000,20.0,False,2,True
Ferrari,VET,19.0,SUPERSOFT,1.0,106475000000,21.0,False,1,True
Ferrari,VET,20.0,SUPERSOFT,1.0,106329000000,22.0,False,1,True
Ferrari,VET,21.0,SUPERSOFT,1.0,106508000000,23.0,False,2,True
Ferrari,VET,22.0,SUPERSOFT,1.0,106198000000,24.0,False,1,True
Ferrari,VET,23.0,SUPERSOFT,1.0,106554000000,25.0,False,1,True
Ferrari,VET,24.0,SUPERSOFT,1.0,107159000000,26.0,False,1,True
Ferrari,VET,25.0,SUPERSOFT,1.0,106702000000,27.0,False,1,True
Ferrari,VET,26.0,SUPERSOFT,1.0,107521000000,28.0,False,1,True
Ferrari,VET,27.0,SUPERSOFT,1.0,106621000000,29.0,False,1,True
Ferrari,VET,28.0,SUPERSOFT,1.0,106746000000,30.0,False,1,True
Ferrari,VET,29.0,SUPERSOFT,1.0,106507000000,31.0,False,1,True
Ferrari,VET,30.0,SUPERSOFT,1.0,110536000000,32.0,False,1,False
Ferrari,VET,31.0,SOFT,2.0,122645000000,1.0,True,1,False
Ferrari,VET,32.0,SOFT,2.0,106298000000,2.0,True,1,True
Ferrari,VET,33.0,SOFT,2.0,106280000000,3.0,True,1,True
Ferrari,VET,34.0,SOFT,2.0,106422000000,4.0,True,1,True
Ferrari,VET,35.0,SOFT,2.0,105839000000,5.0,True,1,True
Ferrari,VET,36.0,SOFT,2.0,105958000000,6.0,True,1,True
Ferrari,VET,37.0,SOFT,2.0,105866000000,7.0,True,1,True
Ferrari,VET,38.0,SOFT,2.0,105530000000,8.0,True,1,True
Ferrari,VET,39.0,SOFT,2.0,106396000000,9.0,True,1,True
Ferrari,VET,40.0,SOFT,2.0,121148000000,10.0,True,24,False
Ferrari,VET,41.0,ULTRASOFT,3.0,None,1.0,True,4,False
Ferrari,VET,42.0,ULTRASOFT,3.0,None,2.0,True,4,False
Ferrari,VET,43.0,ULTRASOFT,3.0,None,3.0,True,4,False
Ferrari,VET,44.0,ULTRASOFT,3.0,None,4.0,True,4,False
Ferrari,VET,45.0,ULTRASOFT,3.0,None,5.0,True,4,False
Ferrari,VET,46.0,ULTRASOFT,3.0,None,6.0,True,4,False
Ferrari,VET,47.0,ULTRASOFT,3.0,None,7.0,True,4,False
Ferrari,VET,48.0,ULTRASOFT,3.0,111976000000,8.0,True,1,False
Ferrari,VET,49.0,ULTRASOFT,3.0,108757000000,9.0,True,2,True
Ferrari,VET,50.0,ULTRASOFT,3.0,106344000000,10.0,True,2,True
Ferrari,VET,51.0,ULTRASOFT,3.0,106755000000,11.0,True,1,True
