['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Renault,HUL,2,SUPERSOFT,1.0,107648000000,4.0,False,26,False
Renault,HUL,3,SUPERSOFT,1.0,128657000000,5.0,False,6,False
Renault,HUL,4,SUPERSOFT,1.0,115439000000,6.0,False,67,False
Renault,HUL,5,SUPERSOFT,1.0,98243000000,7.0,False,2,True
Renault,HUL,6,SUPERSOFT,1.0,97673000000,8.0,False,2,True
Renault,HUL,7,SUPERSOFT,1.0,97722000000,9.0,False,1,True
Renault,HUL,8,SUPERSOFT,1.0,97599000000,10.0,False,1,True
Renault,HUL,9,SUPERSOFT,1.0,97730000000,11.0,False,1,True
Renault,HUL,10,SUPERSOFT,1.0,97628000000,12.0,False,2,True
Renault,HUL,11,SUPERSOFT,1.0,97531000000,13.0,False,2,True
Renault,HUL,12,SUPERSOFT,1.0,97476000000,14.0,False,1,False
Renault,HUL,13,SUPERSOFT,1.0,97388000000,15.0,False,1,False
Renault,HUL,14,SUPERSOFT,1.0,97317000000,16.0,False,1,True
Renault,HUL,15,SUPERSOFT,1.0,100010000000,17.0,False,1,False
Renault,HUL,16,SOFT,2.0,116761000000,1.0,True,1,False
Renault,HUL,17,SOFT,2.0,95586000000,2.0,True,1,True
Renault,HUL,18,SOFT,2.0,96097000000,3.0,True,1,True
Renault,HUL,19,SOFT,2.0,96282000000,4.0,True,1,True
Renault,HUL,20,SOFT,2.0,96753000000,5.0,True,1,True
Renault,HUL,21,SOFT,2.0,96507000000,6.0,True,1,True
Renault,HUL,22,SOFT,2.0,97170000000,7.0,True,1,True
Renault,HUL,23,SOFT,2.0,98564000000,8.0,True,1,True
Renault,HUL,24,SOFT,2.0,95761000000,9.0,True,1,True
Renault,HUL,25,SOFT,2.0,96025000000,10.0,True,1,True
Renault,HUL,26,SOFT,2.0,96361000000,11.0,True,1,True
Renault,HUL,27,SOFT,2.0,96639000000,12.0,True,2,True
Renault,HUL,28,SOFT,2.0,96147000000,13.0,True,1,True
Renault,HUL,29,SOFT,2.0,96380000000,14.0,True,1,True
Renault,HUL,30,SOFT,2.0,96407000000,15.0,True,1,True
Renault,HUL,31,SOFT,2.0,96385000000,16.0,True,1,True
Renault,HUL,32,SOFT,2.0,96667000000,17.0,True,1,True
Renault,HUL,33,SOFT,2.0,96967000000,18.0,True,1,True
Renault,HUL,34,SOFT,2.0,96877000000,19.0,True,1,True
Renault,HUL,35,SOFT,2.0,96952000000,20.0,True,1,True
Renault,HUL,36,SOFT,2.0,96906000000,21.0,True,1,True
Renault,HUL,37,SOFT,2.0,96873000000,22.0,True,1,True
Renault,HUL,38,SOFT,2.0,96691000000,23.0,True,1,True
Renault,HUL,39,SOFT,2.0,99445000000,24.0,True,1,False
Renault,HUL,40,SUPERSOFT,3.0,114638000000,4.0,False,2,False
Renault,HUL,41,SUPERSOFT,3.0,95508000000,5.0,False,1,True
Renault,HUL,42,SUPERSOFT,3.0,95438000000,6.0,False,1,True
Renault,HUL,43,SUPERSOFT,3.0,95078000000,7.0,False,1,True
Renault,HUL,44,SUPERSOFT,3.0,95208000000,8.0,False,1,True
Renault,HUL,45,SUPERSOFT,3.0,95111000000,9.0,False,1,True
Renault,HUL,46,SUPERSOFT,3.0,95120000000,10.0,False,1,True
Renault,HUL,47,SUPERSOFT,3.0,94940000000,11.0,False,1,True
Renault,HUL,48,SUPERSOFT,3.0,94808000000,12.0,False,1,True
Renault,HUL,49,SUPERSOFT,3.0,94985000000,13.0,False,1,True
Renault,HUL,50,SUPERSOFT,3.0,94667000000,14.0,False,1,True
Renault,HUL,51,SUPERSOFT,3.0,94827000000,15.0,False,1,True
Renault,HUL,52,SUPERSOFT,3.0,94862000000,16.0,False,1,True
Renault,HUL,53,SUPERSOFT,3.0,94915000000,17.0,False,1,True
Renault,HUL,54,SUPERSOFT,3.0,94957000000,18.0,False,1,True
Renault,HUL,55,SUPERSOFT,3.0,94726000000,19.0,False,1,True
Renault,HUL,56,SUPERSOFT,3.0,98195000000,20.0,False,1,True
Renault,HUL,57,SUPERSOFT,3.0,111151000000,21.0,False,1,True
