['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Haas F1 Team,MAG,2,SUPERSOFT,1.0,105054000000,4.0,False,26,False
Haas F1 Team,MAG,3,SUPERSOFT,1.0,129387000000,5.0,False,6,False
Haas F1 Team,MAG,4,SUPERSOFT,1.0,117549000000,6.0,False,67,False
Haas F1 Team,MAG,5,SUPERSOFT,1.0,98621000000,7.0,False,2,True
Haas F1 Team,MAG,6,SUPERSOFT,1.0,98061000000,8.0,False,2,True
Haas F1 Team,MAG,7,SUPERSOFT,1.0,97690000000,9.0,False,1,True
Haas F1 Team,MAG,8,SUPERSOFT,1.0,97600000000,10.0,False,1,True
Haas F1 Team,MAG,9,SUPERSOFT,1.0,97544000000,11.0,False,1,True
Haas F1 Team,MAG,10,SUPERSOFT,1.0,97464000000,12.0,False,2,True
Haas F1 Team,MAG,11,SUPERSOFT,1.0,97200000000,13.0,False,2,True
Haas F1 Team,MAG,12,SUPERSOFT,1.0,97247000000,14.0,False,1,False
Haas F1 Team,MAG,13,SUPERSOFT,1.0,99865000000,15.0,False,1,False
Haas F1 Team,MAG,14,SUPERSOFT,2.0,116348000000,4.0,False,1,False
Haas F1 Team,MAG,15,SUPERSOFT,2.0,97856000000,5.0,False,1,True
Haas F1 Team,MAG,16,SUPERSOFT,2.0,96129000000,6.0,False,1,True
Haas F1 Team,MAG,17,SUPERSOFT,2.0,96441000000,7.0,False,1,True
Haas F1 Team,MAG,18,SUPERSOFT,2.0,96515000000,8.0,False,1,True
Haas F1 Team,MAG,19,SUPERSOFT,2.0,96631000000,9.0,False,1,True
Haas F1 Team,MAG,20,SUPERSOFT,2.0,96835000000,10.0,False,1,True
Haas F1 Team,MAG,21,SUPERSOFT,2.0,96974000000,11.0,False,1,True
Haas F1 Team,MAG,22,SUPERSOFT,2.0,97324000000,12.0,False,1,True
Haas F1 Team,MAG,23,SUPERSOFT,2.0,96566000000,13.0,False,1,True
Haas F1 Team,MAG,24,SUPERSOFT,2.0,96327000000,14.0,False,1,True
Haas F1 Team,MAG,25,SUPERSOFT,2.0,96180000000,15.0,False,1,True
Haas F1 Team,MAG,26,SUPERSOFT,2.0,96723000000,16.0,False,1,True
Haas F1 Team,MAG,27,SUPERSOFT,2.0,99319000000,17.0,False,2,False
Haas F1 Team,MAG,28,SOFT,3.0,116090000000,1.0,True,1,False
Haas F1 Team,MAG,29,SOFT,3.0,94327000000,2.0,True,1,True
Haas F1 Team,MAG,30,SOFT,3.0,97108000000,3.0,True,1,True
Haas F1 Team,MAG,31,SOFT,3.0,96233000000,4.0,True,1,True
Haas F1 Team,MAG,32,SOFT,3.0,94788000000,5.0,True,1,True
Haas F1 Team,MAG,33,SOFT,3.0,95109000000,6.0,True,1,True
Haas F1 Team,MAG,34,SOFT,3.0,95315000000,7.0,True,1,True
Haas F1 Team,MAG,35,SOFT,3.0,95319000000,8.0,True,1,True
Haas F1 Team,MAG,36,SOFT,3.0,95359000000,9.0,True,1,True
Haas F1 Team,MAG,37,SOFT,3.0,95278000000,10.0,True,1,True
Haas F1 Team,MAG,38,SOFT,3.0,95072000000,11.0,True,1,True
Haas F1 Team,MAG,39,SOFT,3.0,95213000000,12.0,True,1,True
Haas F1 Team,MAG,40,SOFT,3.0,95185000000,13.0,True,2,True
Haas F1 Team,MAG,41,SOFT,3.0,95206000000,14.0,True,1,True
Haas F1 Team,MAG,42,SOFT,3.0,95174000000,15.0,True,1,True
Haas F1 Team,MAG,43,SOFT,3.0,95184000000,16.0,True,1,True
Haas F1 Team,MAG,44,SOFT,3.0,95137000000,17.0,True,1,True
Haas F1 Team,MAG,45,SOFT,3.0,95042000000,18.0,True,1,True
Haas F1 Team,MAG,46,SOFT,3.0,95227000000,19.0,True,1,True
Haas F1 Team,MAG,47,SOFT,3.0,95234000000,20.0,True,1,True
Haas F1 Team,MAG,48,SOFT,3.0,95409000000,21.0,True,1,True
Haas F1 Team,MAG,49,SOFT,3.0,95468000000,22.0,True,1,True
Haas F1 Team,MAG,50,SOFT,3.0,95479000000,23.0,True,1,True
Haas F1 Team,MAG,51,SOFT,3.0,96053000000,24.0,True,1,True
Haas F1 Team,MAG,52,SOFT,3.0,95860000000,25.0,True,1,True
Haas F1 Team,MAG,53,SOFT,3.0,96016000000,26.0,True,1,True
Haas F1 Team,MAG,54,SOFT,3.0,96090000000,27.0,True,1,True
Haas F1 Team,MAG,55,SOFT,3.0,96086000000,28.0,True,1,True
Haas F1 Team,MAG,56,SOFT,3.0,95717000000,29.0,True,1,True
Haas F1 Team,MAG,57,SOFT,3.0,97815000000,30.0,True,1,True
