['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Force India,OCO,2,SUPERSOFT,1.0,106582000000,4.0,False,26,False
Force India,OCO,3,SUPERSOFT,1.0,129505000000,5.0,False,6,False
Force India,OCO,4,SUPERSOFT,1.0,116201000000,6.0,False,67,False
Force India,OCO,5,SUPERSOFT,1.0,99566000000,7.0,False,2,True
Force India,OCO,6,SUPERSOFT,1.0,98422000000,8.0,False,2,True
Force India,OCO,7,SUPERSOFT,1.0,97666000000,9.0,False,1,True
Force India,OCO,8,SUPERSOFT,1.0,97915000000,10.0,False,1,True
Force India,OCO,9,SUPERSOFT,1.0,97908000000,11.0,False,1,True
Force India,OCO,10,SUPERSOFT,1.0,97790000000,12.0,False,2,True
Force India,OCO,11,SUPERSOFT,1.0,97979000000,13.0,False,2,True
Force India,OCO,12,SUPERSOFT,1.0,97951000000,14.0,False,1,False
Force India,OCO,13,SUPERSOFT,1.0,98140000000,15.0,False,1,False
Force India,OCO,14,SUPERSOFT,1.0,98504000000,16.0,False,1,True
Force India,OCO,15,SUPERSOFT,1.0,100991000000,17.0,False,1,False
Force India,OCO,16,MEDIUM,2.0,116678000000,1.0,True,1,False
Force India,OCO,17,MEDIUM,2.0,96366000000,2.0,True,1,True
Force India,OCO,18,MEDIUM,2.0,97894000000,3.0,True,1,True
Force India,OCO,19,MEDIUM,2.0,97935000000,4.0,True,1,True
Force India,OCO,20,MEDIUM,2.0,98683000000,5.0,True,1,True
Force India,OCO,21,MEDIUM,2.0,97027000000,6.0,True,1,True
Force India,OCO,22,MEDIUM,2.0,96886000000,7.0,True,1,True
Force India,OCO,23,MEDIUM,2.0,97287000000,8.0,True,1,True
Force India,OCO,24,MEDIUM,2.0,97167000000,9.0,True,1,True
Force India,OCO,25,MEDIUM,2.0,97351000000,10.0,True,1,True
Force India,OCO,26,MEDIUM,2.0,97559000000,11.0,True,1,True
Force India,OCO,27,MEDIUM,2.0,97236000000,12.0,True,2,True
Force India,OCO,28,MEDIUM,2.0,97491000000,13.0,True,1,True
Force India,OCO,29,MEDIUM,2.0,96988000000,14.0,True,1,True
Force India,OCO,30,MEDIUM,2.0,97182000000,15.0,True,1,True
Force India,OCO,31,MEDIUM,2.0,97013000000,16.0,True,1,True
Force India,OCO,32,MEDIUM,2.0,97595000000,17.0,True,1,True
Force India,OCO,33,MEDIUM,2.0,97049000000,18.0,True,1,True
Force India,OCO,34,MEDIUM,2.0,97218000000,19.0,True,1,True
Force India,OCO,35,MEDIUM,2.0,100968000000,20.0,True,1,False
Force India,OCO,36,SOFT,3.0,115134000000,1.0,True,1,False
Force India,OCO,37,SOFT,3.0,95196000000,2.0,True,1,True
Force India,OCO,38,SOFT,3.0,95043000000,3.0,True,1,True
Force India,OCO,39,SOFT,3.0,95480000000,4.0,True,2,True
Force India,OCO,40,SOFT,3.0,95714000000,5.0,True,1,True
Force India,OCO,41,SOFT,3.0,95986000000,6.0,True,1,True
Force India,OCO,42,SOFT,3.0,96073000000,7.0,True,1,True
Force India,OCO,43,SOFT,3.0,95965000000,8.0,True,1,True
Force India,OCO,44,SOFT,3.0,96313000000,9.0,True,1,True
Force India,OCO,45,SOFT,3.0,96054000000,10.0,True,1,True
Force India,OCO,46,SOFT,3.0,95934000000,11.0,True,1,True
Force India,OCO,47,SOFT,3.0,96176000000,12.0,True,1,True
Force India,OCO,48,SOFT,3.0,97723000000,13.0,True,1,True
Force India,OCO,49,SOFT,3.0,96111000000,14.0,True,1,True
Force India,OCO,50,SOFT,3.0,96399000000,15.0,True,1,True
Force India,OCO,51,SOFT,3.0,96351000000,16.0,True,1,True
Force India,OCO,52,SOFT,3.0,96513000000,17.0,True,1,True
Force India,OCO,53,SOFT,3.0,96808000000,18.0,True,1,True
Force India,OCO,54,SOFT,3.0,95475000000,19.0,True,1,True
Force India,OCO,55,SOFT,3.0,96011000000,20.0,True,1,True
Force India,OCO,56,SOFT,3.0,96455000000,21.0,True,1,True
