['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Force India,PER,2,SOFT,1.0,114751000000,1.0,True,26,False
Force India,PER,3,SOFT,1.0,127478000000,2.0,True,6,False
Force India,PER,4,SOFT,1.0,110919000000,3.0,True,67,False
Force India,PER,5,SOFT,1.0,97632000000,4.0,True,2,True
Force India,PER,6,SOFT,1.0,99659000000,5.0,True,2,True
Force India,PER,7,SOFT,1.0,97067000000,6.0,True,1,True
Force India,PER,8,SOFT,1.0,97341000000,7.0,True,1,True
Force India,PER,9,SOFT,1.0,101242000000,8.0,True,1,False
Force India,PER,10,MEDIUM,2.0,115936000000,1.0,True,2,False
Force India,PER,11,MEDIUM,2.0,95832000000,2.0,True,1,True
Force India,PER,12,MEDIUM,2.0,96156000000,3.0,True,1,False
Force India,PER,13,MEDIUM,2.0,98095000000,4.0,True,1,False
Force India,PER,14,MEDIUM,2.0,97326000000,5.0,True,1,True
Force India,PER,15,MEDIUM,2.0,97338000000,6.0,True,1,True
Force India,PER,16,MEDIUM,2.0,97520000000,7.0,True,1,True
Force India,PER,17,MEDIUM,2.0,98115000000,8.0,True,1,True
Force India,PER,18,MEDIUM,2.0,97997000000,9.0,True,1,True
Force India,PER,19,MEDIUM,2.0,98805000000,10.0,True,1,True
Force India,PER,20,MEDIUM,2.0,98119000000,11.0,True,1,True
Force India,PER,21,MEDIUM,2.0,97215000000,12.0,True,1,True
Force India,PER,22,MEDIUM,2.0,97294000000,13.0,True,1,True
Force India,PER,23,MEDIUM,2.0,97311000000,14.0,True,1,True
Force India,PER,24,MEDIUM,2.0,97485000000,15.0,True,1,True
Force India,PER,25,MEDIUM,2.0,97566000000,16.0,True,1,True
Force India,PER,26,MEDIUM,2.0,98571000000,17.0,True,2,True
Force India,PER,27,MEDIUM,2.0,97927000000,18.0,True,2,True
Force India,PER,28,MEDIUM,2.0,98569000000,19.0,True,1,True
Force India,PER,29,MEDIUM,2.0,98656000000,20.0,True,1,True
Force India,PER,30,MEDIUM,2.0,97740000000,21.0,True,1,True
Force India,PER,31,MEDIUM,2.0,97813000000,22.0,True,1,True
Force India,PER,32,MEDIUM,2.0,100363000000,23.0,True,1,False
Force India,PER,33,SUPERSOFT,3.0,115397000000,1.0,True,1,False
Force India,PER,34,SUPERSOFT,3.0,95247000000,2.0,True,1,True
Force India,PER,35,SUPERSOFT,3.0,95075000000,3.0,True,1,True
Force India,PER,36,SUPERSOFT,3.0,95198000000,4.0,True,1,True
Force India,PER,37,SUPERSOFT,3.0,95451000000,5.0,True,1,True
Force India,PER,38,SUPERSOFT,3.0,95333000000,6.0,True,1,True
Force India,PER,39,SUPERSOFT,3.0,95301000000,7.0,True,2,True
Force India,PER,40,SUPERSOFT,3.0,95332000000,8.0,True,1,True
Force India,PER,41,SUPERSOFT,3.0,95643000000,9.0,True,1,True
Force India,PER,42,SUPERSOFT,3.0,96115000000,10.0,True,1,True
Force India,PER,43,SUPERSOFT,3.0,96027000000,11.0,True,1,True
Force India,PER,44,SUPERSOFT,3.0,95753000000,12.0,True,1,True
Force India,PER,45,SUPERSOFT,3.0,99222000000,13.0,True,1,True
Force India,PER,46,SUPERSOFT,3.0,95739000000,14.0,True,1,True
Force India,PER,47,SUPERSOFT,3.0,95619000000,15.0,True,1,True
Force India,PER,48,SUPERSOFT,3.0,95918000000,16.0,True,1,True
Force India,PER,49,SUPERSOFT,3.0,95948000000,17.0,True,1,True
Force India,PER,50,SUPERSOFT,3.0,95877000000,18.0,True,1,True
Force India,PER,51,SUPERSOFT,3.0,96369000000,19.0,True,1,True
Force India,PER,52,SUPERSOFT,3.0,96512000000,20.0,True,1,True
Force India,PER,53,SUPERSOFT,3.0,96595000000,21.0,True,1,True
Force India,PER,54,SUPERSOFT,3.0,97929000000,22.0,True,1,True
Force India,PER,55,SUPERSOFT,3.0,98611000000,23.0,True,1,True
Force India,PER,56,SUPERSOFT,3.0,98383000000,24.0,True,1,True
