['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Ferrari,RAI,2,SUPERSOFT,1.0,103586000000,4.0,False,26,False
Ferrari,RAI,3,SUPERSOFT,1.0,128006000000,5.0,False,6,False
Ferrari,RAI,4,SUPERSOFT,1.0,117964000000,6.0,False,67,False
Ferrari,RAI,5,SUPERSOFT,1.0,95960000000,7.0,False,2,True
Ferrari,RAI,6,SUPERSOFT,1.0,95755000000,8.0,False,2,True
Ferrari,RAI,7,SUPERSOFT,1.0,95804000000,9.0,False,1,True
Ferrari,RAI,8,SUPERSOFT,1.0,96028000000,10.0,False,1,True
Ferrari,RAI,9,SUPERSOFT,1.0,96161000000,11.0,False,1,True
Ferrari,RAI,10,SUPERSOFT,1.0,96081000000,12.0,False,1,True
Ferrari,RAI,11,SUPERSOFT,1.0,96143000000,13.0,False,2,True
Ferrari,RAI,12,SUPERSOFT,1.0,96565000000,14.0,False,1,True
Ferrari,RAI,13,SUPERSOFT,1.0,96368000000,15.0,False,1,True
Ferrari,RAI,14,SUPERSOFT,1.0,96344000000,16.0,False,1,True
Ferrari,RAI,15,SUPERSOFT,1.0,96758000000,17.0,False,1,True
Ferrari,RAI,16,SUPERSOFT,1.0,96756000000,18.0,False,1,True
Ferrari,RAI,17,SUPERSOFT,1.0,96980000000,19.0,False,1,True
Ferrari,RAI,18,SUPERSOFT,1.0,99187000000,20.0,False,1,False
Ferrari,RAI,19,SUPERSOFT,1.0,114794000000,21.0,False,1,False
Ferrari,RAI,20,SOFT,2.0,94411000000,1.0,True,1,True
Ferrari,RAI,21,SOFT,2.0,94337000000,2.0,True,1,True
Ferrari,RAI,22,SOFT,2.0,94587000000,3.0,True,1,True
Ferrari,RAI,23,SOFT,2.0,94706000000,4.0,True,1,True
Ferrari,RAI,24,SOFT,2.0,94766000000,5.0,True,1,True
Ferrari,RAI,25,SOFT,2.0,94741000000,6.0,True,1,True
Ferrari,RAI,26,SOFT,2.0,94755000000,7.0,True,1,True
Ferrari,RAI,27,SOFT,2.0,94692000000,8.0,True,2,True
Ferrari,RAI,28,SOFT,2.0,94794000000,9.0,True,1,True
Ferrari,RAI,29,SOFT,2.0,94704000000,10.0,True,1,True
Ferrari,RAI,30,SOFT,2.0,94890000000,11.0,True,1,True
Ferrari,RAI,31,SOFT,2.0,95295000000,12.0,True,1,True
Ferrari,RAI,32,SOFT,2.0,94948000000,13.0,True,1,True
Ferrari,RAI,33,SOFT,2.0,95149000000,14.0,True,1,True
Ferrari,RAI,34,SOFT,2.0,97888000000,15.0,True,1,False
