['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Williams,SIR,2,SOFT,1.0,114985000000,1.0,True,26,False
Williams,SIR,3,SOFT,1.0,127036000000,2.0,True,6,False
Williams,SIR,4,SOFT,1.0,111385000000,3.0,True,67,False
Williams,SIR,5,SOFT,1.0,99520000000,4.0,True,2,True
Williams,SIR,6,SOFT,1.0,99266000000,5.0,True,2,True
Williams,SIR,7,SOFT,1.0,99472000000,6.0,True,1,True
Williams,SIR,8,SOFT,1.0,99236000000,7.0,True,1,True
Williams,SIR,9,SOFT,1.0,98916000000,8.0,True,1,True
Williams,SIR,10,SOFT,1.0,98682000000,9.0,True,2,True
Williams,SIR,11,SOFT,1.0,98073000000,10.0,True,1,True
Williams,SIR,12,SOFT,1.0,97953000000,11.0,True,1,False
Williams,SIR,13,SOFT,1.0,98039000000,12.0,True,1,False
Williams,SIR,14,SOFT,1.0,98515000000,13.0,True,1,True
Williams,SIR,15,SOFT,1.0,99007000000,14.0,True,1,True
Williams,SIR,16,SOFT,1.0,100043000000,15.0,True,1,True
Williams,SIR,17,SOFT,1.0,99416000000,16.0,True,1,True
Williams,SIR,18,SOFT,1.0,98682000000,17.0,True,1,True
Williams,SIR,19,SOFT,1.0,98571000000,18.0,True,1,True
Williams,SIR,20,SOFT,1.0,100980000000,19.0,True,1,True
Williams,SIR,21,SOFT,1.0,101213000000,20.0,True,1,True
Williams,SIR,22,SOFT,1.0,103477000000,21.0,True,1,False
Williams,SIR,23,MEDIUM,2.0,117826000000,1.0,True,1,False
Williams,SIR,24,MEDIUM,2.0,95857000000,2.0,True,1,True
Williams,SIR,25,MEDIUM,2.0,96450000000,3.0,True,1,True
Williams,SIR,26,MEDIUM,2.0,96771000000,4.0,True,2,True
Williams,SIR,27,MEDIUM,2.0,96900000000,5.0,True,1,True
Williams,SIR,28,MEDIUM,2.0,96805000000,6.0,True,1,True
Williams,SIR,29,MEDIUM,2.0,98768000000,7.0,True,1,True
Williams,SIR,30,MEDIUM,2.0,97724000000,8.0,True,1,True
Williams,SIR,31,MEDIUM,2.0,100170000000,9.0,True,1,True
Williams,SIR,32,MEDIUM,2.0,97242000000,10.0,True,1,True
Williams,SIR,33,MEDIUM,2.0,97036000000,11.0,True,1,True
Williams,SIR,34,MEDIUM,2.0,96928000000,12.0,True,1,True
Williams,SIR,35,MEDIUM,2.0,96594000000,13.0,True,1,True
Williams,SIR,36,MEDIUM,2.0,98284000000,14.0,True,1,True
Williams,SIR,37,MEDIUM,2.0,97113000000,15.0,True,1,True
Williams,SIR,38,MEDIUM,2.0,96818000000,16.0,True,1,True
Williams,SIR,39,MEDIUM,2.0,96758000000,17.0,True,2,True
Williams,SIR,40,MEDIUM,2.0,99484000000,18.0,True,1,False
Williams,SIR,41,SUPERSOFT,3.0,116951000000,1.0,True,1,False
Williams,SIR,42,SUPERSOFT,3.0,94563000000,2.0,True,1,True
Williams,SIR,43,SUPERSOFT,3.0,94646000000,3.0,True,1,True
Williams,SIR,44,SUPERSOFT,3.0,95005000000,4.0,True,1,True
Williams,SIR,45,SUPERSOFT,3.0,94981000000,5.0,True,1,True
Williams,SIR,46,SUPERSOFT,3.0,95356000000,6.0,True,1,True
Williams,SIR,47,SUPERSOFT,3.0,95397000000,7.0,True,1,True
Williams,SIR,48,SUPERSOFT,3.0,95381000000,8.0,True,1,True
Williams,SIR,49,SUPERSOFT,3.0,95636000000,9.0,True,1,True
Williams,SIR,50,SUPERSOFT,3.0,95674000000,10.0,True,1,True
Williams,SIR,51,SUPERSOFT,3.0,96274000000,11.0,True,1,True
Williams,SIR,52,SUPERSOFT,3.0,96686000000,12.0,True,1,True
Williams,SIR,53,SUPERSOFT,3.0,96379000000,13.0,True,1,True
Williams,SIR,54,SUPERSOFT,3.0,98146000000,14.0,True,1,True
Williams,SIR,55,SUPERSOFT,3.0,97680000000,15.0,True,1,True
Williams,SIR,56,SUPERSOFT,3.0,96820000000,16.0,True,1,True
