['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
McLaren,VAN,2,SUPERSOFT,1.0,115069000000,1.0,True,26,False
McLaren,VAN,3,SUPERSOFT,1.0,127012000000,2.0,True,6,False
McLaren,VAN,4,SUPERSOFT,1.0,110675000000,3.0,True,67,False
McLaren,VAN,5,SUPERSOFT,1.0,97953000000,4.0,True,2,True
McLaren,VAN,6,SUPERSOFT,1.0,97755000000,5.0,True,2,True
McLaren,VAN,7,SUPERSOFT,1.0,98060000000,6.0,True,1,True
McLaren,VAN,8,SUPERSOFT,1.0,97955000000,7.0,True,1,True
McLaren,VAN,9,SUPERSOFT,1.0,98048000000,8.0,True,1,True
McLaren,VAN,10,SUPERSOFT,1.0,100646000000,9.0,True,2,False
McLaren,VAN,11,SOFT,2.0,116832000000,1.0,True,1,False
McLaren,VAN,12,SOFT,2.0,96076000000,2.0,True,1,False
McLaren,VAN,13,SOFT,2.0,96219000000,3.0,True,1,False
McLaren,VAN,14,SOFT,2.0,97214000000,4.0,True,1,True
McLaren,VAN,15,SOFT,2.0,97306000000,5.0,True,1,True
McLaren,VAN,16,SOFT,2.0,97359000000,6.0,True,1,True
McLaren,VAN,17,SOFT,2.0,97538000000,7.0,True,1,True
McLaren,VAN,18,SOFT,2.0,97985000000,8.0,True,1,True
McLaren,VAN,19,SOFT,2.0,98163000000,9.0,True,1,True
McLaren,VAN,20,SOFT,2.0,97241000000,10.0,True,1,True
McLaren,VAN,21,SOFT,2.0,97336000000,11.0,True,1,True
McLaren,VAN,22,SOFT,2.0,97328000000,12.0,True,1,True
McLaren,VAN,23,SOFT,2.0,97285000000,13.0,True,1,True
McLaren,VAN,24,SOFT,2.0,97293000000,14.0,True,1,True
McLaren,VAN,25,SOFT,2.0,97476000000,15.0,True,1,True
McLaren,VAN,26,SOFT,2.0,97433000000,16.0,True,1,True
McLaren,VAN,27,SOFT,2.0,97288000000,17.0,True,2,True
McLaren,VAN,28,SOFT,2.0,99693000000,18.0,True,1,False
McLaren,VAN,29,MEDIUM,3.0,115531000000,1.0,True,1,False
McLaren,VAN,30,MEDIUM,3.0,95131000000,2.0,True,1,True
McLaren,VAN,31,MEDIUM,3.0,95440000000,3.0,True,1,True
McLaren,VAN,32,MEDIUM,3.0,95367000000,4.0,True,1,True
McLaren,VAN,33,MEDIUM,3.0,95943000000,5.0,True,1,True
McLaren,VAN,34,MEDIUM,3.0,95630000000,6.0,True,1,True
McLaren,VAN,35,MEDIUM,3.0,96108000000,7.0,True,1,True
McLaren,VAN,36,MEDIUM,3.0,96244000000,8.0,True,1,True
McLaren,VAN,37,MEDIUM,3.0,96232000000,9.0,True,1,True
McLaren,VAN,38,MEDIUM,3.0,95779000000,10.0,True,1,True
McLaren,VAN,39,MEDIUM,3.0,97399000000,11.0,True,2,True
McLaren,VAN,40,MEDIUM,3.0,96387000000,12.0,True,2,True
McLaren,VAN,41,MEDIUM,3.0,95507000000,13.0,True,1,True
McLaren,VAN,42,MEDIUM,3.0,95841000000,14.0,True,1,True
McLaren,VAN,43,MEDIUM,3.0,95643000000,15.0,True,1,True
McLaren,VAN,44,MEDIUM,3.0,95758000000,16.0,True,1,True
McLaren,VAN,45,MEDIUM,3.0,95371000000,17.0,True,1,True
McLaren,VAN,46,MEDIUM,3.0,95839000000,18.0,True,1,True
McLaren,VAN,47,MEDIUM,3.0,97625000000,19.0,True,1,True
McLaren,VAN,48,MEDIUM,3.0,96248000000,20.0,True,1,True
McLaren,VAN,49,MEDIUM,3.0,96318000000,21.0,True,1,True
McLaren,VAN,50,MEDIUM,3.0,96450000000,22.0,True,1,True
McLaren,VAN,51,MEDIUM,3.0,96084000000,23.0,True,1,True
McLaren,VAN,52,MEDIUM,3.0,95772000000,24.0,True,1,True
McLaren,VAN,53,MEDIUM,3.0,95820000000,25.0,True,1,True
McLaren,VAN,54,MEDIUM,3.0,97702000000,26.0,True,1,True
McLaren,VAN,55,MEDIUM,3.0,96127000000,27.0,True,1,True
McLaren,VAN,56,MEDIUM,3.0,96089000000,28.0,True,1,True
