['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Mercedes,BOT,2.0,SOFT,2.0,None,5.0,False,4,False
Mercedes,BOT,3.0,SUPERSOFT,3.0,None,1.0,True,4,False
Mercedes,BOT,4.0,SUPERSOFT,3.0,None,2.0,True,4,False
Mercedes,BOT,5.0,SUPERSOFT,3.0,113789000000,3.0,True,1,False
Mercedes,BOT,6.0,SUPERSOFT,3.0,114223000000,4.0,True,1,True
Mercedes,BOT,7.0,SUPERSOFT,3.0,112287000000,5.0,True,1,True
Mercedes,BOT,8.0,SUPERSOFT,3.0,113164000000,6.0,True,1,True
Mercedes,BOT,9.0,SUPERSOFT,3.0,111763000000,7.0,True,1,True
Mercedes,BOT,10.0,SUPERSOFT,3.0,111548000000,8.0,True,1,True
Mercedes,BOT,11.0,SUPERSOFT,3.0,110507000000,9.0,True,1,True
Mercedes,BOT,12.0,SUPERSOFT,3.0,110661000000,10.0,True,1,True
Mercedes,BOT,13.0,SUPERSOFT,3.0,111593000000,11.0,True,1,True
Mercedes,BOT,14.0,SUPERSOFT,3.0,111075000000,12.0,True,1,True
Mercedes,BOT,15.0,SUPERSOFT,3.0,110025000000,13.0,True,1,True
Mercedes,BOT,16.0,SUPERSOFT,3.0,110111000000,14.0,True,1,True
Mercedes,BOT,17.0,SUPERSOFT,3.0,109907000000,15.0,True,1,True
Mercedes,BOT,18.0,SUPERSOFT,3.0,109596000000,16.0,True,1,True
Mercedes,BOT,19.0,SUPERSOFT,3.0,110122000000,17.0,True,1,True
Mercedes,BOT,20.0,SUPERSOFT,3.0,109922000000,18.0,True,1,True
Mercedes,BOT,21.0,SUPERSOFT,3.0,109817000000,19.0,True,1,True
Mercedes,BOT,22.0,SUPERSOFT,3.0,109654000000,20.0,True,1,True
Mercedes,BOT,23.0,SUPERSOFT,3.0,108917000000,21.0,True,1,True
Mercedes,BOT,24.0,SUPERSOFT,3.0,108900000000,22.0,True,1,True
Mercedes,BOT,25.0,SUPERSOFT,3.0,108482000000,23.0,True,1,True
Mercedes,BOT,26.0,SUPERSOFT,3.0,108804000000,24.0,True,1,True
Mercedes,BOT,27.0,SUPERSOFT,3.0,108487000000,25.0,True,1,True
Mercedes,BOT,28.0,SUPERSOFT,3.0,108253000000,26.0,True,1,True
Mercedes,BOT,29.0,SUPERSOFT,3.0,112864000000,27.0,True,1,False
Mercedes,BOT,30.0,SOFT,4.0,121139000000,6.0,False,1,False
Mercedes,BOT,31.0,SOFT,4.0,108066000000,7.0,False,1,True
Mercedes,BOT,32.0,SOFT,4.0,106286000000,8.0,False,1,True
Mercedes,BOT,33.0,SOFT,4.0,107011000000,9.0,False,1,True
Mercedes,BOT,34.0,SOFT,4.0,107240000000,10.0,False,1,True
Mercedes,BOT,35.0,SOFT,4.0,107470000000,11.0,False,1,True
Mercedes,BOT,36.0,SOFT,4.0,108157000000,12.0,False,1,True
Mercedes,BOT,37.0,SOFT,4.0,106994000000,13.0,False,1,True
Mercedes,BOT,38.0,SOFT,4.0,107438000000,14.0,False,1,True
Mercedes,BOT,39.0,SOFT,4.0,107895000000,15.0,False,1,True
Mercedes,BOT,40.0,SOFT,4.0,106732000000,16.0,False,1,True
Mercedes,BOT,41.0,SOFT,4.0,107857000000,17.0,False,1,True
Mercedes,BOT,42.0,SOFT,4.0,107989000000,18.0,False,1,True
Mercedes,BOT,43.0,SOFT,4.0,107602000000,19.0,False,1,True
Mercedes,BOT,44.0,SOFT,4.0,106981000000,20.0,False,2,True
