['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Sauber,ERI,2.0,SOFT,2.0,None,2.0,False,4,False
Sauber,ERI,3.0,SOFT,2.0,None,3.0,False,4,False
Sauber,ERI,4.0,SOFT,2.0,None,4.0,False,4,False
Sauber,ERI,5.0,SOFT,2.0,113960000000,5.0,False,1,False
Sauber,ERI,6.0,SOFT,2.0,113691000000,6.0,False,1,True
Sauber,ERI,7.0,SOFT,2.0,111231000000,7.0,False,1,True
Sauber,ERI,8.0,SOFT,2.0,112196000000,8.0,False,1,True
Sauber,ERI,9.0,SOFT,2.0,112210000000,9.0,False,1,True
Sauber,ERI,10.0,SOFT,2.0,111923000000,10.0,False,1,True
Sauber,ERI,11.0,SOFT,2.0,111669000000,11.0,False,1,True
Sauber,ERI,12.0,SOFT,2.0,111212000000,12.0,False,1,True
Sauber,ERI,13.0,SOFT,2.0,111360000000,13.0,False,1,True
Sauber,ERI,14.0,SOFT,2.0,111343000000,14.0,False,1,True
Sauber,ERI,15.0,SOFT,2.0,110874000000,15.0,False,1,True
Sauber,ERI,16.0,SOFT,2.0,110834000000,16.0,False,1,True
Sauber,ERI,17.0,SOFT,2.0,112135000000,17.0,False,1,True
Sauber,ERI,18.0,SOFT,2.0,112484000000,18.0,False,1,True
Sauber,ERI,19.0,SOFT,2.0,111074000000,19.0,False,1,True
Sauber,ERI,20.0,SOFT,2.0,111232000000,20.0,False,1,True
Sauber,ERI,21.0,SOFT,2.0,111130000000,21.0,False,1,True
Sauber,ERI,22.0,SOFT,2.0,111024000000,22.0,False,1,True
Sauber,ERI,23.0,SOFT,2.0,110757000000,23.0,False,1,True
Sauber,ERI,24.0,SOFT,2.0,110998000000,24.0,False,1,True
Sauber,ERI,25.0,SOFT,2.0,110997000000,25.0,False,1,True
Sauber,ERI,26.0,SOFT,2.0,114739000000,26.0,False,1,False
Sauber,ERI,27.0,SUPERSOFT,3.0,124533000000,1.0,True,1,False
Sauber,ERI,28.0,SUPERSOFT,3.0,111594000000,2.0,True,1,True
Sauber,ERI,29.0,SUPERSOFT,3.0,109011000000,3.0,True,1,True
Sauber,ERI,30.0,SUPERSOFT,3.0,109383000000,4.0,True,1,True
Sauber,ERI,31.0,SUPERSOFT,3.0,109951000000,5.0,True,1,True
Sauber,ERI,32.0,SUPERSOFT,3.0,109072000000,6.0,True,1,True
Sauber,ERI,33.0,SUPERSOFT,3.0,109183000000,7.0,True,1,True
Sauber,ERI,34.0,SUPERSOFT,3.0,108878000000,8.0,True,1,True
Sauber,ERI,35.0,SUPERSOFT,3.0,108694000000,9.0,True,1,True
Sauber,ERI,36.0,SUPERSOFT,3.0,108737000000,10.0,True,1,True
Sauber,ERI,37.0,SUPERSOFT,3.0,108719000000,11.0,True,1,True
Sauber,ERI,38.0,SUPERSOFT,3.0,109020000000,12.0,True,1,True
Sauber,ERI,39.0,SUPERSOFT,3.0,108894000000,13.0,True,1,True
Sauber,ERI,40.0,SUPERSOFT,3.0,110817000000,14.0,True,1,True
Sauber,ERI,41.0,SUPERSOFT,3.0,109359000000,15.0,True,1,True
Sauber,ERI,42.0,SUPERSOFT,3.0,109330000000,16.0,True,1,True
Sauber,ERI,43.0,SUPERSOFT,3.0,108986000000,17.0,True,1,True
