['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Toro Rosso,GAS,2.0,SUPERSOFT,2.0,None,2.0,False,4,False
Toro Rosso,GAS,3.0,SUPERSOFT,2.0,None,3.0,False,4,False
Toro Rosso,GAS,4.0,SUPERSOFT,2.0,None,4.0,False,4,False
Toro Rosso,GAS,5.0,SUPERSOFT,2.0,113513000000,5.0,False,1,False
Toro Rosso,GAS,6.0,SUPERSOFT,2.0,112869000000,6.0,False,1,True
Toro Rosso,GAS,7.0,SUPERSOFT,2.0,112240000000,7.0,False,1,True
Toro Rosso,GAS,8.0,SUPERSOFT,2.0,112186000000,8.0,False,1,True
Toro Rosso,GAS,9.0,SUPERSOFT,2.0,112421000000,9.0,False,1,True
Toro Rosso,GAS,10.0,SUPERSOFT,2.0,111866000000,10.0,False,1,True
Toro Rosso,GAS,11.0,SUPERSOFT,2.0,111360000000,11.0,False,1,True
Toro Rosso,GAS,12.0,SUPERSOFT,2.0,111232000000,12.0,False,1,True
Toro Rosso,GAS,13.0,SUPERSOFT,2.0,111171000000,13.0,False,1,True
Toro Rosso,GAS,14.0,SUPERSOFT,2.0,111225000000,14.0,False,1,True
Toro Rosso,GAS,15.0,SUPERSOFT,2.0,110672000000,15.0,False,1,True
Toro Rosso,GAS,16.0,SUPERSOFT,2.0,111106000000,16.0,False,1,True
Toro Rosso,GAS,17.0,SUPERSOFT,2.0,111162000000,17.0,False,1,True
Toro Rosso,GAS,18.0,SUPERSOFT,2.0,112419000000,18.0,False,1,True
Toro Rosso,GAS,19.0,SUPERSOFT,2.0,111081000000,19.0,False,1,True
Toro Rosso,GAS,20.0,SUPERSOFT,2.0,112237000000,20.0,False,1,True
Toro Rosso,GAS,21.0,SUPERSOFT,2.0,110697000000,21.0,False,1,True
Toro Rosso,GAS,22.0,SUPERSOFT,2.0,110766000000,22.0,False,1,True
Toro Rosso,GAS,23.0,SUPERSOFT,2.0,110823000000,23.0,False,1,True
Toro Rosso,GAS,24.0,SUPERSOFT,2.0,110822000000,24.0,False,1,True
Toro Rosso,GAS,25.0,SUPERSOFT,2.0,115530000000,25.0,False,1,False
Toro Rosso,GAS,26.0,SOFT,3.0,123514000000,1.0,True,1,False
Toro Rosso,GAS,27.0,SOFT,3.0,108823000000,2.0,True,1,True
Toro Rosso,GAS,28.0,SOFT,3.0,108842000000,3.0,True,1,True
Toro Rosso,GAS,29.0,SOFT,3.0,109169000000,4.0,True,1,True
Toro Rosso,GAS,30.0,SOFT,3.0,108897000000,5.0,True,1,True
Toro Rosso,GAS,31.0,SOFT,3.0,109136000000,6.0,True,1,True
Toro Rosso,GAS,32.0,SOFT,3.0,109215000000,7.0,True,1,True
Toro Rosso,GAS,33.0,SOFT,3.0,108937000000,8.0,True,1,True
Toro Rosso,GAS,34.0,SOFT,3.0,109122000000,9.0,True,1,True
Toro Rosso,GAS,35.0,SOFT,3.0,108940000000,10.0,True,1,True
Toro Rosso,GAS,36.0,SOFT,3.0,108588000000,11.0,True,1,True
Toro Rosso,GAS,37.0,SOFT,3.0,108971000000,12.0,True,1,True
Toro Rosso,GAS,38.0,SOFT,3.0,108900000000,13.0,True,1,True
Toro Rosso,GAS,39.0,SOFT,3.0,109402000000,14.0,True,1,True
Toro Rosso,GAS,40.0,SOFT,3.0,109397000000,15.0,True,1,True
Toro Rosso,GAS,41.0,SOFT,3.0,109253000000,16.0,True,1,True
Toro Rosso,GAS,42.0,SOFT,3.0,109293000000,17.0,True,1,True
Toro Rosso,GAS,43.0,SOFT,3.0,109363000000,18.0,True,1,True
Toro Rosso,GAS,44.0,SOFT,3.0,109693000000,19.0,True,2,True
