['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Haas F1 Team,GRO,2.0,SUPERSOFT,2.0,None,5.0,False,4,False
Haas F1 Team,GRO,3.0,SUPERSOFT,2.0,None,6.0,False,4,False
Haas F1 Team,GRO,4.0,SUPERSOFT,2.0,None,7.0,False,4,False
Haas F1 Team,GRO,5.0,SUPERSOFT,2.0,113036000000,8.0,False,1,False
Haas F1 Team,GRO,6.0,SUPERSOFT,2.0,112184000000,9.0,False,1,True
Haas F1 Team,GRO,7.0,SUPERSOFT,2.0,111718000000,10.0,False,1,True
Haas F1 Team,GRO,8.0,SUPERSOFT,2.0,111439000000,11.0,False,1,True
Haas F1 Team,GRO,9.0,SUPERSOFT,2.0,111473000000,12.0,False,1,True
Haas F1 Team,GRO,10.0,SUPERSOFT,2.0,111152000000,13.0,False,1,True
Haas F1 Team,GRO,11.0,SUPERSOFT,2.0,110904000000,14.0,False,1,True
Haas F1 Team,GRO,12.0,SUPERSOFT,2.0,110986000000,15.0,False,1,True
Haas F1 Team,GRO,13.0,SUPERSOFT,2.0,111174000000,16.0,False,1,True
Haas F1 Team,GRO,14.0,SUPERSOFT,2.0,111148000000,17.0,False,1,True
Haas F1 Team,GRO,15.0,SUPERSOFT,2.0,110777000000,18.0,False,1,True
Haas F1 Team,GRO,16.0,SUPERSOFT,2.0,110913000000,19.0,False,1,True
Haas F1 Team,GRO,17.0,SUPERSOFT,2.0,110938000000,20.0,False,1,True
Haas F1 Team,GRO,18.0,SUPERSOFT,2.0,110762000000,21.0,False,1,True
Haas F1 Team,GRO,19.0,SUPERSOFT,2.0,110606000000,22.0,False,1,True
Haas F1 Team,GRO,20.0,SUPERSOFT,2.0,110609000000,23.0,False,1,True
Haas F1 Team,GRO,21.0,SUPERSOFT,2.0,110528000000,24.0,False,1,True
Haas F1 Team,GRO,22.0,SUPERSOFT,2.0,110593000000,25.0,False,1,True
Haas F1 Team,GRO,23.0,SUPERSOFT,2.0,115020000000,26.0,False,1,False
Haas F1 Team,GRO,24.0,SOFT,3.0,123178000000,1.0,True,1,False
Haas F1 Team,GRO,25.0,SOFT,3.0,108968000000,2.0,True,1,True
Haas F1 Team,GRO,26.0,SOFT,3.0,108979000000,3.0,True,1,True
Haas F1 Team,GRO,27.0,SOFT,3.0,109051000000,4.0,True,1,True
Haas F1 Team,GRO,28.0,SOFT,3.0,108952000000,5.0,True,1,True
Haas F1 Team,GRO,29.0,SOFT,3.0,109004000000,6.0,True,1,True
Haas F1 Team,GRO,30.0,SOFT,3.0,109075000000,7.0,True,1,True
Haas F1 Team,GRO,31.0,SOFT,3.0,109340000000,8.0,True,1,True
Haas F1 Team,GRO,32.0,SOFT,3.0,108960000000,9.0,True,1,True
Haas F1 Team,GRO,33.0,SOFT,3.0,108860000000,10.0,True,1,True
Haas F1 Team,GRO,34.0,SOFT,3.0,108724000000,11.0,True,1,True
Haas F1 Team,GRO,35.0,SOFT,3.0,108283000000,12.0,True,1,True
Haas F1 Team,GRO,36.0,SOFT,3.0,108736000000,13.0,True,1,True
Haas F1 Team,GRO,37.0,SOFT,3.0,108526000000,14.0,True,1,True
Haas F1 Team,GRO,38.0,SOFT,3.0,108417000000,15.0,True,1,True
Haas F1 Team,GRO,39.0,SOFT,3.0,108661000000,16.0,True,1,True
Haas F1 Team,GRO,40.0,SOFT,3.0,108639000000,17.0,True,1,True
Haas F1 Team,GRO,41.0,SOFT,3.0,108502000000,18.0,True,1,True
Haas F1 Team,GRO,42.0,SOFT,3.0,108802000000,19.0,True,1,True
Haas F1 Team,GRO,43.0,SOFT,3.0,108902000000,20.0,True,1,True
Haas F1 Team,GRO,44.0,SOFT,3.0,109338000000,21.0,True,2,True
