['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Mercedes,HAM,2.0,SUPERSOFT,2.0,None,5.0,False,4,False
Mercedes,HAM,3.0,SUPERSOFT,2.0,None,6.0,False,4,False
Mercedes,HAM,4.0,SUPERSOFT,2.0,None,7.0,False,4,False
Mercedes,HAM,5.0,SUPERSOFT,2.0,109718000000,8.0,False,1,False
Mercedes,HAM,6.0,SUPERSOFT,2.0,109497000000,9.0,False,1,True
Mercedes,HAM,7.0,SUPERSOFT,2.0,109020000000,10.0,False,1,True
Mercedes,HAM,8.0,SUPERSOFT,2.0,108834000000,11.0,False,1,True
Mercedes,HAM,9.0,SUPERSOFT,2.0,109143000000,12.0,False,1,True
Mercedes,HAM,10.0,SUPERSOFT,2.0,109179000000,13.0,False,1,True
Mercedes,HAM,11.0,SUPERSOFT,2.0,108977000000,14.0,False,1,True
Mercedes,HAM,12.0,SUPERSOFT,2.0,108665000000,15.0,False,1,True
Mercedes,HAM,13.0,SUPERSOFT,2.0,108742000000,16.0,False,1,True
Mercedes,HAM,14.0,SUPERSOFT,2.0,108939000000,17.0,False,1,True
Mercedes,HAM,15.0,SUPERSOFT,2.0,108479000000,18.0,False,1,True
Mercedes,HAM,16.0,SUPERSOFT,2.0,108208000000,19.0,False,1,True
Mercedes,HAM,17.0,SUPERSOFT,2.0,108448000000,20.0,False,1,True
Mercedes,HAM,18.0,SUPERSOFT,2.0,108706000000,21.0,False,1,True
Mercedes,HAM,19.0,SUPERSOFT,2.0,108739000000,22.0,False,1,True
Mercedes,HAM,20.0,SUPERSOFT,2.0,108736000000,23.0,False,1,True
Mercedes,HAM,21.0,SUPERSOFT,2.0,113411000000,24.0,False,1,False
Mercedes,HAM,22.0,SOFT,3.0,119902000000,1.0,True,1,False
Mercedes,HAM,23.0,SOFT,3.0,106721000000,2.0,True,1,True
Mercedes,HAM,24.0,SOFT,3.0,106902000000,3.0,True,1,True
Mercedes,HAM,25.0,SOFT,3.0,106856000000,4.0,True,1,True
Mercedes,HAM,26.0,SOFT,3.0,107958000000,5.0,True,1,True
Mercedes,HAM,27.0,SOFT,3.0,107687000000,6.0,True,1,True
Mercedes,HAM,28.0,SOFT,3.0,107565000000,7.0,True,1,True
Mercedes,HAM,29.0,SOFT,3.0,107403000000,8.0,True,1,True
Mercedes,HAM,30.0,SOFT,3.0,107096000000,9.0,True,1,True
Mercedes,HAM,31.0,SOFT,3.0,107317000000,10.0,True,1,True
Mercedes,HAM,32.0,SOFT,3.0,107046000000,11.0,True,1,True
Mercedes,HAM,33.0,SOFT,3.0,107341000000,12.0,True,1,True
Mercedes,HAM,34.0,SOFT,3.0,107223000000,13.0,True,1,True
Mercedes,HAM,35.0,SOFT,3.0,107283000000,14.0,True,1,True
Mercedes,HAM,36.0,SOFT,3.0,107397000000,15.0,True,1,True
Mercedes,HAM,37.0,SOFT,3.0,107588000000,16.0,True,1,True
Mercedes,HAM,38.0,SOFT,3.0,107607000000,17.0,True,1,True
Mercedes,HAM,39.0,SOFT,3.0,107080000000,18.0,True,1,True
Mercedes,HAM,40.0,SOFT,3.0,107974000000,19.0,True,1,True
Mercedes,HAM,41.0,SOFT,3.0,108055000000,20.0,True,1,True
Mercedes,HAM,42.0,SOFT,3.0,108629000000,21.0,True,1,True
Mercedes,HAM,43.0,SOFT,3.0,108860000000,22.0,True,1,True
Mercedes,HAM,44.0,SOFT,3.0,109806000000,23.0,True,2,True
