['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Toro Rosso,HAR,2.0,SOFT,2.0,None,2.0,False,4,False
Toro Rosso,HAR,3.0,SOFT,2.0,None,3.0,False,4,False
Toro Rosso,HAR,4.0,SOFT,2.0,None,4.0,False,4,False
Toro Rosso,HAR,5.0,SOFT,2.0,114076000000,5.0,False,1,False
Toro Rosso,HAR,6.0,SOFT,2.0,115067000000,6.0,False,1,True
Toro Rosso,HAR,7.0,SOFT,2.0,114865000000,7.0,False,1,True
Toro Rosso,HAR,8.0,SOFT,2.0,112764000000,8.0,False,1,True
Toro Rosso,HAR,9.0,SOFT,2.0,113028000000,9.0,False,1,True
Toro Rosso,HAR,10.0,SOFT,2.0,112798000000,10.0,False,1,True
Toro Rosso,HAR,11.0,SOFT,2.0,112281000000,11.0,False,1,True
Toro Rosso,HAR,12.0,SOFT,2.0,112454000000,12.0,False,1,True
Toro Rosso,HAR,13.0,SOFT,2.0,112485000000,13.0,False,1,True
Toro Rosso,HAR,14.0,SOFT,2.0,111956000000,14.0,False,1,True
Toro Rosso,HAR,15.0,SOFT,2.0,111876000000,15.0,False,1,True
Toro Rosso,HAR,16.0,SOFT,2.0,111533000000,16.0,False,1,True
Toro Rosso,HAR,17.0,SOFT,2.0,111552000000,17.0,False,1,True
Toro Rosso,HAR,18.0,SOFT,2.0,111791000000,18.0,False,1,True
Toro Rosso,HAR,19.0,SOFT,2.0,111769000000,19.0,False,1,True
Toro Rosso,HAR,20.0,SOFT,2.0,111835000000,20.0,False,1,True
Toro Rosso,HAR,21.0,SOFT,2.0,111178000000,21.0,False,1,True
Toro Rosso,HAR,22.0,SOFT,2.0,111454000000,22.0,False,1,True
Toro Rosso,HAR,23.0,SOFT,2.0,111240000000,23.0,False,1,True
Toro Rosso,HAR,24.0,SOFT,2.0,110818000000,24.0,False,1,True
Toro Rosso,HAR,25.0,SOFT,2.0,110624000000,25.0,False,1,True
Toro Rosso,HAR,26.0,SOFT,2.0,114222000000,26.0,False,1,True
Toro Rosso,HAR,27.0,SOFT,2.0,110476000000,27.0,False,1,True
Toro Rosso,HAR,28.0,SOFT,2.0,111381000000,28.0,False,1,True
Toro Rosso,HAR,29.0,SOFT,2.0,111701000000,29.0,False,1,True
Toro Rosso,HAR,30.0,SOFT,2.0,111039000000,30.0,False,1,True
Toro Rosso,HAR,31.0,SOFT,2.0,115360000000,31.0,False,1,False
Toro Rosso,HAR,32.0,SUPERSOFT,3.0,130130000000,1.0,True,1,False
Toro Rosso,HAR,33.0,SUPERSOFT,3.0,108756000000,2.0,True,1,True
Toro Rosso,HAR,34.0,SUPERSOFT,3.0,109199000000,3.0,True,1,True
Toro Rosso,HAR,35.0,SUPERSOFT,3.0,109236000000,4.0,True,1,True
Toro Rosso,HAR,36.0,SUPERSOFT,3.0,109260000000,5.0,True,1,True
Toro Rosso,HAR,37.0,SUPERSOFT,3.0,109336000000,6.0,True,1,True
Toro Rosso,HAR,38.0,SUPERSOFT,3.0,109031000000,7.0,True,1,True
Toro Rosso,HAR,39.0,SUPERSOFT,3.0,109549000000,8.0,True,1,True
Toro Rosso,HAR,40.0,SUPERSOFT,3.0,110969000000,9.0,True,1,True
Toro Rosso,HAR,41.0,SUPERSOFT,3.0,109604000000,10.0,True,1,True
Toro Rosso,HAR,42.0,SUPERSOFT,3.0,109219000000,11.0,True,1,True
Toro Rosso,HAR,43.0,SUPERSOFT,3.0,109123000000,12.0,True,2,True
