['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Haas F1 Team,MAG,2.0,SUPERSOFT,2.0,None,5.0,False,4,False
Haas F1 Team,MAG,3.0,SUPERSOFT,2.0,None,6.0,False,4,False
Haas F1 Team,MAG,4.0,SUPERSOFT,2.0,None,7.0,False,4,False
Haas F1 Team,MAG,5.0,SUPERSOFT,2.0,113366000000,8.0,False,1,False
Haas F1 Team,MAG,6.0,SUPERSOFT,2.0,112386000000,9.0,False,1,True
Haas F1 Team,MAG,7.0,SUPERSOFT,2.0,112503000000,10.0,False,1,True
Haas F1 Team,MAG,8.0,SUPERSOFT,2.0,112057000000,11.0,False,1,True
Haas F1 Team,MAG,9.0,SUPERSOFT,2.0,112055000000,12.0,False,1,True
Haas F1 Team,MAG,10.0,SUPERSOFT,2.0,111421000000,13.0,False,1,True
Haas F1 Team,MAG,11.0,SUPERSOFT,2.0,111117000000,14.0,False,1,True
Haas F1 Team,MAG,12.0,SUPERSOFT,2.0,111002000000,15.0,False,1,True
Haas F1 Team,MAG,13.0,SUPERSOFT,2.0,111115000000,16.0,False,1,True
Haas F1 Team,MAG,14.0,SUPERSOFT,2.0,111039000000,17.0,False,1,True
Haas F1 Team,MAG,15.0,SUPERSOFT,2.0,110729000000,18.0,False,1,True
Haas F1 Team,MAG,16.0,SUPERSOFT,2.0,110750000000,19.0,False,1,True
Haas F1 Team,MAG,17.0,SUPERSOFT,2.0,111070000000,20.0,False,1,True
Haas F1 Team,MAG,18.0,SUPERSOFT,2.0,110849000000,21.0,False,1,True
Haas F1 Team,MAG,19.0,SUPERSOFT,2.0,110754000000,22.0,False,1,True
Haas F1 Team,MAG,20.0,SUPERSOFT,2.0,110487000000,23.0,False,1,True
Haas F1 Team,MAG,21.0,SUPERSOFT,2.0,110403000000,24.0,False,1,True
Haas F1 Team,MAG,22.0,SUPERSOFT,2.0,112533000000,25.0,False,1,True
Haas F1 Team,MAG,23.0,SUPERSOFT,2.0,110732000000,26.0,False,1,True
Haas F1 Team,MAG,24.0,SUPERSOFT,2.0,112078000000,27.0,False,1,True
Haas F1 Team,MAG,25.0,SUPERSOFT,2.0,110858000000,28.0,False,1,True
Haas F1 Team,MAG,26.0,SUPERSOFT,2.0,115135000000,29.0,False,1,False
Haas F1 Team,MAG,27.0,SOFT,3.0,123618000000,1.0,True,1,False
Haas F1 Team,MAG,28.0,SOFT,3.0,108244000000,2.0,True,1,True
Haas F1 Team,MAG,29.0,SOFT,3.0,108225000000,3.0,True,1,True
Haas F1 Team,MAG,30.0,SOFT,3.0,108352000000,4.0,True,1,True
Haas F1 Team,MAG,31.0,SOFT,3.0,108532000000,5.0,True,1,True
Haas F1 Team,MAG,32.0,SOFT,3.0,108291000000,6.0,True,1,True
Haas F1 Team,MAG,33.0,SOFT,3.0,108187000000,7.0,True,1,True
Haas F1 Team,MAG,34.0,SOFT,3.0,108221000000,8.0,True,1,True
Haas F1 Team,MAG,35.0,SOFT,3.0,107976000000,9.0,True,1,True
Haas F1 Team,MAG,36.0,SOFT,3.0,107937000000,10.0,True,1,True
Haas F1 Team,MAG,37.0,SOFT,3.0,108103000000,11.0,True,1,True
Haas F1 Team,MAG,38.0,SOFT,3.0,107966000000,12.0,True,1,True
Haas F1 Team,MAG,39.0,SOFT,3.0,108114000000,13.0,True,1,True
Haas F1 Team,MAG,40.0,SOFT,3.0,108139000000,14.0,True,1,True
Haas F1 Team,MAG,41.0,SOFT,3.0,107940000000,15.0,True,1,True
Haas F1 Team,MAG,42.0,SOFT,3.0,108308000000,16.0,True,1,True
Haas F1 Team,MAG,43.0,SOFT,3.0,108041000000,17.0,True,1,True
Haas F1 Team,MAG,44.0,SOFT,3.0,108340000000,18.0,True,2,True
