['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Racing Point,OCO,2.0,SUPERSOFT,2.0,None,5.0,False,4,False
Racing Point,OCO,3.0,SUPERSOFT,2.0,None,6.0,False,4,False
Racing Point,OCO,4.0,SUPERSOFT,2.0,None,7.0,False,4,False
Racing Point,OCO,5.0,SUPERSOFT,2.0,111951000000,8.0,False,1,False
Racing Point,OCO,6.0,SUPERSOFT,2.0,111736000000,9.0,False,1,True
Racing Point,OCO,7.0,SUPERSOFT,2.0,112679000000,10.0,False,1,True
Racing Point,OCO,8.0,SUPERSOFT,2.0,111224000000,11.0,False,1,True
Racing Point,OCO,9.0,SUPERSOFT,2.0,111016000000,12.0,False,1,True
Racing Point,OCO,10.0,SUPERSOFT,2.0,111054000000,13.0,False,1,True
Racing Point,OCO,11.0,SUPERSOFT,2.0,110855000000,14.0,False,1,True
Racing Point,OCO,12.0,SUPERSOFT,2.0,110569000000,15.0,False,1,True
Racing Point,OCO,13.0,SUPERSOFT,2.0,110581000000,16.0,False,1,True
Racing Point,OCO,14.0,SUPERSOFT,2.0,110667000000,17.0,False,1,True
Racing Point,OCO,15.0,SUPERSOFT,2.0,110403000000,18.0,False,1,True
Racing Point,OCO,16.0,SUPERSOFT,2.0,110714000000,19.0,False,1,True
Racing Point,OCO,17.0,SUPERSOFT,2.0,110658000000,20.0,False,1,True
Racing Point,OCO,18.0,SUPERSOFT,2.0,110400000000,21.0,False,1,True
Racing Point,OCO,19.0,SUPERSOFT,2.0,110452000000,22.0,False,1,True
Racing Point,OCO,20.0,SUPERSOFT,2.0,110339000000,23.0,False,1,True
Racing Point,OCO,21.0,SUPERSOFT,2.0,110199000000,24.0,False,1,True
Racing Point,OCO,22.0,SUPERSOFT,2.0,110448000000,25.0,False,1,True
Racing Point,OCO,23.0,SUPERSOFT,2.0,110439000000,26.0,False,1,True
Racing Point,OCO,24.0,SUPERSOFT,2.0,114416000000,27.0,False,1,False
Racing Point,OCO,25.0,SOFT,3.0,123773000000,1.0,True,1,False
Racing Point,OCO,26.0,SOFT,3.0,109058000000,2.0,True,1,True
Racing Point,OCO,27.0,SOFT,3.0,108917000000,3.0,True,1,True
Racing Point,OCO,28.0,SOFT,3.0,108722000000,4.0,True,1,True
Racing Point,OCO,29.0,SOFT,3.0,108883000000,5.0,True,1,True
Racing Point,OCO,30.0,SOFT,3.0,109011000000,6.0,True,1,True
Racing Point,OCO,31.0,SOFT,3.0,108848000000,7.0,True,1,True
Racing Point,OCO,32.0,SOFT,3.0,109619000000,8.0,True,1,True
Racing Point,OCO,33.0,SOFT,3.0,108710000000,9.0,True,1,True
Racing Point,OCO,34.0,SOFT,3.0,108436000000,10.0,True,1,True
Racing Point,OCO,35.0,SOFT,3.0,108078000000,11.0,True,1,True
Racing Point,OCO,36.0,SOFT,3.0,108211000000,12.0,True,1,True
Racing Point,OCO,37.0,SOFT,3.0,108667000000,13.0,True,1,True
Racing Point,OCO,38.0,SOFT,3.0,108621000000,14.0,True,1,True
Racing Point,OCO,39.0,SOFT,3.0,108861000000,15.0,True,1,True
Racing Point,OCO,40.0,SOFT,3.0,108564000000,16.0,True,1,True
Racing Point,OCO,41.0,SOFT,3.0,108592000000,17.0,True,1,True
Racing Point,OCO,42.0,SOFT,3.0,108842000000,18.0,True,1,True
Racing Point,OCO,43.0,SOFT,3.0,108582000000,19.0,True,1,True
Racing Point,OCO,44.0,SOFT,3.0,108447000000,20.0,True,2,True
