['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Red Bull Racing,RIC,2.0,SOFT,3.0,None,1.0,True,4,False
Red Bull Racing,RIC,3.0,SOFT,3.0,113818000000,2.0,True,1,False
Red Bull Racing,RIC,4.0,SOFT,3.0,113982000000,3.0,True,1,True
Red Bull Racing,RIC,5.0,SOFT,3.0,112627000000,4.0,True,1,True
Red Bull Racing,RIC,6.0,SOFT,3.0,113142000000,5.0,True,1,True
Red Bull Racing,RIC,7.0,SOFT,3.0,112540000000,6.0,True,1,True
Red Bull Racing,RIC,8.0,SOFT,3.0,111204000000,7.0,True,1,True
Red Bull Racing,RIC,9.0,SOFT,3.0,111677000000,8.0,True,1,True
Red Bull Racing,RIC,10.0,SOFT,3.0,110547000000,9.0,True,1,True
Red Bull Racing,RIC,11.0,SOFT,3.0,110549000000,10.0,True,1,True
Red Bull Racing,RIC,12.0,SOFT,3.0,110872000000,11.0,True,1,True
Red Bull Racing,RIC,13.0,SOFT,3.0,110540000000,12.0,True,1,True
Red Bull Racing,RIC,14.0,SOFT,3.0,110383000000,13.0,True,1,True
Red Bull Racing,RIC,15.0,SOFT,3.0,110671000000,14.0,True,1,True
Red Bull Racing,RIC,16.0,SOFT,3.0,110146000000,15.0,True,1,True
Red Bull Racing,RIC,17.0,SOFT,3.0,110816000000,16.0,True,1,True
Red Bull Racing,RIC,18.0,SOFT,3.0,109399000000,17.0,True,1,True
Red Bull Racing,RIC,19.0,SOFT,3.0,109644000000,18.0,True,1,True
Red Bull Racing,RIC,20.0,SOFT,3.0,110130000000,19.0,True,1,True
Red Bull Racing,RIC,21.0,SOFT,3.0,110178000000,20.0,True,1,True
Red Bull Racing,RIC,22.0,SOFT,3.0,109334000000,21.0,True,1,True
Red Bull Racing,RIC,23.0,SOFT,3.0,109618000000,22.0,True,1,True
Red Bull Racing,RIC,24.0,SOFT,3.0,109365000000,23.0,True,1,True
Red Bull Racing,RIC,25.0,SOFT,3.0,110856000000,24.0,True,1,True
Red Bull Racing,RIC,26.0,SOFT,3.0,110070000000,25.0,True,1,True
Red Bull Racing,RIC,27.0,SOFT,3.0,109242000000,26.0,True,1,True
Red Bull Racing,RIC,28.0,SOFT,3.0,115261000000,27.0,True,1,False
