['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Williams,STR,2.0,SOFT,2.0,None,2.0,False,4,False
Williams,STR,3.0,SOFT,2.0,None,3.0,False,4,False
Williams,STR,4.0,SOFT,2.0,None,4.0,False,4,False
Williams,STR,5.0,SOFT,2.0,114092000000,5.0,False,1,False
Williams,STR,6.0,SOFT,2.0,113723000000,6.0,False,1,True
Williams,STR,7.0,SOFT,2.0,112748000000,7.0,False,1,True
Williams,STR,8.0,SOFT,2.0,113039000000,8.0,False,1,True
Williams,STR,9.0,SOFT,2.0,112224000000,9.0,False,1,True
Williams,STR,10.0,SOFT,2.0,111976000000,10.0,False,1,True
Williams,STR,11.0,SOFT,2.0,112992000000,11.0,False,1,True
Williams,STR,12.0,SOFT,2.0,113092000000,12.0,False,1,True
Williams,STR,13.0,SOFT,2.0,112069000000,13.0,False,1,True
Williams,STR,14.0,SOFT,2.0,112270000000,14.0,False,1,True
Williams,STR,15.0,SOFT,2.0,111713000000,15.0,False,1,True
Williams,STR,16.0,SOFT,2.0,111672000000,16.0,False,1,True
Williams,STR,17.0,SOFT,2.0,111983000000,17.0,False,1,True
Williams,STR,18.0,SOFT,2.0,111818000000,18.0,False,1,True
Williams,STR,19.0,SOFT,2.0,111748000000,19.0,False,1,True
Williams,STR,20.0,SOFT,2.0,111366000000,20.0,False,1,True
Williams,STR,21.0,SOFT,2.0,111286000000,21.0,False,1,True
Williams,STR,22.0,SOFT,2.0,111323000000,22.0,False,1,True
Williams,STR,23.0,SOFT,2.0,115687000000,23.0,False,1,False
Williams,STR,24.0,SUPERSOFT,3.0,124658000000,1.0,True,1,False
Williams,STR,25.0,SUPERSOFT,3.0,110365000000,2.0,True,1,True
Williams,STR,26.0,SUPERSOFT,3.0,111321000000,3.0,True,1,True
Williams,STR,27.0,SUPERSOFT,3.0,109855000000,4.0,True,1,True
Williams,STR,28.0,SUPERSOFT,3.0,109753000000,5.0,True,1,True
Williams,STR,29.0,SUPERSOFT,3.0,109794000000,6.0,True,1,True
Williams,STR,30.0,SUPERSOFT,3.0,109964000000,7.0,True,1,True
Williams,STR,31.0,SUPERSOFT,3.0,109934000000,8.0,True,1,True
Williams,STR,32.0,SUPERSOFT,3.0,109916000000,9.0,True,1,True
Williams,STR,33.0,SUPERSOFT,3.0,109937000000,10.0,True,1,True
Williams,STR,34.0,SUPERSOFT,3.0,110907000000,11.0,True,1,True
Williams,STR,35.0,SUPERSOFT,3.0,110206000000,12.0,True,1,True
Williams,STR,36.0,SUPERSOFT,3.0,109522000000,13.0,True,1,True
Williams,STR,37.0,SUPERSOFT,3.0,109365000000,14.0,True,1,True
Williams,STR,38.0,SUPERSOFT,3.0,109309000000,15.0,True,1,True
Williams,STR,39.0,SUPERSOFT,3.0,109287000000,16.0,True,1,True
Williams,STR,40.0,SUPERSOFT,3.0,109434000000,17.0,True,1,True
Williams,STR,41.0,SUPERSOFT,3.0,109586000000,18.0,True,1,True
Williams,STR,42.0,SUPERSOFT,3.0,109661000000,19.0,True,1,True
Williams,STR,43.0,SUPERSOFT,3.0,110068000000,20.0,True,2,True
