['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Red Bull Racing,VER,2.0,SUPERSOFT,1.0,None,4.0,False,4,False
Red Bull Racing,VER,3.0,SUPERSOFT,2.0,None,5.0,False,4,False
Red Bull Racing,VER,4.0,SUPERSOFT,2.0,None,6.0,False,4,False
Red Bull Racing,VER,5.0,SUPERSOFT,2.0,112189000000,7.0,False,1,False
Red Bull Racing,VER,6.0,SUPERSOFT,2.0,111619000000,8.0,False,1,True
Red Bull Racing,VER,7.0,SUPERSOFT,2.0,110140000000,9.0,False,1,True
Red Bull Racing,VER,8.0,SUPERSOFT,2.0,109993000000,10.0,False,1,True
Red Bull Racing,VER,9.0,SUPERSOFT,2.0,110445000000,11.0,False,1,True
Red Bull Racing,VER,10.0,SUPERSOFT,2.0,108932000000,12.0,False,1,True
Red Bull Racing,VER,11.0,SUPERSOFT,2.0,109575000000,13.0,False,1,True
Red Bull Racing,VER,12.0,SUPERSOFT,2.0,109224000000,14.0,False,1,True
Red Bull Racing,VER,13.0,SUPERSOFT,2.0,109253000000,15.0,False,1,True
Red Bull Racing,VER,14.0,SUPERSOFT,2.0,109377000000,16.0,False,1,True
Red Bull Racing,VER,15.0,SUPERSOFT,2.0,109043000000,17.0,False,1,True
Red Bull Racing,VER,16.0,SUPERSOFT,2.0,109219000000,18.0,False,1,True
Red Bull Racing,VER,17.0,SUPERSOFT,2.0,109287000000,19.0,False,1,True
Red Bull Racing,VER,18.0,SUPERSOFT,2.0,108879000000,20.0,False,1,True
Red Bull Racing,VER,19.0,SUPERSOFT,2.0,108936000000,21.0,False,1,True
Red Bull Racing,VER,20.0,SUPERSOFT,2.0,108937000000,22.0,False,1,True
Red Bull Racing,VER,21.0,SUPERSOFT,2.0,108953000000,23.0,False,1,True
Red Bull Racing,VER,22.0,SUPERSOFT,2.0,109194000000,24.0,False,1,True
Red Bull Racing,VER,23.0,SUPERSOFT,2.0,110278000000,25.0,False,1,True
Red Bull Racing,VER,24.0,SUPERSOFT,2.0,108756000000,26.0,False,1,True
Red Bull Racing,VER,25.0,SUPERSOFT,2.0,108536000000,27.0,False,1,True
Red Bull Racing,VER,26.0,SUPERSOFT,2.0,113013000000,28.0,False,1,False
Red Bull Racing,VER,27.0,SOFT,3.0,120763000000,1.0,True,1,False
Red Bull Racing,VER,28.0,SOFT,3.0,107347000000,2.0,True,1,True
Red Bull Racing,VER,29.0,SOFT,3.0,107273000000,3.0,True,1,True
Red Bull Racing,VER,30.0,SOFT,3.0,107477000000,4.0,True,1,True
Red Bull Racing,VER,31.0,SOFT,3.0,107492000000,5.0,True,1,True
Red Bull Racing,VER,32.0,SOFT,3.0,107371000000,6.0,True,1,True
Red Bull Racing,VER,33.0,SOFT,3.0,107211000000,7.0,True,1,True
Red Bull Racing,VER,34.0,SOFT,3.0,107141000000,8.0,True,1,True
Red Bull Racing,VER,35.0,SOFT,3.0,107255000000,9.0,True,1,True
Red Bull Racing,VER,36.0,SOFT,3.0,106946000000,10.0,True,1,True
Red Bull Racing,VER,37.0,SOFT,3.0,107776000000,11.0,True,1,True
Red Bull Racing,VER,38.0,SOFT,3.0,107468000000,12.0,True,1,True
Red Bull Racing,VER,39.0,SOFT,3.0,107281000000,13.0,True,1,True
Red Bull Racing,VER,40.0,SOFT,3.0,107780000000,14.0,True,1,True
Red Bull Racing,VER,41.0,SOFT,3.0,107396000000,15.0,True,1,True
Red Bull Racing,VER,42.0,SOFT,3.0,107826000000,16.0,True,1,True
Red Bull Racing,VER,43.0,SOFT,3.0,107640000000,17.0,True,1,True
Red Bull Racing,VER,44.0,SOFT,3.0,108380000000,18.0,True,2,True
