['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Ferrari,VET,2.0,nan,nan,None,nan,nan,4,False
Ferrari,VET,3.0,SUPERSOFT,2.0,None,5.0,False,4,False
Ferrari,VET,4.0,SUPERSOFT,2.0,None,6.0,False,4,False
Ferrari,VET,5.0,SUPERSOFT,2.0,108656000000,7.0,False,1,False
Ferrari,VET,6.0,SUPERSOFT,2.0,108923000000,8.0,False,1,True
Ferrari,VET,7.0,SUPERSOFT,2.0,108695000000,9.0,False,1,True
Ferrari,VET,8.0,SUPERSOFT,2.0,108646000000,10.0,False,1,True
Ferrari,VET,9.0,SUPERSOFT,2.0,109046000000,11.0,False,1,True
Ferrari,VET,10.0,SUPERSOFT,2.0,108749000000,12.0,False,1,True
Ferrari,VET,11.0,SUPERSOFT,2.0,108495000000,13.0,False,1,True
Ferrari,VET,12.0,SUPERSOFT,2.0,108663000000,14.0,False,1,True
Ferrari,VET,13.0,SUPERSOFT,2.0,108732000000,15.0,False,1,True
Ferrari,VET,14.0,SUPERSOFT,2.0,108748000000,16.0,False,1,True
Ferrari,VET,15.0,SUPERSOFT,2.0,108679000000,17.0,False,1,True
Ferrari,VET,16.0,SUPERSOFT,2.0,108399000000,18.0,False,1,True
Ferrari,VET,17.0,SUPERSOFT,2.0,108667000000,19.0,False,1,True
Ferrari,VET,18.0,SUPERSOFT,2.0,108600000000,20.0,False,1,True
Ferrari,VET,19.0,SUPERSOFT,2.0,108933000000,21.0,False,1,True
Ferrari,VET,20.0,SUPERSOFT,2.0,108781000000,22.0,False,1,True
Ferrari,VET,21.0,SUPERSOFT,2.0,108710000000,23.0,False,1,True
Ferrari,VET,22.0,SUPERSOFT,2.0,112901000000,24.0,False,1,False
Ferrari,VET,23.0,SOFT,3.0,119728000000,1.0,True,1,False
Ferrari,VET,24.0,SOFT,3.0,106743000000,2.0,True,1,True
Ferrari,VET,25.0,SOFT,3.0,106644000000,3.0,True,1,True
Ferrari,VET,26.0,SOFT,3.0,107027000000,4.0,True,1,True
Ferrari,VET,27.0,SOFT,3.0,107052000000,5.0,True,1,True
Ferrari,VET,28.0,SOFT,3.0,106937000000,6.0,True,1,True
Ferrari,VET,29.0,SOFT,3.0,106972000000,7.0,True,1,True
Ferrari,VET,30.0,SOFT,3.0,106975000000,8.0,True,1,True
Ferrari,VET,31.0,SOFT,3.0,107134000000,9.0,True,1,True
Ferrari,VET,32.0,SOFT,3.0,107168000000,10.0,True,1,True
Ferrari,VET,33.0,SOFT,3.0,107016000000,11.0,True,1,True
Ferrari,VET,34.0,SOFT,3.0,107402000000,12.0,True,1,True
Ferrari,VET,35.0,SOFT,3.0,107390000000,13.0,True,1,True
Ferrari,VET,36.0,SOFT,3.0,107345000000,14.0,True,1,True
Ferrari,VET,37.0,SOFT,3.0,106949000000,15.0,True,1,True
Ferrari,VET,38.0,SOFT,3.0,106783000000,16.0,True,1,True
Ferrari,VET,39.0,SOFT,3.0,106734000000,17.0,True,1,True
Ferrari,VET,40.0,SOFT,3.0,107218000000,18.0,True,1,True
Ferrari,VET,41.0,SOFT,3.0,107092000000,19.0,True,1,True
Ferrari,VET,42.0,SOFT,3.0,107599000000,20.0,True,1,True
Ferrari,VET,43.0,SOFT,3.0,107615000000,21.0,True,1,True
Ferrari,VET,44.0,SOFT,3.0,109749000000,22.0,True,1,True
