['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Mercedes,BOT,2,SUPERSOFT,1,75046000000,5.0,False,1,True
Mercedes,BOT,3,SUPERSOFT,1,74482000000,6.0,False,1,True
Mercedes,BOT,4,SUPERSOFT,1,74220000000,7.0,False,1,True
Mercedes,BOT,5,SUPERSOFT,1,74330000000,8.0,False,1,True
Mercedes,BOT,6,SUPERSOFT,1,74497000000,9.0,False,1,True
Mercedes,BOT,7,SUPERSOFT,1,74404000000,10.0,False,1,True
Mercedes,BOT,8,SUPERSOFT,1,74572000000,11.0,False,1,True
Mercedes,BOT,9,SUPERSOFT,1,74628000000,12.0,False,1,True
Mercedes,BOT,10,SUPERSOFT,1,75805000000,13.0,False,1,True
Mercedes,BOT,11,SUPERSOFT,1,75497000000,14.0,False,1,True
Mercedes,BOT,12,SUPERSOFT,1,74574000000,15.0,False,1,True
Mercedes,BOT,13,SUPERSOFT,1,74517000000,16.0,False,1,True
Mercedes,BOT,14,SUPERSOFT,1,74404000000,17.0,False,1,True
Mercedes,BOT,15,SUPERSOFT,1,74566000000,18.0,False,1,True
Mercedes,BOT,16,SUPERSOFT,1,74913000000,19.0,False,1,True
Mercedes,BOT,17,SUPERSOFT,1,74151000000,20.0,False,1,True
Mercedes,BOT,18,SUPERSOFT,1,77068000000,21.0,False,1,False
Mercedes,BOT,19,MEDIUM,2,89713000000,1.0,True,1,False
Mercedes,BOT,20,MEDIUM,2,73860000000,2.0,True,1,True
Mercedes,BOT,21,MEDIUM,2,73755000000,3.0,True,2,True
Mercedes,BOT,22,MEDIUM,2,73288000000,4.0,True,1,True
Mercedes,BOT,23,MEDIUM,2,74203000000,5.0,True,1,True
Mercedes,BOT,24,MEDIUM,2,74245000000,6.0,True,1,True
Mercedes,BOT,25,MEDIUM,2,74256000000,7.0,True,1,True
Mercedes,BOT,26,MEDIUM,2,74377000000,8.0,True,1,True
Mercedes,BOT,27,MEDIUM,2,73499000000,9.0,True,1,True
Mercedes,BOT,28,MEDIUM,2,74833000000,10.0,True,1,True
Mercedes,BOT,29,MEDIUM,2,74551000000,11.0,True,1,True
Mercedes,BOT,30,MEDIUM,2,73733000000,12.0,True,1,True
Mercedes,BOT,31,MEDIUM,2,73546000000,13.0,True,1,True
Mercedes,BOT,32,MEDIUM,2,73811000000,14.0,True,1,True
Mercedes,BOT,33,MEDIUM,2,73361000000,15.0,True,1,True
Mercedes,BOT,34,MEDIUM,2,73154000000,16.0,True,1,True
Mercedes,BOT,35,MEDIUM,2,73244000000,17.0,True,1,True
Mercedes,BOT,36,MEDIUM,2,73009000000,18.0,True,1,True
Mercedes,BOT,37,MEDIUM,2,72965000000,19.0,True,1,True
Mercedes,BOT,38,MEDIUM,2,73778000000,20.0,True,1,True
Mercedes,BOT,39,MEDIUM,2,73312000000,21.0,True,1,True
Mercedes,BOT,40,MEDIUM,2,73283000000,22.0,True,1,True
Mercedes,BOT,41,MEDIUM,2,73076000000,23.0,True,1,True
Mercedes,BOT,42,MEDIUM,2,73310000000,24.0,True,1,True
Mercedes,BOT,43,MEDIUM,2,73916000000,25.0,True,1,True
Mercedes,BOT,44,MEDIUM,2,74893000000,26.0,True,2,True
Mercedes,BOT,45,MEDIUM,2,73961000000,27.0,True,1,True
Mercedes,BOT,46,MEDIUM,2,73382000000,28.0,True,1,True
Mercedes,BOT,47,MEDIUM,2,73248000000,29.0,True,1,True
Mercedes,BOT,48,MEDIUM,2,72869000000,30.0,True,1,True
Mercedes,BOT,49,MEDIUM,2,72702000000,31.0,True,1,True
Mercedes,BOT,50,MEDIUM,2,72444000000,32.0,True,1,True
Mercedes,BOT,51,MEDIUM,2,72432000000,33.0,True,1,True
Mercedes,BOT,52,MEDIUM,2,72682000000,34.0,True,1,True
Mercedes,BOT,53,MEDIUM,2,72289000000,35.0,True,1,True
Mercedes,BOT,54,MEDIUM,2,72663000000,36.0,True,1,True
Mercedes,BOT,55,MEDIUM,2,72246000000,37.0,True,1,True
Mercedes,BOT,56,MEDIUM,2,71939000000,38.0,True,1,True
Mercedes,BOT,57,MEDIUM,2,72045000000,39.0,True,1,True
Mercedes,BOT,58,MEDIUM,2,72030000000,40.0,True,1,True
Mercedes,BOT,59,MEDIUM,2,77332000000,41.0,True,1,False
Mercedes,BOT,60,SOFT,3,89551000000,1.0,True,1,False
Mercedes,BOT,61,SOFT,3,71750000000,2.0,True,1,True
Mercedes,BOT,62,SOFT,3,72533000000,3.0,True,1,True
Mercedes,BOT,63,SOFT,3,71590000000,4.0,True,1,True
Mercedes,BOT,64,SOFT,3,70845000000,5.0,True,1,True
Mercedes,BOT,65,SOFT,3,70540000000,6.0,True,1,True
Mercedes,BOT,66,SOFT,3,71173000000,7.0,True,1,True
Mercedes,BOT,67,SOFT,3,71397000000,8.0,True,1,True
Mercedes,BOT,68,SOFT,3,71400000000,9.0,True,1,True
Mercedes,BOT,69,SOFT,3,71408000000,10.0,True,1,True
Mercedes,BOT,70,SOFT,3,71282000000,11.0,True,1,True
Mercedes,BOT,71,SOFT,3,71144000000,12.0,True,1,True
