['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Sauber,ERI,2,SUPERSOFT,1,76762000000,7.0,False,1,True
Sauber,ERI,3,SUPERSOFT,1,75281000000,8.0,False,1,True
Sauber,ERI,4,SUPERSOFT,1,75540000000,9.0,False,1,True
Sauber,ERI,5,SUPERSOFT,1,75370000000,10.0,False,1,True
Sauber,ERI,6,SUPERSOFT,1,75889000000,11.0,False,1,True
Sauber,ERI,7,SUPERSOFT,1,76118000000,12.0,False,1,True
Sauber,ERI,8,SUPERSOFT,1,76516000000,13.0,False,1,True
Sauber,ERI,9,SUPERSOFT,1,80043000000,14.0,False,1,True
Sauber,ERI,10,SUPERSOFT,1,76659000000,15.0,False,1,True
Sauber,ERI,11,SUPERSOFT,1,76311000000,16.0,False,1,True
Sauber,ERI,12,SUPERSOFT,1,76303000000,17.0,False,1,True
Sauber,ERI,13,SUPERSOFT,1,76394000000,18.0,False,1,True
Sauber,ERI,14,SUPERSOFT,1,76207000000,19.0,False,1,True
Sauber,ERI,15,SUPERSOFT,1,76410000000,20.0,False,1,True
Sauber,ERI,16,SUPERSOFT,1,77314000000,21.0,False,1,True
Sauber,ERI,17,SUPERSOFT,1,76712000000,22.0,False,1,True
Sauber,ERI,18,SUPERSOFT,1,81260000000,23.0,False,1,False
Sauber,ERI,19,MEDIUM,2,93141000000,1.0,True,1,False
Sauber,ERI,20,MEDIUM,2,101630000000,2.0,True,2,False
