['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Haas F1 Team,GRO,2,SUPERSOFT,1,75305000000,5.0,False,1,True
Haas F1 Team,GRO,3,SUPERSOFT,1,74792000000,6.0,False,1,True
Haas F1 Team,GRO,4,SUPERSOFT,1,76056000000,7.0,False,1,True
Haas F1 Team,GRO,5,SUPERSOFT,1,75012000000,8.0,False,1,True
Haas F1 Team,GRO,6,SUPERSOFT,1,75143000000,9.0,False,1,True
Haas F1 Team,GRO,7,SUPERSOFT,1,74913000000,10.0,False,1,True
Haas F1 Team,GRO,8,SUPERSOFT,1,74855000000,11.0,False,1,True
Haas F1 Team,GRO,9,SUPERSOFT,1,74977000000,12.0,False,1,True
Haas F1 Team,GRO,10,SUPERSOFT,1,75164000000,13.0,False,1,True
Haas F1 Team,GRO,11,SUPERSOFT,1,74969000000,14.0,False,1,True
Haas F1 Team,GRO,12,SUPERSOFT,1,74791000000,15.0,False,1,True
Haas F1 Team,GRO,13,SUPERSOFT,1,75298000000,16.0,False,1,True
Haas F1 Team,GRO,14,SUPERSOFT,1,74741000000,17.0,False,1,True
Haas F1 Team,GRO,15,SUPERSOFT,1,74853000000,18.0,False,1,True
Haas F1 Team,GRO,16,SUPERSOFT,1,74978000000,19.0,False,1,True
Haas F1 Team,GRO,17,SUPERSOFT,1,74751000000,20.0,False,1,True
Haas F1 Team,GRO,18,SUPERSOFT,1,74806000000,21.0,False,1,True
Haas F1 Team,GRO,19,SUPERSOFT,1,74605000000,22.0,False,1,True
Haas F1 Team,GRO,20,SUPERSOFT,1,74968000000,23.0,False,1,True
Haas F1 Team,GRO,21,SUPERSOFT,1,75314000000,24.0,False,2,True
Haas F1 Team,GRO,22,SUPERSOFT,1,74747000000,25.0,False,1,True
Haas F1 Team,GRO,23,SUPERSOFT,1,74979000000,26.0,False,1,True
Haas F1 Team,GRO,24,SUPERSOFT,1,74937000000,27.0,False,1,True
Haas F1 Team,GRO,25,SUPERSOFT,1,74743000000,28.0,False,1,True
Haas F1 Team,GRO,26,SUPERSOFT,1,74864000000,29.0,False,1,True
Haas F1 Team,GRO,27,SUPERSOFT,1,74831000000,30.0,False,1,True
Haas F1 Team,GRO,28,SUPERSOFT,1,75089000000,31.0,False,1,True
Haas F1 Team,GRO,29,SUPERSOFT,1,75636000000,32.0,False,1,True
Haas F1 Team,GRO,30,SUPERSOFT,1,74479000000,33.0,False,1,True
Haas F1 Team,GRO,31,SUPERSOFT,1,75136000000,34.0,False,1,True
Haas F1 Team,GRO,32,SUPERSOFT,1,78660000000,35.0,False,1,False
Haas F1 Team,GRO,33,MEDIUM,2,90493000000,1.0,True,1,False
Haas F1 Team,GRO,34,MEDIUM,2,73191000000,2.0,True,1,True
Haas F1 Team,GRO,35,MEDIUM,2,73181000000,3.0,True,1,True
Haas F1 Team,GRO,36,MEDIUM,2,73308000000,4.0,True,1,True
Haas F1 Team,GRO,37,MEDIUM,2,73262000000,5.0,True,1,True
Haas F1 Team,GRO,38,MEDIUM,2,73414000000,6.0,True,1,True
Haas F1 Team,GRO,39,MEDIUM,2,74074000000,7.0,True,1,True
Haas F1 Team,GRO,40,MEDIUM,2,73567000000,8.0,True,1,True
Haas F1 Team,GRO,41,MEDIUM,2,73471000000,9.0,True,1,True
Haas F1 Team,GRO,42,MEDIUM,2,73455000000,10.0,True,1,True
Haas F1 Team,GRO,43,MEDIUM,2,73489000000,11.0,True,2,True
Haas F1 Team,GRO,44,MEDIUM,2,73520000000,12.0,True,1,True
Haas F1 Team,GRO,45,MEDIUM,2,73417000000,13.0,True,1,True
Haas F1 Team,GRO,46,MEDIUM,2,73116000000,14.0,True,1,True
Haas F1 Team,GRO,47,MEDIUM,2,73260000000,15.0,True,1,True
Haas F1 Team,GRO,48,MEDIUM,2,73151000000,16.0,True,1,True
Haas F1 Team,GRO,49,MEDIUM,2,73143000000,17.0,True,1,True
Haas F1 Team,GRO,50,MEDIUM,2,73047000000,18.0,True,1,True
Haas F1 Team,GRO,51,MEDIUM,2,72979000000,19.0,True,1,True
Haas F1 Team,GRO,52,MEDIUM,2,73073000000,20.0,True,1,True
Haas F1 Team,GRO,53,MEDIUM,2,73025000000,21.0,True,1,True
Haas F1 Team,GRO,54,MEDIUM,2,73982000000,22.0,True,1,True
