['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Renault,HUL,2,SOFT,1,None,2.0,True,1,False
Renault,HUL,3,SOFT,1,76132000000,3.0,True,1,False
Renault,HUL,4,SOFT,1,75737000000,4.0,True,1,True
Renault,HUL,5,SOFT,1,75684000000,5.0,True,1,True
Renault,HUL,6,SOFT,1,75489000000,6.0,True,1,True
Renault,HUL,7,SOFT,1,75897000000,7.0,True,1,True
Renault,HUL,8,SOFT,1,76044000000,8.0,True,1,True
Renault,HUL,9,SOFT,1,76604000000,9.0,True,1,True
Renault,HUL,10,SOFT,1,76395000000,10.0,True,1,True
Renault,HUL,11,SOFT,1,76331000000,11.0,True,1,True
Renault,HUL,12,SOFT,1,75426000000,12.0,True,1,True
Renault,HUL,13,SOFT,1,76022000000,13.0,True,1,True
Renault,HUL,14,SOFT,1,75634000000,14.0,True,1,True
Renault,HUL,15,SOFT,1,75659000000,15.0,True,1,True
Renault,HUL,16,SOFT,1,75173000000,16.0,True,1,True
Renault,HUL,17,SOFT,1,75086000000,17.0,True,1,True
Renault,HUL,18,SOFT,1,74825000000,18.0,True,1,True
Renault,HUL,19,SOFT,1,75858000000,19.0,True,1,True
Renault,HUL,20,SOFT,1,76356000000,20.0,True,2,True
Renault,HUL,21,SOFT,1,75585000000,21.0,True,2,True
Renault,HUL,22,SOFT,1,75316000000,22.0,True,1,True
Renault,HUL,23,SOFT,1,75229000000,23.0,True,1,True
Renault,HUL,24,SOFT,1,75050000000,24.0,True,1,True
Renault,HUL,25,SOFT,1,75920000000,25.0,True,1,True
Renault,HUL,26,SOFT,1,74109000000,26.0,True,1,True
Renault,HUL,27,SOFT,1,74389000000,27.0,True,1,True
Renault,HUL,28,SOFT,1,74202000000,28.0,True,1,True
Renault,HUL,29,SOFT,1,74131000000,29.0,True,1,True
Renault,HUL,30,SOFT,1,74029000000,30.0,True,1,True
Renault,HUL,31,SOFT,1,74094000000,31.0,True,1,True
Renault,HUL,32,SOFT,1,85503000000,32.0,True,1,False
