['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Haas F1 Team,MAG,2,SOFT,1,76693000000,2.0,True,1,True
Haas F1 Team,MAG,3,SOFT,1,74939000000,3.0,True,1,True
Haas F1 Team,MAG,4,SOFT,1,75422000000,4.0,True,1,True
Haas F1 Team,MAG,5,SOFT,1,75591000000,5.0,True,1,True
Haas F1 Team,MAG,6,SOFT,1,75960000000,6.0,True,1,True
Haas F1 Team,MAG,7,SOFT,1,75707000000,7.0,True,1,True
Haas F1 Team,MAG,8,SOFT,1,76639000000,8.0,True,1,True
Haas F1 Team,MAG,9,SOFT,1,75924000000,9.0,True,1,True
Haas F1 Team,MAG,10,SOFT,1,75022000000,10.0,True,1,True
Haas F1 Team,MAG,11,SOFT,1,74988000000,11.0,True,1,True
Haas F1 Team,MAG,12,SOFT,1,75116000000,12.0,True,1,True
Haas F1 Team,MAG,13,SOFT,1,74847000000,13.0,True,1,True
Haas F1 Team,MAG,14,SOFT,1,74576000000,14.0,True,1,True
Haas F1 Team,MAG,15,SOFT,1,74491000000,15.0,True,1,True
Haas F1 Team,MAG,16,SOFT,1,74386000000,16.0,True,1,True
Haas F1 Team,MAG,17,SOFT,1,74353000000,17.0,True,1,True
Haas F1 Team,MAG,18,SOFT,1,74198000000,18.0,True,1,True
Haas F1 Team,MAG,19,SOFT,1,74449000000,19.0,True,1,True
Haas F1 Team,MAG,20,SOFT,1,74293000000,20.0,True,1,True
Haas F1 Team,MAG,21,SOFT,1,74609000000,21.0,True,2,True
Haas F1 Team,MAG,22,SOFT,1,74491000000,22.0,True,1,True
Haas F1 Team,MAG,23,SOFT,1,75696000000,23.0,True,1,True
Haas F1 Team,MAG,24,SOFT,1,74881000000,24.0,True,1,True
Haas F1 Team,MAG,25,SOFT,1,74754000000,25.0,True,1,True
Haas F1 Team,MAG,26,SOFT,1,74517000000,26.0,True,1,True
Haas F1 Team,MAG,27,SOFT,1,74426000000,27.0,True,1,True
Haas F1 Team,MAG,28,SOFT,1,74368000000,28.0,True,1,True
Haas F1 Team,MAG,29,SOFT,1,75032000000,29.0,True,1,True
Haas F1 Team,MAG,30,SOFT,1,74303000000,30.0,True,1,True
Haas F1 Team,MAG,31,SOFT,1,74048000000,31.0,True,1,True
Haas F1 Team,MAG,32,SOFT,1,74422000000,32.0,True,1,True
Haas F1 Team,MAG,33,SOFT,1,74017000000,33.0,True,1,True
Haas F1 Team,MAG,34,SOFT,1,73824000000,34.0,True,1,True
Haas F1 Team,MAG,35,SOFT,1,73946000000,35.0,True,1,True
Haas F1 Team,MAG,36,SOFT,1,74160000000,36.0,True,1,True
Haas F1 Team,MAG,37,SOFT,1,74849000000,37.0,True,1,True
Haas F1 Team,MAG,38,SOFT,1,74328000000,38.0,True,1,True
Haas F1 Team,MAG,39,SOFT,1,74314000000,39.0,True,1,True
Haas F1 Team,MAG,40,SOFT,1,74537000000,40.0,True,1,True
Haas F1 Team,MAG,41,SOFT,1,78391000000,41.0,True,1,False
Haas F1 Team,MAG,42,SUPERSOFT,2,90408000000,1.0,True,1,False
Haas F1 Team,MAG,43,SUPERSOFT,2,73315000000,2.0,True,2,True
Haas F1 Team,MAG,44,SUPERSOFT,2,72973000000,3.0,True,1,True
Haas F1 Team,MAG,45,SUPERSOFT,2,72894000000,4.0,True,1,True
Haas F1 Team,MAG,46,SUPERSOFT,2,72999000000,5.0,True,1,True
Haas F1 Team,MAG,47,SUPERSOFT,2,73164000000,6.0,True,1,True
Haas F1 Team,MAG,48,SUPERSOFT,2,73064000000,7.0,True,1,True
Haas F1 Team,MAG,49,SUPERSOFT,2,73088000000,8.0,True,1,True
Haas F1 Team,MAG,50,SUPERSOFT,2,72892000000,9.0,True,1,True
Haas F1 Team,MAG,51,SUPERSOFT,2,72957000000,10.0,True,1,True
Haas F1 Team,MAG,52,SUPERSOFT,2,72878000000,11.0,True,1,True
Haas F1 Team,MAG,53,SUPERSOFT,2,72813000000,12.0,True,1,True
Haas F1 Team,MAG,54,SUPERSOFT,2,72658000000,13.0,True,1,True
Haas F1 Team,MAG,55,SUPERSOFT,2,73108000000,14.0,True,1,True
Haas F1 Team,MAG,56,SUPERSOFT,2,73039000000,15.0,True,1,True
Haas F1 Team,MAG,57,SUPERSOFT,2,72865000000,16.0,True,1,True
Haas F1 Team,MAG,58,SUPERSOFT,2,72979000000,17.0,True,1,True
Haas F1 Team,MAG,59,SUPERSOFT,2,73263000000,18.0,True,1,True
Haas F1 Team,MAG,60,SUPERSOFT,2,72600000000,19.0,True,1,True
Haas F1 Team,MAG,61,SUPERSOFT,2,72635000000,20.0,True,1,True
Haas F1 Team,MAG,62,SUPERSOFT,2,72655000000,21.0,True,1,True
Haas F1 Team,MAG,63,SUPERSOFT,2,72477000000,22.0,True,1,True
Haas F1 Team,MAG,64,SUPERSOFT,2,72454000000,23.0,True,1,True
Haas F1 Team,MAG,65,SUPERSOFT,2,72239000000,24.0,True,1,True
Haas F1 Team,MAG,66,SUPERSOFT,2,72293000000,25.0,True,1,True
Haas F1 Team,MAG,67,SUPERSOFT,2,72206000000,26.0,True,1,True
Haas F1 Team,MAG,68,SUPERSOFT,2,73833000000,27.0,True,1,True
Haas F1 Team,MAG,69,SUPERSOFT,2,72928000000,28.0,True,1,True
Haas F1 Team,MAG,70,SUPERSOFT,2,72425000000,29.0,True,1,True
Haas F1 Team,MAG,71,SUPERSOFT,2,72808000000,30.0,True,1,True
