['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Racing Point,OCO,2,SOFT,1,77591000000,2.0,True,1,True
Racing Point,OCO,3,SOFT,1,76001000000,3.0,True,1,True
Racing Point,OCO,4,SOFT,1,75889000000,4.0,True,1,True
Racing Point,OCO,5,SOFT,1,75441000000,5.0,True,1,True
Racing Point,OCO,6,SOFT,1,75704000000,6.0,True,1,True
Racing Point,OCO,7,SOFT,1,75826000000,7.0,True,1,True
Racing Point,OCO,8,SOFT,1,75881000000,8.0,True,1,True
Racing Point,OCO,9,SOFT,1,76480000000,9.0,True,1,True
Racing Point,OCO,10,SOFT,1,76377000000,10.0,True,1,True
Racing Point,OCO,11,SOFT,1,76715000000,11.0,True,1,True
Racing Point,OCO,12,SOFT,1,76198000000,12.0,True,1,True
Racing Point,OCO,13,SOFT,1,76298000000,13.0,True,1,True
Racing Point,OCO,14,SOFT,1,75829000000,14.0,True,1,True
Racing Point,OCO,15,SOFT,1,75788000000,15.0,True,1,True
Racing Point,OCO,16,SOFT,1,75059000000,16.0,True,1,True
Racing Point,OCO,17,SOFT,1,75107000000,17.0,True,1,True
Racing Point,OCO,18,SOFT,1,74887000000,18.0,True,1,True
Racing Point,OCO,19,SOFT,1,74749000000,19.0,True,1,True
Racing Point,OCO,20,SOFT,1,74987000000,20.0,True,2,True
Racing Point,OCO,21,SOFT,1,75448000000,21.0,True,2,True
Racing Point,OCO,22,SOFT,1,75340000000,22.0,True,1,True
Racing Point,OCO,23,SOFT,1,75312000000,23.0,True,1,True
Racing Point,OCO,24,SOFT,1,75234000000,24.0,True,1,True
Racing Point,OCO,25,SOFT,1,75399000000,25.0,True,1,True
Racing Point,OCO,26,SOFT,1,74730000000,26.0,True,1,True
Racing Point,OCO,27,SOFT,1,74610000000,27.0,True,1,True
Racing Point,OCO,28,SOFT,1,74432000000,28.0,True,1,True
Racing Point,OCO,29,SOFT,1,74439000000,29.0,True,1,True
Racing Point,OCO,30,SOFT,1,74317000000,30.0,True,1,True
Racing Point,OCO,31,SOFT,1,74510000000,31.0,True,1,True
Racing Point,OCO,32,SOFT,1,74512000000,32.0,True,1,True
Racing Point,OCO,33,SOFT,1,74389000000,33.0,True,1,True
Racing Point,OCO,34,SOFT,1,75834000000,34.0,True,1,True
Racing Point,OCO,35,SOFT,1,74665000000,35.0,True,1,True
Racing Point,OCO,36,SOFT,1,75180000000,36.0,True,1,True
Racing Point,OCO,37,SOFT,1,74989000000,37.0,True,1,True
Racing Point,OCO,38,SOFT,1,75076000000,38.0,True,1,True
Racing Point,OCO,39,SOFT,1,75395000000,39.0,True,1,True
Racing Point,OCO,40,SOFT,1,79360000000,40.0,True,1,False
Racing Point,OCO,41,SUPERSOFT,2,95926000000,1.0,True,1,False
Racing Point,OCO,42,SUPERSOFT,2,72876000000,2.0,True,1,True
Racing Point,OCO,43,SUPERSOFT,2,91439000000,3.0,True,2,True
Racing Point,OCO,44,SUPERSOFT,2,73837000000,4.0,True,1,True
Racing Point,OCO,45,SUPERSOFT,2,73976000000,5.0,True,1,True
Racing Point,OCO,46,SUPERSOFT,2,73741000000,6.0,True,1,True
Racing Point,OCO,47,SUPERSOFT,2,74147000000,7.0,True,1,True
Racing Point,OCO,48,SUPERSOFT,2,73629000000,8.0,True,1,True
Racing Point,OCO,49,SUPERSOFT,2,73309000000,9.0,True,1,True
Racing Point,OCO,50,SUPERSOFT,2,74084000000,10.0,True,1,True
Racing Point,OCO,51,SUPERSOFT,2,73520000000,11.0,True,1,True
Racing Point,OCO,52,SUPERSOFT,2,72869000000,12.0,True,1,True
Racing Point,OCO,53,SUPERSOFT,2,72870000000,13.0,True,1,True
Racing Point,OCO,54,SUPERSOFT,2,72921000000,14.0,True,1,True
Racing Point,OCO,55,SUPERSOFT,2,73028000000,15.0,True,1,True
Racing Point,OCO,56,SUPERSOFT,2,73030000000,16.0,True,1,True
Racing Point,OCO,57,SUPERSOFT,2,77571000000,17.0,True,1,False
Racing Point,OCO,58,SUPERSOFT,3,98574000000,18.0,False,1,False
Racing Point,OCO,59,SUPERSOFT,3,72611000000,19.0,False,1,True
Racing Point,OCO,60,SUPERSOFT,3,72906000000,20.0,False,1,True
Racing Point,OCO,61,SUPERSOFT,3,73069000000,21.0,False,1,True
Racing Point,OCO,62,SUPERSOFT,3,73337000000,22.0,False,1,True
Racing Point,OCO,63,SUPERSOFT,3,72578000000,23.0,False,1,True
Racing Point,OCO,64,SUPERSOFT,3,72359000000,24.0,False,1,True
Racing Point,OCO,65,SUPERSOFT,3,72516000000,25.0,False,1,True
Racing Point,OCO,66,SUPERSOFT,3,72479000000,26.0,False,1,True
Racing Point,OCO,67,SUPERSOFT,3,72929000000,27.0,False,1,True
Racing Point,OCO,68,SUPERSOFT,3,72833000000,28.0,False,1,True
Racing Point,OCO,69,SUPERSOFT,3,73819000000,29.0,False,1,True
Racing Point,OCO,70,SUPERSOFT,3,72352000000,30.0,False,1,True
