['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Ferrari,RAI,2,SOFT,1,75045000000,5.0,False,1,True
Ferrari,RAI,3,SOFT,1,75160000000,6.0,False,1,True
Ferrari,RAI,4,SOFT,1,74001000000,7.0,False,1,True
Ferrari,RAI,5,SOFT,1,74420000000,8.0,False,1,True
Ferrari,RAI,6,SOFT,1,74439000000,9.0,False,1,True
Ferrari,RAI,7,SOFT,1,74437000000,10.0,False,1,True
Ferrari,RAI,8,SOFT,1,74438000000,11.0,False,1,True
Ferrari,RAI,9,SOFT,1,74523000000,12.0,False,1,True
Ferrari,RAI,10,SOFT,1,74773000000,13.0,False,1,True
Ferrari,RAI,11,SOFT,1,75498000000,14.0,False,1,True
Ferrari,RAI,12,SOFT,1,75089000000,15.0,False,1,True
Ferrari,RAI,13,SOFT,1,74332000000,16.0,False,1,True
Ferrari,RAI,14,SOFT,1,74347000000,17.0,False,1,True
Ferrari,RAI,15,SOFT,1,74337000000,18.0,False,1,True
Ferrari,RAI,16,SOFT,1,74900000000,19.0,False,1,True
Ferrari,RAI,17,SOFT,1,74881000000,20.0,False,1,True
Ferrari,RAI,18,SOFT,1,74170000000,21.0,False,1,True
Ferrari,RAI,19,SOFT,1,73811000000,22.0,False,1,True
Ferrari,RAI,20,SOFT,1,73953000000,23.0,False,1,True
Ferrari,RAI,21,SOFT,1,74002000000,24.0,False,2,True
Ferrari,RAI,22,SOFT,1,73634000000,25.0,False,1,True
Ferrari,RAI,23,SOFT,1,73782000000,26.0,False,1,True
Ferrari,RAI,24,SOFT,1,74170000000,27.0,False,1,True
Ferrari,RAI,25,SOFT,1,74047000000,28.0,False,1,True
Ferrari,RAI,26,SOFT,1,73853000000,29.0,False,1,True
Ferrari,RAI,27,SOFT,1,73987000000,30.0,False,1,True
Ferrari,RAI,28,SOFT,1,74282000000,31.0,False,1,True
Ferrari,RAI,29,SOFT,1,73622000000,32.0,False,1,True
Ferrari,RAI,30,SOFT,1,73546000000,33.0,False,1,True
Ferrari,RAI,31,SOFT,1,77856000000,34.0,False,1,False
Ferrari,RAI,32,MEDIUM,2,89986000000,1.0,True,1,False
Ferrari,RAI,33,MEDIUM,2,73255000000,2.0,True,1,True
Ferrari,RAI,34,MEDIUM,2,73324000000,3.0,True,1,True
Ferrari,RAI,35,MEDIUM,2,72532000000,4.0,True,1,True
Ferrari,RAI,36,MEDIUM,2,73009000000,5.0,True,1,True
Ferrari,RAI,37,MEDIUM,2,73031000000,6.0,True,1,True
Ferrari,RAI,38,MEDIUM,2,73909000000,7.0,True,1,True
Ferrari,RAI,39,MEDIUM,2,73059000000,8.0,True,1,True
Ferrari,RAI,40,MEDIUM,2,73303000000,9.0,True,1,True
Ferrari,RAI,41,MEDIUM,2,73283000000,10.0,True,1,True
Ferrari,RAI,42,MEDIUM,2,73042000000,11.0,True,1,True
Ferrari,RAI,43,MEDIUM,2,73636000000,12.0,True,1,True
Ferrari,RAI,44,MEDIUM,2,73389000000,13.0,True,2,True
Ferrari,RAI,45,MEDIUM,2,73192000000,14.0,True,1,True
Ferrari,RAI,46,MEDIUM,2,72631000000,15.0,True,1,True
Ferrari,RAI,47,MEDIUM,2,72730000000,16.0,True,1,True
Ferrari,RAI,48,MEDIUM,2,72879000000,17.0,True,1,True
Ferrari,RAI,49,MEDIUM,2,72646000000,18.0,True,1,True
Ferrari,RAI,50,MEDIUM,2,72631000000,19.0,True,1,True
Ferrari,RAI,51,MEDIUM,2,72452000000,20.0,True,1,True
Ferrari,RAI,52,MEDIUM,2,72520000000,21.0,True,1,True
Ferrari,RAI,53,MEDIUM,2,72360000000,22.0,True,1,True
Ferrari,RAI,54,MEDIUM,2,72169000000,23.0,True,1,True
Ferrari,RAI,55,MEDIUM,2,72010000000,24.0,True,1,True
Ferrari,RAI,56,MEDIUM,2,72035000000,25.0,True,1,True
Ferrari,RAI,57,MEDIUM,2,72329000000,26.0,True,1,True
Ferrari,RAI,58,MEDIUM,2,71902000000,27.0,True,1,True
Ferrari,RAI,59,MEDIUM,2,72068000000,28.0,True,1,True
Ferrari,RAI,60,MEDIUM,2,72028000000,29.0,True,1,True
Ferrari,RAI,61,MEDIUM,2,71876000000,30.0,True,1,True
Ferrari,RAI,62,MEDIUM,2,71973000000,31.0,True,1,True
Ferrari,RAI,63,MEDIUM,2,72152000000,32.0,True,1,True
Ferrari,RAI,64,MEDIUM,2,71769000000,33.0,True,1,True
Ferrari,RAI,65,MEDIUM,2,72069000000,34.0,True,1,True
Ferrari,RAI,66,MEDIUM,2,72457000000,35.0,True,1,True
Ferrari,RAI,67,MEDIUM,2,72239000000,36.0,True,1,True
Ferrari,RAI,68,MEDIUM,2,72800000000,37.0,True,1,True
Ferrari,RAI,69,MEDIUM,2,71962000000,38.0,True,1,True
Ferrari,RAI,70,MEDIUM,2,71940000000,39.0,True,1,True
Ferrari,RAI,71,MEDIUM,2,72382000000,40.0,True,1,True
