['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Red Bull Racing,RIC,2,SUPERSOFT,1,75149000000,5.0,False,1,True
Red Bull Racing,RIC,3,SUPERSOFT,1,73784000000,6.0,False,1,True
Red Bull Racing,RIC,4,SUPERSOFT,1,74604000000,7.0,False,1,True
Red Bull Racing,RIC,5,SUPERSOFT,1,73899000000,8.0,False,1,True
Red Bull Racing,RIC,6,SUPERSOFT,1,74415000000,9.0,False,1,True
Red Bull Racing,RIC,7,SUPERSOFT,1,74364000000,10.0,False,1,True
Red Bull Racing,RIC,8,SUPERSOFT,1,74309000000,11.0,False,1,True
Red Bull Racing,RIC,9,SUPERSOFT,1,74132000000,12.0,False,1,True
Red Bull Racing,RIC,10,SUPERSOFT,1,74718000000,13.0,False,1,True
Red Bull Racing,RIC,11,SUPERSOFT,1,75379000000,14.0,False,1,True
Red Bull Racing,RIC,12,SUPERSOFT,1,75078000000,15.0,False,1,True
Red Bull Racing,RIC,13,SUPERSOFT,1,74837000000,16.0,False,1,True
Red Bull Racing,RIC,14,SUPERSOFT,1,74776000000,17.0,False,1,True
Red Bull Racing,RIC,15,SUPERSOFT,1,74591000000,18.0,False,1,True
Red Bull Racing,RIC,16,SUPERSOFT,1,74684000000,19.0,False,1,True
Red Bull Racing,RIC,17,SUPERSOFT,1,74757000000,20.0,False,1,True
Red Bull Racing,RIC,18,SUPERSOFT,1,74571000000,21.0,False,1,True
Red Bull Racing,RIC,19,SUPERSOFT,1,73822000000,22.0,False,1,True
Red Bull Racing,RIC,20,SUPERSOFT,1,74256000000,23.0,False,1,True
Red Bull Racing,RIC,21,SUPERSOFT,1,74237000000,24.0,False,2,True
Red Bull Racing,RIC,22,SUPERSOFT,1,74135000000,25.0,False,1,True
Red Bull Racing,RIC,23,SUPERSOFT,1,74104000000,26.0,False,1,True
Red Bull Racing,RIC,24,SUPERSOFT,1,74102000000,27.0,False,1,True
Red Bull Racing,RIC,25,SUPERSOFT,1,73783000000,28.0,False,1,True
Red Bull Racing,RIC,26,SUPERSOFT,1,73732000000,29.0,False,1,True
Red Bull Racing,RIC,27,SUPERSOFT,1,73928000000,30.0,False,1,True
Red Bull Racing,RIC,28,SUPERSOFT,1,72919000000,31.0,False,1,True
Red Bull Racing,RIC,29,SUPERSOFT,1,73968000000,32.0,False,1,True
Red Bull Racing,RIC,30,SUPERSOFT,1,73070000000,33.0,False,1,True
Red Bull Racing,RIC,31,SUPERSOFT,1,73362000000,34.0,False,1,True
Red Bull Racing,RIC,32,SUPERSOFT,1,73412000000,35.0,False,1,True
Red Bull Racing,RIC,33,SUPERSOFT,1,73355000000,36.0,False,1,True
Red Bull Racing,RIC,34,SUPERSOFT,1,73128000000,37.0,False,1,True
Red Bull Racing,RIC,35,SUPERSOFT,1,73464000000,38.0,False,1,True
