['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Renault,SAI,2,SOFT,1,77068000000,2.0,True,1,True
Renault,SAI,3,SOFT,1,75643000000,3.0,True,1,True
Renault,SAI,4,SOFT,1,75421000000,4.0,True,1,True
Renault,SAI,5,SOFT,1,75529000000,5.0,True,1,True
Renault,SAI,6,SOFT,1,75602000000,6.0,True,1,True
Renault,SAI,7,SOFT,1,75910000000,7.0,True,1,True
Renault,SAI,8,SOFT,1,76395000000,8.0,True,1,True
Renault,SAI,9,SOFT,1,76124000000,9.0,True,1,True
Renault,SAI,10,SOFT,1,75970000000,10.0,True,1,True
Renault,SAI,11,SOFT,1,75965000000,11.0,True,1,True
Renault,SAI,12,SOFT,1,75559000000,12.0,True,1,True
Renault,SAI,13,SOFT,1,75788000000,13.0,True,1,True
Renault,SAI,14,SOFT,1,75561000000,14.0,True,1,True
Renault,SAI,15,SOFT,1,75313000000,15.0,True,1,True
Renault,SAI,16,SOFT,1,75564000000,16.0,True,1,True
Renault,SAI,17,SOFT,1,75219000000,17.0,True,1,True
Renault,SAI,18,SOFT,1,75486000000,18.0,True,1,True
Renault,SAI,19,SOFT,1,76002000000,19.0,True,1,True
Renault,SAI,20,SOFT,1,75958000000,20.0,True,2,True
Renault,SAI,21,SOFT,1,75611000000,21.0,True,2,True
Renault,SAI,22,SOFT,1,75889000000,22.0,True,1,True
Renault,SAI,23,SOFT,1,75379000000,23.0,True,1,True
Renault,SAI,24,SOFT,1,75225000000,24.0,True,1,True
Renault,SAI,25,SOFT,1,79572000000,25.0,True,1,False
Renault,SAI,26,MEDIUM,2,92234000000,1.0,True,1,False
Renault,SAI,27,MEDIUM,2,73347000000,2.0,True,1,True
Renault,SAI,28,MEDIUM,2,73913000000,3.0,True,1,True
Renault,SAI,29,MEDIUM,2,74090000000,4.0,True,1,True
Renault,SAI,30,MEDIUM,2,74845000000,5.0,True,1,True
Renault,SAI,31,MEDIUM,2,74914000000,6.0,True,1,True
Renault,SAI,32,MEDIUM,2,74703000000,7.0,True,1,True
Renault,SAI,33,MEDIUM,2,74414000000,8.0,True,1,True
Renault,SAI,34,MEDIUM,2,76429000000,9.0,True,1,True
Renault,SAI,35,MEDIUM,2,74224000000,10.0,True,1,True
Renault,SAI,36,MEDIUM,2,74179000000,11.0,True,1,True
Renault,SAI,37,MEDIUM,2,74170000000,12.0,True,1,True
Renault,SAI,38,MEDIUM,2,74387000000,13.0,True,1,True
Renault,SAI,39,MEDIUM,2,74416000000,14.0,True,1,True
Renault,SAI,40,MEDIUM,2,74282000000,15.0,True,1,True
Renault,SAI,41,MEDIUM,2,74863000000,16.0,True,1,True
Renault,SAI,42,MEDIUM,2,74902000000,17.0,True,1,True
Renault,SAI,43,MEDIUM,2,74403000000,18.0,True,2,True
Renault,SAI,44,MEDIUM,2,74685000000,19.0,True,1,True
Renault,SAI,45,MEDIUM,2,74806000000,20.0,True,1,True
Renault,SAI,46,MEDIUM,2,74460000000,21.0,True,1,True
Renault,SAI,47,MEDIUM,2,74208000000,22.0,True,1,True
Renault,SAI,48,MEDIUM,2,79119000000,23.0,True,1,False
Renault,SAI,49,SUPERSOFT,3,91104000000,1.0,True,1,False
Renault,SAI,50,SUPERSOFT,3,72169000000,2.0,True,1,True
Renault,SAI,51,SUPERSOFT,3,72674000000,3.0,True,1,True
Renault,SAI,52,SUPERSOFT,3,72926000000,4.0,True,1,True
Renault,SAI,53,SUPERSOFT,3,72796000000,5.0,True,1,True
Renault,SAI,54,SUPERSOFT,3,73956000000,6.0,True,1,True
Renault,SAI,55,SUPERSOFT,3,73878000000,7.0,True,1,True
Renault,SAI,56,SUPERSOFT,3,73019000000,8.0,True,1,True
Renault,SAI,57,SUPERSOFT,3,72636000000,9.0,True,1,True
Renault,SAI,58,SUPERSOFT,3,73320000000,10.0,True,1,True
Renault,SAI,59,SUPERSOFT,3,72985000000,11.0,True,1,True
Renault,SAI,60,SUPERSOFT,3,73255000000,12.0,True,1,True
Renault,SAI,61,SUPERSOFT,3,76469000000,13.0,True,1,True
Renault,SAI,62,SUPERSOFT,3,73757000000,14.0,True,1,True
Renault,SAI,63,SUPERSOFT,3,74986000000,15.0,True,1,True
Renault,SAI,64,SUPERSOFT,3,76071000000,16.0,True,1,True
Renault,SAI,65,SUPERSOFT,3,74569000000,17.0,True,1,True
Renault,SAI,66,SUPERSOFT,3,76311000000,18.0,True,1,True
Renault,SAI,67,SUPERSOFT,3,75348000000,19.0,True,1,True
Renault,SAI,68,SUPERSOFT,3,75522000000,20.0,True,1,True
Renault,SAI,69,SUPERSOFT,3,75412000000,21.0,True,1,True
Renault,SAI,70,SUPERSOFT,3,73948000000,22.0,True,1,True
