['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Williams,SIR,2,SOFT,1,77226000000,2.0,True,1,True
Williams,SIR,3,SOFT,1,76753000000,3.0,True,1,True
Williams,SIR,4,SOFT,1,76755000000,4.0,True,1,True
Williams,SIR,5,SOFT,1,75655000000,5.0,True,1,True
Williams,SIR,6,SOFT,1,75929000000,6.0,True,1,True
Williams,SIR,7,SOFT,1,76011000000,7.0,True,1,True
Williams,SIR,8,SOFT,1,75887000000,8.0,True,1,True
Williams,SIR,9,SOFT,1,76118000000,9.0,True,1,True
Williams,SIR,10,SOFT,1,76840000000,10.0,True,1,True
Williams,SIR,11,SOFT,1,76760000000,11.0,True,1,True
Williams,SIR,12,SOFT,1,76342000000,12.0,True,1,True
Williams,SIR,13,SOFT,1,76444000000,13.0,True,1,True
Williams,SIR,14,SOFT,1,76673000000,14.0,True,1,True
Williams,SIR,15,SOFT,1,76353000000,15.0,True,1,True
Williams,SIR,16,SOFT,1,79950000000,16.0,True,1,False
Williams,SIR,17,MEDIUM,2,93570000000,1.0,True,1,False
Williams,SIR,18,MEDIUM,2,74352000000,2.0,True,1,True
Williams,SIR,19,MEDIUM,2,74456000000,3.0,True,1,True
Williams,SIR,20,MEDIUM,2,74733000000,4.0,True,2,True
Williams,SIR,21,MEDIUM,2,74488000000,5.0,True,1,True
Williams,SIR,22,MEDIUM,2,74920000000,6.0,True,1,True
Williams,SIR,23,MEDIUM,2,75124000000,7.0,True,1,True
Williams,SIR,24,MEDIUM,2,75274000000,8.0,True,1,True
Williams,SIR,25,MEDIUM,2,75238000000,9.0,True,1,True
Williams,SIR,26,MEDIUM,2,75170000000,10.0,True,1,True
Williams,SIR,27,MEDIUM,2,75420000000,11.0,True,1,True
Williams,SIR,28,MEDIUM,2,75972000000,12.0,True,1,True
Williams,SIR,29,MEDIUM,2,74895000000,13.0,True,1,True
Williams,SIR,30,MEDIUM,2,74731000000,14.0,True,1,True
Williams,SIR,31,MEDIUM,2,75067000000,15.0,True,1,True
Williams,SIR,32,MEDIUM,2,75045000000,16.0,True,1,True
Williams,SIR,33,MEDIUM,2,74788000000,17.0,True,1,True
Williams,SIR,34,MEDIUM,2,76545000000,18.0,True,1,True
Williams,SIR,35,MEDIUM,2,74538000000,19.0,True,1,True
Williams,SIR,36,MEDIUM,2,74521000000,20.0,True,1,True
Williams,SIR,37,MEDIUM,2,74462000000,21.0,True,1,True
Williams,SIR,38,MEDIUM,2,74752000000,22.0,True,1,True
Williams,SIR,39,MEDIUM,2,74987000000,23.0,True,1,True
Williams,SIR,40,MEDIUM,2,77471000000,24.0,True,1,True
Williams,SIR,41,MEDIUM,2,74854000000,25.0,True,1,True
Williams,SIR,42,MEDIUM,2,75170000000,26.0,True,1,True
Williams,SIR,43,MEDIUM,2,78857000000,27.0,True,2,True
Williams,SIR,44,MEDIUM,2,76364000000,28.0,True,1,True
Williams,SIR,45,MEDIUM,2,75108000000,29.0,True,1,True
Williams,SIR,46,MEDIUM,2,74847000000,30.0,True,1,True
Williams,SIR,47,MEDIUM,2,74818000000,31.0,True,1,True
Williams,SIR,48,MEDIUM,2,75508000000,32.0,True,1,True
Williams,SIR,49,MEDIUM,2,74880000000,33.0,True,1,True
Williams,SIR,50,MEDIUM,2,74903000000,34.0,True,1,True
Williams,SIR,51,MEDIUM,2,74399000000,35.0,True,1,True
Williams,SIR,52,MEDIUM,2,74262000000,36.0,True,1,True
Williams,SIR,53,MEDIUM,2,74307000000,37.0,True,1,True
Williams,SIR,54,MEDIUM,2,76970000000,38.0,True,1,True
Williams,SIR,55,MEDIUM,2,75012000000,39.0,True,1,True
Williams,SIR,56,MEDIUM,2,74525000000,40.0,True,1,True
Williams,SIR,57,MEDIUM,2,75281000000,41.0,True,1,True
Williams,SIR,58,MEDIUM,2,76165000000,42.0,True,1,True
Williams,SIR,59,MEDIUM,2,75220000000,43.0,True,1,True
Williams,SIR,60,MEDIUM,2,76253000000,44.0,True,1,True
Williams,SIR,61,MEDIUM,2,74829000000,45.0,True,1,True
Williams,SIR,62,MEDIUM,2,74875000000,46.0,True,1,True
Williams,SIR,63,MEDIUM,2,75417000000,47.0,True,1,True
Williams,SIR,64,MEDIUM,2,74859000000,48.0,True,1,True
Williams,SIR,65,MEDIUM,2,75555000000,49.0,True,1,True
Williams,SIR,66,MEDIUM,2,78123000000,50.0,True,1,True
Williams,SIR,67,MEDIUM,2,76909000000,51.0,True,1,True
Williams,SIR,68,MEDIUM,2,76408000000,52.0,True,1,True
Williams,SIR,69,MEDIUM,2,74979000000,53.0,True,1,True
