['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Williams,STR,2,SOFT,1,77638000000,2.0,True,1,True
Williams,STR,3,SOFT,1,77054000000,3.0,True,1,True
Williams,STR,4,SOFT,1,76692000000,4.0,True,1,True
Williams,STR,5,SOFT,1,76095000000,5.0,True,1,True
Williams,STR,6,SOFT,1,76023000000,6.0,True,1,True
Williams,STR,7,SOFT,1,75890000000,7.0,True,1,True
Williams,STR,8,SOFT,1,75868000000,8.0,True,1,True
Williams,STR,9,SOFT,1,76215000000,9.0,True,1,True
Williams,STR,10,SOFT,1,76483000000,10.0,True,1,True
Williams,STR,11,SOFT,1,76494000000,11.0,True,1,True
Williams,STR,12,SOFT,1,76462000000,12.0,True,1,True
Williams,STR,13,SOFT,1,76603000000,13.0,True,1,True
Williams,STR,14,SOFT,1,76481000000,14.0,True,1,True
Williams,STR,15,SOFT,1,76375000000,15.0,True,1,True
Williams,STR,16,SOFT,1,76563000000,16.0,True,1,True
Williams,STR,17,SOFT,1,80105000000,17.0,True,1,False
Williams,STR,18,MEDIUM,2,93402000000,1.0,True,1,False
Williams,STR,19,MEDIUM,2,74980000000,2.0,True,1,True
Williams,STR,20,MEDIUM,2,74906000000,3.0,True,2,True
Williams,STR,21,MEDIUM,2,74720000000,4.0,True,1,True
Williams,STR,22,MEDIUM,2,74783000000,5.0,True,1,True
Williams,STR,23,MEDIUM,2,74950000000,6.0,True,1,True
Williams,STR,24,MEDIUM,2,75081000000,7.0,True,1,True
Williams,STR,25,MEDIUM,2,76940000000,8.0,True,1,True
Williams,STR,26,MEDIUM,2,75179000000,9.0,True,1,True
Williams,STR,27,MEDIUM,2,74912000000,10.0,True,1,True
Williams,STR,28,MEDIUM,2,75207000000,11.0,True,1,True
Williams,STR,29,MEDIUM,2,74684000000,12.0,True,1,True
Williams,STR,30,MEDIUM,2,74869000000,13.0,True,1,True
Williams,STR,31,MEDIUM,2,74843000000,14.0,True,1,True
Williams,STR,32,MEDIUM,2,76515000000,15.0,True,1,True
Williams,STR,33,MEDIUM,2,74401000000,16.0,True,1,True
Williams,STR,34,MEDIUM,2,74354000000,17.0,True,1,True
Williams,STR,35,MEDIUM,2,74569000000,18.0,True,1,True
Williams,STR,36,MEDIUM,2,74416000000,19.0,True,1,True
Williams,STR,37,MEDIUM,2,74392000000,20.0,True,1,True
Williams,STR,38,MEDIUM,2,76570000000,21.0,True,1,True
Williams,STR,39,MEDIUM,2,75086000000,22.0,True,1,True
Williams,STR,40,MEDIUM,2,74812000000,23.0,True,1,True
Williams,STR,41,MEDIUM,2,74750000000,24.0,True,1,True
Williams,STR,42,MEDIUM,2,76370000000,25.0,True,1,True
Williams,STR,43,MEDIUM,2,77845000000,26.0,True,2,True
Williams,STR,44,MEDIUM,2,75298000000,27.0,True,1,True
Williams,STR,45,MEDIUM,2,74974000000,28.0,True,1,True
Williams,STR,46,MEDIUM,2,75017000000,29.0,True,1,True
Williams,STR,47,MEDIUM,2,75910000000,30.0,True,1,True
Williams,STR,48,MEDIUM,2,74888000000,31.0,True,1,True
Williams,STR,49,MEDIUM,2,74776000000,32.0,True,1,True
Williams,STR,50,MEDIUM,2,74869000000,33.0,True,1,True
Williams,STR,51,MEDIUM,2,74683000000,34.0,True,1,True
Williams,STR,52,MEDIUM,2,74496000000,35.0,True,1,True
Williams,STR,53,MEDIUM,2,76501000000,36.0,True,1,True
Williams,STR,54,MEDIUM,2,75072000000,37.0,True,1,True
Williams,STR,55,MEDIUM,2,77030000000,38.0,True,1,True
Williams,STR,56,MEDIUM,2,76452000000,39.0,True,1,True
Williams,STR,57,MEDIUM,2,75204000000,40.0,True,1,True
Williams,STR,58,MEDIUM,2,74873000000,41.0,True,1,True
Williams,STR,59,MEDIUM,2,75140000000,42.0,True,1,True
Williams,STR,60,MEDIUM,2,75288000000,43.0,True,1,True
Williams,STR,61,MEDIUM,2,76127000000,44.0,True,1,True
Williams,STR,62,MEDIUM,2,75202000000,45.0,True,1,True
Williams,STR,63,MEDIUM,2,76334000000,46.0,True,1,True
Williams,STR,64,MEDIUM,2,79815000000,47.0,True,1,True
Williams,STR,65,MEDIUM,2,80275000000,48.0,True,1,False
Williams,STR,66,SUPERSOFT,3,92898000000,1.0,True,1,False
Williams,STR,67,SUPERSOFT,3,71910000000,2.0,True,1,True
Williams,STR,68,SUPERSOFT,3,71751000000,3.0,True,1,True
Williams,STR,69,SUPERSOFT,3,72493000000,4.0,True,1,True
