['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Red Bull Racing,VER,2,SUPERSOFT,1,74517000000,5.0,False,1,True
Red Bull Racing,VER,3,SUPERSOFT,1,74036000000,6.0,False,1,True
Red Bull Racing,VER,4,SUPERSOFT,1,73997000000,7.0,False,1,True
Red Bull Racing,VER,5,SUPERSOFT,1,74393000000,8.0,False,1,True
Red Bull Racing,VER,6,SUPERSOFT,1,74311000000,9.0,False,1,True
Red Bull Racing,VER,7,SUPERSOFT,1,74384000000,10.0,False,1,True
Red Bull Racing,VER,8,SUPERSOFT,1,74940000000,11.0,False,1,True
Red Bull Racing,VER,9,SUPERSOFT,1,74082000000,12.0,False,1,True
Red Bull Racing,VER,10,SUPERSOFT,1,74288000000,13.0,False,1,True
Red Bull Racing,VER,11,SUPERSOFT,1,74216000000,14.0,False,1,True
Red Bull Racing,VER,12,SUPERSOFT,1,73949000000,15.0,False,1,True
Red Bull Racing,VER,13,SUPERSOFT,1,74025000000,16.0,False,1,True
Red Bull Racing,VER,14,SUPERSOFT,1,74214000000,17.0,False,1,True
Red Bull Racing,VER,15,SUPERSOFT,1,73856000000,18.0,False,1,True
Red Bull Racing,VER,16,SUPERSOFT,1,73906000000,19.0,False,1,True
Red Bull Racing,VER,17,SUPERSOFT,1,74477000000,20.0,False,1,True
Red Bull Racing,VER,18,SUPERSOFT,1,73599000000,21.0,False,1,True
Red Bull Racing,VER,19,SUPERSOFT,1,73737000000,22.0,False,1,True
Red Bull Racing,VER,20,SUPERSOFT,1,73429000000,23.0,False,1,True
Red Bull Racing,VER,21,SUPERSOFT,1,73745000000,24.0,False,2,True
Red Bull Racing,VER,22,SUPERSOFT,1,73652000000,25.0,False,1,True
Red Bull Racing,VER,23,SUPERSOFT,1,73815000000,26.0,False,1,True
Red Bull Racing,VER,24,SUPERSOFT,1,73709000000,27.0,False,1,True
Red Bull Racing,VER,25,SUPERSOFT,1,74005000000,28.0,False,1,True
Red Bull Racing,VER,26,SUPERSOFT,1,73961000000,29.0,False,1,True
Red Bull Racing,VER,27,SUPERSOFT,1,73628000000,30.0,False,1,True
Red Bull Racing,VER,28,SUPERSOFT,1,73586000000,31.0,False,1,True
Red Bull Racing,VER,29,SUPERSOFT,1,73552000000,32.0,False,1,True
Red Bull Racing,VER,30,SUPERSOFT,1,73289000000,33.0,False,1,True
Red Bull Racing,VER,31,SUPERSOFT,1,73245000000,34.0,False,1,True
Red Bull Racing,VER,32,SUPERSOFT,1,73686000000,35.0,False,1,True
Red Bull Racing,VER,33,SUPERSOFT,1,73709000000,36.0,False,1,True
Red Bull Racing,VER,34,SUPERSOFT,1,74408000000,37.0,False,1,True
Red Bull Racing,VER,35,SUPERSOFT,1,77807000000,38.0,False,1,False
Red Bull Racing,VER,36,SOFT,2,90774000000,1.0,True,1,False
Red Bull Racing,VER,37,SOFT,2,72678000000,2.0,True,1,True
Red Bull Racing,VER,38,SOFT,2,72143000000,3.0,True,1,True
Red Bull Racing,VER,39,SOFT,2,72656000000,4.0,True,1,True
Red Bull Racing,VER,40,SOFT,2,72348000000,5.0,True,1,True
Red Bull Racing,VER,41,SOFT,2,73650000000,6.0,True,1,True
Red Bull Racing,VER,42,SOFT,2,73340000000,7.0,True,1,True
Red Bull Racing,VER,43,SOFT,2,73116000000,8.0,True,1,True
Red Bull Racing,VER,44,SOFT,2,81817000000,9.0,True,2,True
Red Bull Racing,VER,45,SOFT,2,72758000000,10.0,True,1,True
Red Bull Racing,VER,46,SOFT,2,72701000000,11.0,True,1,True
Red Bull Racing,VER,47,SOFT,2,72726000000,12.0,True,1,True
Red Bull Racing,VER,48,SOFT,2,72741000000,13.0,True,1,True
Red Bull Racing,VER,49,SOFT,2,72607000000,14.0,True,1,True
Red Bull Racing,VER,50,SOFT,2,72728000000,15.0,True,1,True
Red Bull Racing,VER,51,SOFT,2,72166000000,16.0,True,1,True
Red Bull Racing,VER,52,SOFT,2,72715000000,17.0,True,1,True
Red Bull Racing,VER,53,SOFT,2,72073000000,18.0,True,1,True
Red Bull Racing,VER,54,SOFT,2,72118000000,19.0,True,1,True
Red Bull Racing,VER,55,SOFT,2,72048000000,20.0,True,1,True
Red Bull Racing,VER,56,SOFT,2,71901000000,21.0,True,1,True
Red Bull Racing,VER,57,SOFT,2,72306000000,22.0,True,1,True
Red Bull Racing,VER,58,SOFT,2,71969000000,23.0,True,1,True
Red Bull Racing,VER,59,SOFT,2,71809000000,24.0,True,1,True
Red Bull Racing,VER,60,SOFT,2,71992000000,25.0,True,1,True
Red Bull Racing,VER,61,SOFT,2,71578000000,26.0,True,1,True
Red Bull Racing,VER,62,SOFT,2,71752000000,27.0,True,1,True
Red Bull Racing,VER,63,SOFT,2,72102000000,28.0,True,1,True
Red Bull Racing,VER,64,SOFT,2,71983000000,29.0,True,1,True
Red Bull Racing,VER,65,SOFT,2,71920000000,30.0,True,1,True
Red Bull Racing,VER,66,SOFT,2,72257000000,31.0,True,1,True
Red Bull Racing,VER,67,SOFT,2,71965000000,32.0,True,1,True
Red Bull Racing,VER,68,SOFT,2,72858000000,33.0,True,1,True
Red Bull Racing,VER,69,SOFT,2,72032000000,34.0,True,1,True
Red Bull Racing,VER,70,SOFT,2,71855000000,35.0,True,1,True
Red Bull Racing,VER,71,SOFT,2,72013000000,36.0,True,1,True
