['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Toro Rosso,GAS,2.0,HYPERSOFT,1.0,125067000000,1.0,True,4,False
Toro Rosso,GAS,3.0,HYPERSOFT,1.0,122032000000,2.0,True,4,False
Toro Rosso,GAS,4.0,HYPERSOFT,1.0,114286000000,3.0,True,4,False
Toro Rosso,GAS,5.0,HYPERSOFT,1.0,81335000000,4.0,True,1,False
Toro Rosso,GAS,6.0,HYPERSOFT,1.0,78384000000,5.0,True,1,True
Toro Rosso,GAS,7.0,HYPERSOFT,1.0,77873000000,6.0,True,1,True
Toro Rosso,GAS,8.0,HYPERSOFT,1.0,78167000000,7.0,True,1,True
Toro Rosso,GAS,9.0,HYPERSOFT,1.0,77356000000,8.0,True,1,True
Toro Rosso,GAS,10.0,HYPERSOFT,1.0,78164000000,9.0,True,1,True
Toro Rosso,GAS,11.0,HYPERSOFT,1.0,77698000000,10.0,True,1,True
Toro Rosso,GAS,12.0,HYPERSOFT,1.0,77545000000,11.0,True,1,True
Toro Rosso,GAS,13.0,HYPERSOFT,1.0,77500000000,12.0,True,1,True
Toro Rosso,GAS,14.0,HYPERSOFT,1.0,77333000000,13.0,True,1,True
Toro Rosso,GAS,15.0,HYPERSOFT,1.0,78024000000,14.0,True,1,True
Toro Rosso,GAS,16.0,HYPERSOFT,1.0,77335000000,15.0,True,1,True
Toro Rosso,GAS,17.0,HYPERSOFT,1.0,77377000000,16.0,True,1,True
Toro Rosso,GAS,18.0,HYPERSOFT,1.0,77035000000,17.0,True,1,True
Toro Rosso,GAS,19.0,HYPERSOFT,1.0,77218000000,18.0,True,1,True
Toro Rosso,GAS,20.0,HYPERSOFT,1.0,76992000000,19.0,True,1,True
Toro Rosso,GAS,21.0,HYPERSOFT,1.0,76911000000,20.0,True,1,True
Toro Rosso,GAS,22.0,HYPERSOFT,1.0,77142000000,21.0,True,1,True
Toro Rosso,GAS,23.0,HYPERSOFT,1.0,93573000000,22.0,True,1,False
Toro Rosso,GAS,24.0,SUPERSOFT,2.0,79002000000,1.0,True,1,False
Toro Rosso,GAS,25.0,SUPERSOFT,2.0,76633000000,2.0,True,1,True
Toro Rosso,GAS,26.0,SUPERSOFT,2.0,76602000000,3.0,True,1,True
Toro Rosso,GAS,27.0,SUPERSOFT,2.0,76667000000,4.0,True,1,True
Toro Rosso,GAS,28.0,SUPERSOFT,2.0,76725000000,5.0,True,1,True
Toro Rosso,GAS,29.0,SUPERSOFT,2.0,76566000000,6.0,True,1,True
Toro Rosso,GAS,30.0,SUPERSOFT,2.0,76627000000,7.0,True,1,True
Toro Rosso,GAS,31.0,SUPERSOFT,2.0,76792000000,8.0,True,1,True
Toro Rosso,GAS,32.0,SUPERSOFT,2.0,76836000000,9.0,True,1,True
Toro Rosso,GAS,33.0,SUPERSOFT,2.0,78063000000,10.0,True,1,True
Toro Rosso,GAS,34.0,SUPERSOFT,2.0,76870000000,11.0,True,1,True
Toro Rosso,GAS,35.0,SUPERSOFT,2.0,76984000000,12.0,True,1,True
Toro Rosso,GAS,36.0,SUPERSOFT,2.0,76519000000,13.0,True,1,True
Toro Rosso,GAS,37.0,SUPERSOFT,2.0,76564000000,14.0,True,1,True
Toro Rosso,GAS,38.0,SUPERSOFT,2.0,76596000000,15.0,True,1,True
Toro Rosso,GAS,39.0,SUPERSOFT,2.0,76439000000,16.0,True,1,True
Toro Rosso,GAS,40.0,SUPERSOFT,2.0,76353000000,17.0,True,1,True
Toro Rosso,GAS,41.0,SUPERSOFT,2.0,76715000000,18.0,True,1,True
Toro Rosso,GAS,42.0,SUPERSOFT,2.0,76429000000,19.0,True,1,True
Toro Rosso,GAS,43.0,SUPERSOFT,2.0,76444000000,20.0,True,1,True
Toro Rosso,GAS,44.0,SUPERSOFT,2.0,77852000000,21.0,True,1,True
Toro Rosso,GAS,45.0,SUPERSOFT,2.0,76571000000,22.0,True,1,True
Toro Rosso,GAS,46.0,SUPERSOFT,2.0,76332000000,23.0,True,1,True
Toro Rosso,GAS,47.0,SUPERSOFT,2.0,77623000000,24.0,True,1,True
Toro Rosso,GAS,48.0,SUPERSOFT,2.0,76051000000,25.0,True,1,True
Toro Rosso,GAS,49.0,SUPERSOFT,2.0,77999000000,26.0,True,1,True
Toro Rosso,GAS,50.0,SUPERSOFT,2.0,76473000000,27.0,True,1,True
Toro Rosso,GAS,51.0,SUPERSOFT,2.0,76315000000,28.0,True,1,True
Toro Rosso,GAS,52.0,SUPERSOFT,2.0,76173000000,29.0,True,1,True
Toro Rosso,GAS,53.0,SUPERSOFT,2.0,77356000000,30.0,True,1,True
Toro Rosso,GAS,54.0,SUPERSOFT,2.0,77370000000,31.0,True,1,True
Toro Rosso,GAS,55.0,SUPERSOFT,2.0,76703000000,32.0,True,1,True
Toro Rosso,GAS,56.0,SUPERSOFT,2.0,77562000000,33.0,True,1,True
Toro Rosso,GAS,57.0,SUPERSOFT,2.0,75841000000,34.0,True,1,True
Toro Rosso,GAS,58.0,SUPERSOFT,2.0,76002000000,35.0,True,1,True
Toro Rosso,GAS,59.0,SUPERSOFT,2.0,76276000000,36.0,True,1,True
Toro Rosso,GAS,60.0,SUPERSOFT,2.0,76274000000,37.0,True,1,True
Toro Rosso,GAS,61.0,SUPERSOFT,2.0,76155000000,38.0,True,1,True
Toro Rosso,GAS,62.0,SUPERSOFT,2.0,76057000000,39.0,True,1,True
Toro Rosso,GAS,63.0,SUPERSOFT,2.0,76018000000,40.0,True,1,True
Toro Rosso,GAS,64.0,SUPERSOFT,2.0,75752000000,41.0,True,1,True
Toro Rosso,GAS,65.0,SUPERSOFT,2.0,76039000000,42.0,True,1,True
Toro Rosso,GAS,66.0,SUPERSOFT,2.0,76052000000,43.0,True,1,True
Toro Rosso,GAS,67.0,SUPERSOFT,2.0,75699000000,44.0,True,1,True
