['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Haas F1 Team,GRO,2.0,ULTRASOFT,1.0,125262000000,1.0,True,4,False
Haas F1 Team,GRO,3.0,ULTRASOFT,1.0,122528000000,2.0,True,4,False
Haas F1 Team,GRO,4.0,ULTRASOFT,1.0,113406000000,3.0,True,4,False
Haas F1 Team,GRO,5.0,ULTRASOFT,1.0,83381000000,4.0,True,1,False
Haas F1 Team,GRO,6.0,ULTRASOFT,1.0,80414000000,5.0,True,1,True
Haas F1 Team,GRO,7.0,ULTRASOFT,1.0,78727000000,6.0,True,1,True
Haas F1 Team,GRO,8.0,ULTRASOFT,1.0,78115000000,7.0,True,1,True
Haas F1 Team,GRO,9.0,ULTRASOFT,1.0,77653000000,8.0,True,1,True
Haas F1 Team,GRO,10.0,ULTRASOFT,1.0,77265000000,9.0,True,1,True
Haas F1 Team,GRO,11.0,ULTRASOFT,1.0,77269000000,10.0,True,1,True
Haas F1 Team,GRO,12.0,ULTRASOFT,1.0,77340000000,11.0,True,1,True
Haas F1 Team,GRO,13.0,ULTRASOFT,1.0,77431000000,12.0,True,1,True
Haas F1 Team,GRO,14.0,ULTRASOFT,1.0,77310000000,13.0,True,1,True
Haas F1 Team,GRO,15.0,ULTRASOFT,1.0,77548000000,14.0,True,1,True
Haas F1 Team,GRO,16.0,ULTRASOFT,1.0,77251000000,15.0,True,1,True
Haas F1 Team,GRO,17.0,ULTRASOFT,1.0,77197000000,16.0,True,1,True
Haas F1 Team,GRO,18.0,ULTRASOFT,1.0,77472000000,17.0,True,1,True
Haas F1 Team,GRO,19.0,ULTRASOFT,1.0,77425000000,18.0,True,1,True
Haas F1 Team,GRO,20.0,ULTRASOFT,1.0,77076000000,19.0,True,1,True
Haas F1 Team,GRO,21.0,ULTRASOFT,1.0,77007000000,20.0,True,1,True
Haas F1 Team,GRO,22.0,ULTRASOFT,1.0,77136000000,21.0,True,1,True
