['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Mercedes,HAM,2.0,ULTRASOFT,1.0,128904000000,4.0,False,4,False
Mercedes,HAM,3.0,ULTRASOFT,1.0,124438000000,5.0,False,4,False
Mercedes,HAM,4.0,ULTRASOFT,1.0,124395000000,6.0,False,4,False
Mercedes,HAM,5.0,ULTRASOFT,1.0,78160000000,7.0,False,1,False
Mercedes,HAM,6.0,ULTRASOFT,1.0,77029000000,8.0,False,1,True
Mercedes,HAM,7.0,ULTRASOFT,1.0,76290000000,9.0,False,1,True
Mercedes,HAM,8.0,ULTRASOFT,1.0,76547000000,10.0,False,1,True
Mercedes,HAM,9.0,ULTRASOFT,1.0,76631000000,11.0,False,1,True
Mercedes,HAM,10.0,ULTRASOFT,1.0,76411000000,12.0,False,1,True
Mercedes,HAM,11.0,ULTRASOFT,1.0,76831000000,13.0,False,1,True
Mercedes,HAM,12.0,ULTRASOFT,1.0,76466000000,14.0,False,1,True
Mercedes,HAM,13.0,ULTRASOFT,1.0,76556000000,15.0,False,1,True
Mercedes,HAM,14.0,ULTRASOFT,1.0,76655000000,16.0,False,1,True
Mercedes,HAM,15.0,ULTRASOFT,1.0,76226000000,17.0,False,1,True
Mercedes,HAM,16.0,ULTRASOFT,1.0,92178000000,18.0,False,1,False
Mercedes,HAM,17.0,SUPERSOFT,2.0,78947000000,1.0,True,1,False
Mercedes,HAM,18.0,SUPERSOFT,2.0,75907000000,2.0,True,1,True
Mercedes,HAM,19.0,SUPERSOFT,2.0,75696000000,3.0,True,1,True
Mercedes,HAM,20.0,SUPERSOFT,2.0,75856000000,4.0,True,1,True
Mercedes,HAM,21.0,SUPERSOFT,2.0,75765000000,5.0,True,1,True
Mercedes,HAM,22.0,SUPERSOFT,2.0,75619000000,6.0,True,1,True
Mercedes,HAM,23.0,SUPERSOFT,2.0,76410000000,7.0,True,1,True
Mercedes,HAM,24.0,SUPERSOFT,2.0,76169000000,8.0,True,1,True
Mercedes,HAM,25.0,SUPERSOFT,2.0,75797000000,9.0,True,1,True
Mercedes,HAM,26.0,SUPERSOFT,2.0,75530000000,10.0,True,1,True
Mercedes,HAM,27.0,SUPERSOFT,2.0,75949000000,11.0,True,1,True
Mercedes,HAM,28.0,SUPERSOFT,2.0,75804000000,12.0,True,1,True
Mercedes,HAM,29.0,SUPERSOFT,2.0,75921000000,13.0,True,1,True
Mercedes,HAM,30.0,SUPERSOFT,2.0,75810000000,14.0,True,1,True
Mercedes,HAM,31.0,SUPERSOFT,2.0,75324000000,15.0,True,1,True
Mercedes,HAM,32.0,SUPERSOFT,2.0,75427000000,16.0,True,1,True
Mercedes,HAM,33.0,SUPERSOFT,2.0,75950000000,17.0,True,1,True
Mercedes,HAM,34.0,SUPERSOFT,2.0,75532000000,18.0,True,1,True
Mercedes,HAM,35.0,SUPERSOFT,2.0,75399000000,19.0,True,1,True
Mercedes,HAM,36.0,SUPERSOFT,2.0,75244000000,20.0,True,1,True
Mercedes,HAM,37.0,SUPERSOFT,2.0,75075000000,21.0,True,1,True
Mercedes,HAM,38.0,SUPERSOFT,2.0,75004000000,22.0,True,1,True
Mercedes,HAM,39.0,SUPERSOFT,2.0,75353000000,23.0,True,1,True
Mercedes,HAM,40.0,SUPERSOFT,2.0,74960000000,24.0,True,1,True
Mercedes,HAM,41.0,SUPERSOFT,2.0,74818000000,25.0,True,1,True
Mercedes,HAM,42.0,SUPERSOFT,2.0,75199000000,26.0,True,1,True
Mercedes,HAM,43.0,SUPERSOFT,2.0,75348000000,27.0,True,1,True
Mercedes,HAM,44.0,SUPERSOFT,2.0,74756000000,28.0,True,1,True
Mercedes,HAM,45.0,SUPERSOFT,2.0,74931000000,29.0,True,1,True
Mercedes,HAM,46.0,SUPERSOFT,2.0,74806000000,30.0,True,1,True
Mercedes,HAM,47.0,SUPERSOFT,2.0,74704000000,31.0,True,1,True
Mercedes,HAM,48.0,SUPERSOFT,2.0,75194000000,32.0,True,1,True
Mercedes,HAM,49.0,SUPERSOFT,2.0,74776000000,33.0,True,1,True
Mercedes,HAM,50.0,SUPERSOFT,2.0,74772000000,34.0,True,1,True
Mercedes,HAM,51.0,SUPERSOFT,2.0,74807000000,35.0,True,1,True
Mercedes,HAM,52.0,SUPERSOFT,2.0,74496000000,36.0,True,1,True
Mercedes,HAM,53.0,SUPERSOFT,2.0,74375000000,37.0,True,1,True
Mercedes,HAM,54.0,SUPERSOFT,2.0,74904000000,38.0,True,1,True
Mercedes,HAM,55.0,SUPERSOFT,2.0,75394000000,39.0,True,1,True
Mercedes,HAM,56.0,SUPERSOFT,2.0,74756000000,40.0,True,1,True
Mercedes,HAM,57.0,SUPERSOFT,2.0,74208000000,41.0,True,1,True
Mercedes,HAM,58.0,SUPERSOFT,2.0,74826000000,42.0,True,1,True
Mercedes,HAM,59.0,SUPERSOFT,2.0,74535000000,43.0,True,1,True
Mercedes,HAM,60.0,SUPERSOFT,2.0,74396000000,44.0,True,1,True
Mercedes,HAM,61.0,SUPERSOFT,2.0,74432000000,45.0,True,1,True
Mercedes,HAM,62.0,SUPERSOFT,2.0,74302000000,46.0,True,1,True
Mercedes,HAM,63.0,SUPERSOFT,2.0,74534000000,47.0,True,1,True
Mercedes,HAM,64.0,SUPERSOFT,2.0,74892000000,48.0,True,1,True
Mercedes,HAM,65.0,SUPERSOFT,2.0,74977000000,49.0,True,1,True
Mercedes,HAM,66.0,SUPERSOFT,2.0,74183000000,50.0,True,1,True
Mercedes,HAM,67.0,SUPERSOFT,2.0,75058000000,51.0,True,1,True
Mercedes,HAM,68.0,SUPERSOFT,2.0,74983000000,52.0,True,1,True
Mercedes,HAM,69.0,SUPERSOFT,2.0,74955000000,53.0,True,1,True
Mercedes,HAM,70.0,SUPERSOFT,2.0,75898000000,54.0,True,1,True
