['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Renault,HUL,2.0,HYPERSOFT,1.0,129285000000,4.0,False,4,False
Renault,HUL,3.0,HYPERSOFT,1.0,125192000000,5.0,False,4,False
Renault,HUL,4.0,HYPERSOFT,1.0,119798000000,6.0,False,4,False
Renault,HUL,5.0,HYPERSOFT,1.0,80193000000,7.0,False,1,False
Renault,HUL,6.0,HYPERSOFT,1.0,77886000000,8.0,False,1,True
Renault,HUL,7.0,HYPERSOFT,1.0,76903000000,9.0,False,1,True
Renault,HUL,8.0,HYPERSOFT,1.0,77500000000,10.0,False,1,True
Renault,HUL,9.0,HYPERSOFT,1.0,76976000000,11.0,False,1,True
Renault,HUL,10.0,HYPERSOFT,1.0,76942000000,12.0,False,1,True
Renault,HUL,11.0,HYPERSOFT,1.0,76579000000,13.0,False,1,True
Renault,HUL,12.0,HYPERSOFT,1.0,75914000000,14.0,False,1,True
Renault,HUL,13.0,HYPERSOFT,1.0,93240000000,15.0,False,1,False
Renault,HUL,14.0,SUPERSOFT,2.0,78971000000,1.0,True,1,False
Renault,HUL,15.0,SUPERSOFT,2.0,76545000000,2.0,True,1,True
Renault,HUL,16.0,SUPERSOFT,2.0,77016000000,3.0,True,1,True
Renault,HUL,17.0,SUPERSOFT,2.0,76988000000,4.0,True,1,True
Renault,HUL,18.0,SUPERSOFT,2.0,76937000000,5.0,True,1,True
Renault,HUL,19.0,SUPERSOFT,2.0,76923000000,6.0,True,1,True
Renault,HUL,20.0,SUPERSOFT,2.0,76914000000,7.0,True,1,True
Renault,HUL,21.0,SUPERSOFT,2.0,77403000000,8.0,True,1,True
Renault,HUL,22.0,SUPERSOFT,2.0,76844000000,9.0,True,1,True
Renault,HUL,23.0,SUPERSOFT,2.0,77028000000,10.0,True,1,True
Renault,HUL,24.0,SUPERSOFT,2.0,76264000000,11.0,True,1,True
Renault,HUL,25.0,SUPERSOFT,2.0,76965000000,12.0,True,1,True
Renault,HUL,26.0,SUPERSOFT,2.0,76699000000,13.0,True,1,True
Renault,HUL,27.0,SUPERSOFT,2.0,77397000000,14.0,True,1,True
Renault,HUL,28.0,SUPERSOFT,2.0,76908000000,15.0,True,1,True
Renault,HUL,29.0,SUPERSOFT,2.0,76635000000,16.0,True,1,True
Renault,HUL,30.0,SUPERSOFT,2.0,None,17.0,True,1,False
Renault,HUL,31.0,SUPERSOFT,2.0,76706000000,18.0,True,1,True
Renault,HUL,32.0,SUPERSOFT,2.0,76811000000,19.0,True,1,True
Renault,HUL,33.0,SUPERSOFT,2.0,76783000000,20.0,True,1,True
Renault,HUL,34.0,SUPERSOFT,2.0,76348000000,21.0,True,1,True
Renault,HUL,35.0,SUPERSOFT,2.0,76780000000,22.0,True,1,True
Renault,HUL,36.0,SUPERSOFT,2.0,76742000000,23.0,True,1,True
Renault,HUL,37.0,SUPERSOFT,2.0,76507000000,24.0,True,1,True
Renault,HUL,38.0,SUPERSOFT,2.0,76443000000,25.0,True,1,True
Renault,HUL,39.0,SUPERSOFT,2.0,76506000000,26.0,True,1,True
Renault,HUL,40.0,SUPERSOFT,2.0,76664000000,27.0,True,1,True
Renault,HUL,41.0,SUPERSOFT,2.0,76327000000,28.0,True,1,True
Renault,HUL,42.0,SUPERSOFT,2.0,76496000000,29.0,True,1,True
Renault,HUL,43.0,SUPERSOFT,2.0,76527000000,30.0,True,1,True
Renault,HUL,44.0,SUPERSOFT,2.0,76476000000,31.0,True,1,True
Renault,HUL,45.0,SUPERSOFT,2.0,76403000000,32.0,True,1,True
Renault,HUL,46.0,SUPERSOFT,2.0,76084000000,33.0,True,1,True
Renault,HUL,47.0,SUPERSOFT,2.0,76275000000,34.0,True,1,True
Renault,HUL,48.0,SUPERSOFT,2.0,76443000000,35.0,True,1,True
Renault,HUL,49.0,SUPERSOFT,2.0,76366000000,36.0,True,1,True
Renault,HUL,50.0,SUPERSOFT,2.0,76240000000,37.0,True,1,True
Renault,HUL,51.0,SUPERSOFT,2.0,76289000000,38.0,True,1,True
Renault,HUL,52.0,SUPERSOFT,2.0,76050000000,39.0,True,1,True
Renault,HUL,53.0,SUPERSOFT,2.0,76061000000,40.0,True,1,True
Renault,HUL,54.0,SUPERSOFT,2.0,77311000000,41.0,True,1,True
Renault,HUL,55.0,SUPERSOFT,2.0,76313000000,42.0,True,1,True
Renault,HUL,56.0,SUPERSOFT,2.0,76190000000,43.0,True,1,True
Renault,HUL,57.0,SUPERSOFT,2.0,78029000000,44.0,True,1,True
Renault,HUL,58.0,SUPERSOFT,2.0,75979000000,45.0,True,1,True
Renault,HUL,59.0,SUPERSOFT,2.0,76706000000,46.0,True,1,True
Renault,HUL,60.0,SUPERSOFT,2.0,75918000000,47.0,True,1,True
Renault,HUL,61.0,SUPERSOFT,2.0,75719000000,48.0,True,1,True
Renault,HUL,62.0,SUPERSOFT,2.0,75602000000,49.0,True,1,True
Renault,HUL,63.0,SUPERSOFT,2.0,75655000000,50.0,True,1,True
Renault,HUL,64.0,SUPERSOFT,2.0,75588000000,51.0,True,1,True
Renault,HUL,65.0,SUPERSOFT,2.0,75775000000,52.0,True,1,True
Renault,HUL,66.0,SUPERSOFT,2.0,77975000000,53.0,True,1,True
Renault,HUL,67.0,SUPERSOFT,2.0,76441000000,54.0,True,1,True
Renault,HUL,68.0,SUPERSOFT,2.0,75488000000,55.0,True,1,True
Renault,HUL,69.0,SUPERSOFT,2.0,76314000000,56.0,True,1,True
