['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Sauber,LEC,2.0,ULTRASOFT,1.0,128743000000,1.0,True,4,False
Sauber,LEC,3.0,ULTRASOFT,1.0,124116000000,2.0,True,4,False
Sauber,LEC,4.0,ULTRASOFT,1.0,117827000000,3.0,True,4,False
Sauber,LEC,5.0,ULTRASOFT,1.0,80163000000,4.0,True,1,False
Sauber,LEC,6.0,ULTRASOFT,1.0,78855000000,5.0,True,1,True
Sauber,LEC,7.0,ULTRASOFT,1.0,77924000000,6.0,True,1,True
Sauber,LEC,8.0,ULTRASOFT,1.0,78177000000,7.0,True,1,True
Sauber,LEC,9.0,ULTRASOFT,1.0,78111000000,8.0,True,1,True
Sauber,LEC,10.0,ULTRASOFT,1.0,77832000000,9.0,True,1,True
Sauber,LEC,11.0,ULTRASOFT,1.0,77768000000,10.0,True,1,True
Sauber,LEC,12.0,ULTRASOFT,1.0,77511000000,11.0,True,1,True
Sauber,LEC,13.0,ULTRASOFT,1.0,77410000000,12.0,True,1,True
Sauber,LEC,14.0,ULTRASOFT,1.0,77094000000,13.0,True,1,True
Sauber,LEC,15.0,ULTRASOFT,1.0,77189000000,14.0,True,1,True
Sauber,LEC,16.0,ULTRASOFT,1.0,77295000000,15.0,True,1,True
Sauber,LEC,17.0,ULTRASOFT,1.0,78037000000,16.0,True,1,True
Sauber,LEC,18.0,ULTRASOFT,1.0,77306000000,17.0,True,1,True
Sauber,LEC,19.0,ULTRASOFT,1.0,93257000000,18.0,True,1,False
Sauber,LEC,20.0,SUPERSOFT,2.0,79789000000,1.0,True,1,False
Sauber,LEC,21.0,SUPERSOFT,2.0,77549000000,2.0,True,1,True
Sauber,LEC,22.0,SUPERSOFT,2.0,76683000000,3.0,True,1,True
Sauber,LEC,23.0,SUPERSOFT,2.0,76779000000,4.0,True,1,True
Sauber,LEC,24.0,SUPERSOFT,2.0,76943000000,5.0,True,1,True
Sauber,LEC,25.0,SUPERSOFT,2.0,77117000000,6.0,True,1,True
Sauber,LEC,26.0,SUPERSOFT,2.0,76626000000,7.0,True,1,True
Sauber,LEC,27.0,SUPERSOFT,2.0,76845000000,8.0,True,1,True
Sauber,LEC,28.0,SUPERSOFT,2.0,None,9.0,True,1,False
Sauber,LEC,29.0,SUPERSOFT,2.0,76532000000,10.0,True,1,True
Sauber,LEC,30.0,SUPERSOFT,2.0,76781000000,11.0,True,1,True
Sauber,LEC,31.0,SUPERSOFT,2.0,76974000000,12.0,True,1,True
Sauber,LEC,32.0,SUPERSOFT,2.0,76878000000,13.0,True,1,True
Sauber,LEC,33.0,SUPERSOFT,2.0,76787000000,14.0,True,1,True
Sauber,LEC,34.0,SUPERSOFT,2.0,78168000000,15.0,True,1,True
Sauber,LEC,35.0,SUPERSOFT,2.0,76593000000,16.0,True,1,True
