['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Force India,OCO,2.0,HYPERSOFT,1.0,128981000000,4.0,False,4,False
Force India,OCO,3.0,HYPERSOFT,1.0,124665000000,5.0,False,4,False
Force India,OCO,4.0,HYPERSOFT,1.0,121921000000,6.0,False,4,False
Force India,OCO,5.0,HYPERSOFT,1.0,79962000000,7.0,False,1,False
Force India,OCO,6.0,HYPERSOFT,1.0,77893000000,8.0,False,1,True
Force India,OCO,7.0,HYPERSOFT,1.0,77182000000,9.0,False,1,True
Force India,OCO,8.0,HYPERSOFT,1.0,77146000000,10.0,False,1,True
Force India,OCO,9.0,HYPERSOFT,1.0,77070000000,11.0,False,1,True
Force India,OCO,10.0,HYPERSOFT,1.0,76860000000,12.0,False,1,True
Force India,OCO,11.0,HYPERSOFT,1.0,94494000000,13.0,False,1,False
Force India,OCO,12.0,SUPERSOFT,2.0,79071000000,1.0,True,1,False
Force India,OCO,13.0,SUPERSOFT,2.0,76721000000,2.0,True,1,True
Force India,OCO,14.0,SUPERSOFT,2.0,76883000000,3.0,True,1,True
Force India,OCO,15.0,SUPERSOFT,2.0,77785000000,4.0,True,1,True
Force India,OCO,16.0,SUPERSOFT,2.0,77239000000,5.0,True,1,True
Force India,OCO,17.0,SUPERSOFT,2.0,77240000000,6.0,True,1,True
Force India,OCO,18.0,SUPERSOFT,2.0,77064000000,7.0,True,1,True
Force India,OCO,19.0,SUPERSOFT,2.0,77264000000,8.0,True,1,True
Force India,OCO,20.0,SUPERSOFT,2.0,77112000000,9.0,True,1,True
Force India,OCO,21.0,SUPERSOFT,2.0,76961000000,10.0,True,1,True
Force India,OCO,22.0,SUPERSOFT,2.0,77148000000,11.0,True,1,True
Force India,OCO,23.0,SUPERSOFT,2.0,76898000000,12.0,True,1,True
Force India,OCO,24.0,SUPERSOFT,2.0,76798000000,13.0,True,1,True
Force India,OCO,25.0,SUPERSOFT,2.0,76934000000,14.0,True,1,True
Force India,OCO,26.0,SUPERSOFT,2.0,76609000000,15.0,True,1,True
Force India,OCO,27.0,SUPERSOFT,2.0,76755000000,16.0,True,1,True
Force India,OCO,28.0,SUPERSOFT,2.0,76647000000,17.0,True,1,True
Force India,OCO,29.0,SUPERSOFT,2.0,76968000000,18.0,True,1,True
Force India,OCO,30.0,SUPERSOFT,2.0,77255000000,19.0,True,1,True
Force India,OCO,31.0,SUPERSOFT,2.0,76966000000,20.0,True,1,True
Force India,OCO,32.0,SUPERSOFT,2.0,76499000000,21.0,True,1,True
Force India,OCO,33.0,SUPERSOFT,2.0,76896000000,22.0,True,1,True
Force India,OCO,34.0,SUPERSOFT,2.0,77170000000,23.0,True,1,True
Force India,OCO,35.0,SUPERSOFT,2.0,76834000000,24.0,True,1,True
Force India,OCO,36.0,SUPERSOFT,2.0,76582000000,25.0,True,1,True
Force India,OCO,37.0,SUPERSOFT,2.0,76526000000,26.0,True,1,True
Force India,OCO,38.0,SUPERSOFT,2.0,76446000000,27.0,True,1,True
Force India,OCO,39.0,SUPERSOFT,2.0,76481000000,28.0,True,1,True
Force India,OCO,40.0,SUPERSOFT,2.0,76388000000,29.0,True,1,True
Force India,OCO,41.0,SUPERSOFT,2.0,76505000000,30.0,True,1,True
Force India,OCO,42.0,SUPERSOFT,2.0,76450000000,31.0,True,1,True
Force India,OCO,43.0,SUPERSOFT,2.0,76458000000,32.0,True,1,True
Force India,OCO,44.0,SUPERSOFT,2.0,76452000000,33.0,True,1,True
Force India,OCO,45.0,SUPERSOFT,2.0,76296000000,34.0,True,1,True
Force India,OCO,46.0,SUPERSOFT,2.0,76374000000,35.0,True,1,True
Force India,OCO,47.0,SUPERSOFT,2.0,76062000000,36.0,True,1,True
Force India,OCO,48.0,SUPERSOFT,2.0,76432000000,37.0,True,1,True
Force India,OCO,49.0,SUPERSOFT,2.0,76345000000,38.0,True,1,True
Force India,OCO,50.0,SUPERSOFT,2.0,75649000000,39.0,True,1,True
Force India,OCO,51.0,SUPERSOFT,2.0,77445000000,40.0,True,1,True
Force India,OCO,52.0,SUPERSOFT,2.0,75801000000,41.0,True,1,True
Force India,OCO,53.0,SUPERSOFT,2.0,76679000000,42.0,True,1,True
Force India,OCO,54.0,SUPERSOFT,2.0,75844000000,43.0,True,1,True
Force India,OCO,55.0,SUPERSOFT,2.0,76114000000,44.0,True,1,True
Force India,OCO,56.0,SUPERSOFT,2.0,76416000000,45.0,True,1,True
Force India,OCO,57.0,SUPERSOFT,2.0,77537000000,46.0,True,1,True
Force India,OCO,58.0,SUPERSOFT,2.0,75870000000,47.0,True,1,True
Force India,OCO,59.0,SUPERSOFT,2.0,75731000000,48.0,True,1,True
Force India,OCO,60.0,SUPERSOFT,2.0,75918000000,49.0,True,1,True
Force India,OCO,61.0,SUPERSOFT,2.0,75610000000,50.0,True,1,True
Force India,OCO,62.0,SUPERSOFT,2.0,75613000000,51.0,True,1,True
Force India,OCO,63.0,SUPERSOFT,2.0,78005000000,52.0,True,1,True
Force India,OCO,64.0,SUPERSOFT,2.0,76067000000,53.0,True,1,True
Force India,OCO,65.0,SUPERSOFT,2.0,76023000000,54.0,True,1,True
Force India,OCO,66.0,SUPERSOFT,2.0,78209000000,55.0,True,1,True
Force India,OCO,67.0,SUPERSOFT,2.0,75869000000,56.0,True,1,True
Force India,OCO,68.0,SUPERSOFT,2.0,76058000000,57.0,True,1,True
Force India,OCO,69.0,SUPERSOFT,2.0,75498000000,58.0,True,1,True
