['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Force India,PER,2.0,HYPERSOFT,1.0,129605000000,4.0,False,4,False
Force India,PER,3.0,HYPERSOFT,1.0,124393000000,5.0,False,4,False
Force India,PER,4.0,HYPERSOFT,1.0,118545000000,6.0,False,4,False
Force India,PER,5.0,HYPERSOFT,1.0,83677000000,7.0,False,1,False
Force India,PER,6.0,HYPERSOFT,1.0,79100000000,8.0,False,1,True
Force India,PER,7.0,HYPERSOFT,1.0,77419000000,9.0,False,1,True
Force India,PER,8.0,HYPERSOFT,1.0,77949000000,10.0,False,1,True
Force India,PER,9.0,HYPERSOFT,1.0,94838000000,11.0,False,1,False
Force India,PER,10.0,SUPERSOFT,2.0,78701000000,1.0,True,1,False
Force India,PER,11.0,SUPERSOFT,2.0,76785000000,2.0,True,1,True
Force India,PER,12.0,SUPERSOFT,2.0,76798000000,3.0,True,1,True
Force India,PER,13.0,SUPERSOFT,2.0,76783000000,4.0,True,1,True
Force India,PER,14.0,SUPERSOFT,2.0,77065000000,5.0,True,1,True
Force India,PER,15.0,SUPERSOFT,2.0,77509000000,6.0,True,1,True
Force India,PER,16.0,SUPERSOFT,2.0,77902000000,7.0,True,1,True
Force India,PER,17.0,SUPERSOFT,2.0,78170000000,8.0,True,1,True
Force India,PER,18.0,SUPERSOFT,2.0,78187000000,9.0,True,1,True
Force India,PER,19.0,SUPERSOFT,2.0,78563000000,10.0,True,1,True
Force India,PER,20.0,SUPERSOFT,2.0,77662000000,11.0,True,1,True
Force India,PER,21.0,SUPERSOFT,2.0,77724000000,12.0,True,1,True
Force India,PER,22.0,SUPERSOFT,2.0,76645000000,13.0,True,1,True
Force India,PER,23.0,SUPERSOFT,2.0,76773000000,14.0,True,1,True
Force India,PER,24.0,SUPERSOFT,2.0,76691000000,15.0,True,1,True
Force India,PER,25.0,SUPERSOFT,2.0,76778000000,16.0,True,1,True
Force India,PER,26.0,SUPERSOFT,2.0,76743000000,17.0,True,1,True
Force India,PER,27.0,SUPERSOFT,2.0,76669000000,18.0,True,1,True
Force India,PER,28.0,SUPERSOFT,2.0,76748000000,19.0,True,1,True
Force India,PER,29.0,SUPERSOFT,2.0,76745000000,20.0,True,1,True
Force India,PER,30.0,SUPERSOFT,2.0,76882000000,21.0,True,1,True
Force India,PER,31.0,SUPERSOFT,2.0,77565000000,22.0,True,1,True
Force India,PER,32.0,SUPERSOFT,2.0,77828000000,23.0,True,1,True
Force India,PER,33.0,SUPERSOFT,2.0,76517000000,24.0,True,1,True
Force India,PER,34.0,SUPERSOFT,2.0,76278000000,25.0,True,1,True
Force India,PER,35.0,SUPERSOFT,2.0,76616000000,26.0,True,1,True
Force India,PER,36.0,SUPERSOFT,2.0,76243000000,27.0,True,1,True
Force India,PER,37.0,SUPERSOFT,2.0,76401000000,28.0,True,1,False
Force India,PER,38.0,SUPERSOFT,2.0,76492000000,29.0,True,1,True
Force India,PER,39.0,SUPERSOFT,2.0,76746000000,30.0,True,1,True
Force India,PER,40.0,SUPERSOFT,2.0,76541000000,31.0,True,1,True
Force India,PER,41.0,SUPERSOFT,2.0,77309000000,32.0,True,1,True
Force India,PER,42.0,SUPERSOFT,2.0,76527000000,33.0,True,1,True
Force India,PER,43.0,SUPERSOFT,2.0,77497000000,34.0,True,1,True
Force India,PER,44.0,SUPERSOFT,2.0,92749000000,35.0,True,1,False
Force India,PER,45.0,SUPERSOFT,3.0,78391000000,1.0,True,1,False
Force India,PER,46.0,SUPERSOFT,3.0,77412000000,2.0,True,1,True
Force India,PER,47.0,SUPERSOFT,3.0,75573000000,3.0,True,1,True
Force India,PER,48.0,SUPERSOFT,3.0,75811000000,4.0,True,1,True
Force India,PER,49.0,SUPERSOFT,3.0,75692000000,5.0,True,1,True
Force India,PER,50.0,SUPERSOFT,3.0,75548000000,6.0,True,1,True
Force India,PER,51.0,SUPERSOFT,3.0,75602000000,7.0,True,1,True
Force India,PER,52.0,SUPERSOFT,3.0,76043000000,8.0,True,1,True
Force India,PER,53.0,SUPERSOFT,3.0,75560000000,9.0,True,1,True
Force India,PER,54.0,SUPERSOFT,3.0,75797000000,10.0,True,1,True
Force India,PER,55.0,SUPERSOFT,3.0,76500000000,11.0,True,1,True
Force India,PER,56.0,SUPERSOFT,3.0,75963000000,12.0,True,1,True
Force India,PER,57.0,SUPERSOFT,3.0,75685000000,13.0,True,1,True
Force India,PER,58.0,SUPERSOFT,3.0,75746000000,14.0,True,1,True
Force India,PER,59.0,SUPERSOFT,3.0,75630000000,15.0,True,1,True
Force India,PER,60.0,SUPERSOFT,3.0,75669000000,16.0,True,1,True
Force India,PER,61.0,SUPERSOFT,3.0,75647000000,17.0,True,1,True
Force India,PER,62.0,SUPERSOFT,3.0,75365000000,18.0,True,1,True
Force India,PER,63.0,SUPERSOFT,3.0,75201000000,19.0,True,1,True
Force India,PER,64.0,SUPERSOFT,3.0,75100000000,20.0,True,1,True
Force India,PER,65.0,SUPERSOFT,3.0,75517000000,21.0,True,1,True
Force India,PER,66.0,SUPERSOFT,3.0,75635000000,22.0,True,1,True
Force India,PER,67.0,SUPERSOFT,3.0,75448000000,23.0,True,1,True
Force India,PER,68.0,SUPERSOFT,3.0,75289000000,24.0,True,1,True
Force India,PER,69.0,SUPERSOFT,3.0,75393000000,25.0,True,1,True
