['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Ferrari,RAI,2.0,ULTRASOFT,1.0,129069000000,4.0,False,4,False
Ferrari,RAI,3.0,ULTRASOFT,1.0,123667000000,5.0,False,4,False
Ferrari,RAI,4.0,ULTRASOFT,1.0,123110000000,6.0,False,4,False
Ferrari,RAI,5.0,ULTRASOFT,1.0,78957000000,7.0,False,1,False
Ferrari,RAI,6.0,ULTRASOFT,1.0,77302000000,8.0,False,1,True
Ferrari,RAI,7.0,ULTRASOFT,1.0,76931000000,9.0,False,1,True
Ferrari,RAI,8.0,ULTRASOFT,1.0,77008000000,10.0,False,1,True
Ferrari,RAI,9.0,ULTRASOFT,1.0,76559000000,11.0,False,1,True
Ferrari,RAI,10.0,ULTRASOFT,1.0,76419000000,12.0,False,1,True
Ferrari,RAI,11.0,ULTRASOFT,1.0,76181000000,13.0,False,1,True
Ferrari,RAI,12.0,ULTRASOFT,1.0,76632000000,14.0,False,1,True
Ferrari,RAI,13.0,ULTRASOFT,1.0,76395000000,15.0,False,1,True
Ferrari,RAI,14.0,ULTRASOFT,1.0,76378000000,16.0,False,1,True
Ferrari,RAI,15.0,ULTRASOFT,1.0,76351000000,17.0,False,1,True
Ferrari,RAI,16.0,ULTRASOFT,1.0,76283000000,18.0,False,1,True
Ferrari,RAI,17.0,ULTRASOFT,1.0,76051000000,19.0,False,1,True
Ferrari,RAI,18.0,ULTRASOFT,1.0,75870000000,20.0,False,1,True
Ferrari,RAI,19.0,ULTRASOFT,1.0,76012000000,21.0,False,1,True
Ferrari,RAI,20.0,ULTRASOFT,1.0,75724000000,22.0,False,1,True
Ferrari,RAI,21.0,ULTRASOFT,1.0,76081000000,23.0,False,1,True
Ferrari,RAI,22.0,ULTRASOFT,1.0,75739000000,24.0,False,1,True
Ferrari,RAI,23.0,ULTRASOFT,1.0,75989000000,25.0,False,1,True
Ferrari,RAI,24.0,ULTRASOFT,1.0,75408000000,26.0,False,1,True
Ferrari,RAI,25.0,ULTRASOFT,1.0,75663000000,27.0,False,1,True
Ferrari,RAI,26.0,ULTRASOFT,1.0,75471000000,28.0,False,1,True
Ferrari,RAI,27.0,ULTRASOFT,1.0,75831000000,29.0,False,1,True
Ferrari,RAI,28.0,ULTRASOFT,1.0,75512000000,30.0,False,1,True
Ferrari,RAI,29.0,ULTRASOFT,1.0,75724000000,31.0,False,1,True
Ferrari,RAI,30.0,ULTRASOFT,1.0,75690000000,32.0,False,1,True
Ferrari,RAI,31.0,ULTRASOFT,1.0,75586000000,33.0,False,1,True
Ferrari,RAI,32.0,ULTRASOFT,1.0,92211000000,34.0,False,1,False
Ferrari,RAI,33.0,SUPERSOFT,2.0,78515000000,1.0,True,1,False
Ferrari,RAI,34.0,SUPERSOFT,2.0,75026000000,2.0,True,1,True
Ferrari,RAI,35.0,SUPERSOFT,2.0,75383000000,3.0,True,1,True
Ferrari,RAI,36.0,SUPERSOFT,2.0,75297000000,4.0,True,1,True
Ferrari,RAI,37.0,SUPERSOFT,2.0,75026000000,5.0,True,1,True
Ferrari,RAI,38.0,SUPERSOFT,2.0,75351000000,6.0,True,1,True
Ferrari,RAI,39.0,SUPERSOFT,2.0,75370000000,7.0,True,1,True
Ferrari,RAI,40.0,SUPERSOFT,2.0,75577000000,8.0,True,1,True
Ferrari,RAI,41.0,SUPERSOFT,2.0,75333000000,9.0,True,1,True
Ferrari,RAI,42.0,SUPERSOFT,2.0,75583000000,10.0,True,1,True
Ferrari,RAI,43.0,SUPERSOFT,2.0,75033000000,11.0,True,1,True
Ferrari,RAI,44.0,SUPERSOFT,2.0,75634000000,12.0,True,1,True
Ferrari,RAI,45.0,SUPERSOFT,2.0,75481000000,13.0,True,1,True
Ferrari,RAI,46.0,SUPERSOFT,2.0,75234000000,14.0,True,1,True
Ferrari,RAI,47.0,SUPERSOFT,2.0,75367000000,15.0,True,1,True
Ferrari,RAI,48.0,SUPERSOFT,2.0,75033000000,16.0,True,1,True
Ferrari,RAI,49.0,SUPERSOFT,2.0,74821000000,17.0,True,1,True
Ferrari,RAI,50.0,SUPERSOFT,2.0,74930000000,18.0,True,1,True
Ferrari,RAI,51.0,SUPERSOFT,2.0,74792000000,19.0,True,1,True
Ferrari,RAI,52.0,SUPERSOFT,2.0,74761000000,20.0,True,1,True
Ferrari,RAI,53.0,SUPERSOFT,2.0,74423000000,21.0,True,1,True
Ferrari,RAI,54.0,SUPERSOFT,2.0,74782000000,22.0,True,1,True
Ferrari,RAI,55.0,SUPERSOFT,2.0,74818000000,23.0,True,1,True
Ferrari,RAI,56.0,SUPERSOFT,2.0,74567000000,24.0,True,1,True
Ferrari,RAI,57.0,SUPERSOFT,2.0,75205000000,25.0,True,1,True
Ferrari,RAI,58.0,SUPERSOFT,2.0,74268000000,26.0,True,1,True
Ferrari,RAI,59.0,SUPERSOFT,2.0,74075000000,27.0,True,1,True
Ferrari,RAI,60.0,SUPERSOFT,2.0,74744000000,28.0,True,1,True
Ferrari,RAI,61.0,SUPERSOFT,2.0,74525000000,29.0,True,1,True
Ferrari,RAI,62.0,SUPERSOFT,2.0,74703000000,30.0,True,1,True
Ferrari,RAI,63.0,SUPERSOFT,2.0,74368000000,31.0,True,1,True
Ferrari,RAI,64.0,SUPERSOFT,2.0,74580000000,32.0,True,1,True
Ferrari,RAI,65.0,SUPERSOFT,2.0,74623000000,33.0,True,1,True
Ferrari,RAI,66.0,SUPERSOFT,2.0,74678000000,34.0,True,1,True
Ferrari,RAI,67.0,SUPERSOFT,2.0,75992000000,35.0,True,1,True
Ferrari,RAI,68.0,SUPERSOFT,2.0,74791000000,36.0,True,1,True
Ferrari,RAI,69.0,SUPERSOFT,2.0,75230000000,37.0,True,1,True
Ferrari,RAI,70.0,SUPERSOFT,2.0,75924000000,38.0,True,1,True
