['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
McLaren,VAN,2.0,SUPERSOFT,2.0,106448000000,1.0,True,4,False
McLaren,VAN,3.0,SUPERSOFT,2.0,113815000000,2.0,True,4,False
McLaren,VAN,4.0,SUPERSOFT,2.0,111274000000,3.0,True,4,False
McLaren,VAN,5.0,SUPERSOFT,2.0,83521000000,4.0,True,1,False
McLaren,VAN,6.0,SUPERSOFT,2.0,80786000000,5.0,True,1,True
McLaren,VAN,7.0,SUPERSOFT,2.0,79201000000,6.0,True,1,True
McLaren,VAN,8.0,SUPERSOFT,2.0,78770000000,7.0,True,1,True
McLaren,VAN,9.0,SUPERSOFT,2.0,78868000000,8.0,True,1,True
McLaren,VAN,10.0,SUPERSOFT,2.0,78578000000,9.0,True,1,True
McLaren,VAN,11.0,SUPERSOFT,2.0,78608000000,10.0,True,1,True
McLaren,VAN,12.0,SUPERSOFT,2.0,78882000000,11.0,True,1,True
McLaren,VAN,13.0,SUPERSOFT,2.0,78684000000,12.0,True,1,True
McLaren,VAN,14.0,SUPERSOFT,2.0,78548000000,13.0,True,1,True
McLaren,VAN,15.0,SUPERSOFT,2.0,78319000000,14.0,True,1,True
McLaren,VAN,16.0,SUPERSOFT,2.0,79158000000,15.0,True,1,True
McLaren,VAN,17.0,SUPERSOFT,2.0,79250000000,16.0,True,1,True
McLaren,VAN,18.0,SUPERSOFT,2.0,78307000000,17.0,True,1,True
McLaren,VAN,19.0,SUPERSOFT,2.0,78527000000,18.0,True,1,True
McLaren,VAN,20.0,SUPERSOFT,2.0,77993000000,19.0,True,1,True
McLaren,VAN,21.0,SUPERSOFT,2.0,78351000000,20.0,True,1,True
McLaren,VAN,22.0,SUPERSOFT,2.0,78694000000,21.0,True,1,True
McLaren,VAN,23.0,SUPERSOFT,2.0,77792000000,22.0,True,1,True
McLaren,VAN,24.0,SUPERSOFT,2.0,77714000000,23.0,True,1,True
McLaren,VAN,25.0,SUPERSOFT,2.0,77286000000,24.0,True,1,True
McLaren,VAN,26.0,SUPERSOFT,2.0,78822000000,25.0,True,1,True
McLaren,VAN,27.0,SUPERSOFT,2.0,79003000000,26.0,True,1,True
McLaren,VAN,28.0,SUPERSOFT,2.0,77550000000,27.0,True,1,True
McLaren,VAN,29.0,SUPERSOFT,2.0,77642000000,28.0,True,1,True
McLaren,VAN,30.0,SUPERSOFT,2.0,77312000000,29.0,True,1,True
McLaren,VAN,31.0,SUPERSOFT,2.0,77193000000,30.0,True,1,True
McLaren,VAN,32.0,SUPERSOFT,2.0,77247000000,31.0,True,1,True
McLaren,VAN,33.0,SUPERSOFT,2.0,77016000000,32.0,True,1,True
McLaren,VAN,34.0,SUPERSOFT,2.0,76715000000,33.0,True,1,True
McLaren,VAN,35.0,SUPERSOFT,2.0,76910000000,34.0,True,1,True
McLaren,VAN,36.0,SUPERSOFT,2.0,76806000000,35.0,True,1,True
McLaren,VAN,37.0,SUPERSOFT,2.0,77165000000,36.0,True,1,True
McLaren,VAN,38.0,SUPERSOFT,2.0,78062000000,37.0,True,1,True
McLaren,VAN,39.0,SUPERSOFT,2.0,76748000000,38.0,True,1,True
McLaren,VAN,40.0,SUPERSOFT,2.0,78389000000,39.0,True,1,True
