['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Red Bull Racing,VER,2.0,HYPERSOFT,1.0,129653000000,4.0,False,4,False
Red Bull Racing,VER,3.0,HYPERSOFT,1.0,125289000000,5.0,False,4,False
Red Bull Racing,VER,4.0,HYPERSOFT,1.0,125310000000,6.0,False,4,False
Red Bull Racing,VER,5.0,HYPERSOFT,1.0,77736000000,7.0,False,1,False
Red Bull Racing,VER,6.0,HYPERSOFT,1.0,76712000000,8.0,False,1,True
Red Bull Racing,VER,7.0,HYPERSOFT,1.0,76054000000,9.0,False,1,True
Red Bull Racing,VER,8.0,HYPERSOFT,1.0,76565000000,10.0,False,1,True
Red Bull Racing,VER,9.0,HYPERSOFT,1.0,76775000000,11.0,False,1,True
Red Bull Racing,VER,10.0,HYPERSOFT,1.0,76452000000,12.0,False,1,True
Red Bull Racing,VER,11.0,HYPERSOFT,1.0,76436000000,13.0,False,1,True
Red Bull Racing,VER,12.0,HYPERSOFT,1.0,76154000000,14.0,False,1,True
Red Bull Racing,VER,13.0,HYPERSOFT,1.0,76292000000,15.0,False,1,True
Red Bull Racing,VER,14.0,HYPERSOFT,1.0,76513000000,16.0,False,1,True
Red Bull Racing,VER,15.0,HYPERSOFT,1.0,76443000000,17.0,False,1,True
Red Bull Racing,VER,16.0,HYPERSOFT,1.0,92021000000,18.0,False,1,False
Red Bull Racing,VER,17.0,SUPERSOFT,2.0,78575000000,1.0,True,1,False
Red Bull Racing,VER,18.0,SUPERSOFT,2.0,75942000000,2.0,True,1,True
Red Bull Racing,VER,19.0,SUPERSOFT,2.0,75881000000,3.0,True,1,True
Red Bull Racing,VER,20.0,SUPERSOFT,2.0,75785000000,4.0,True,1,True
Red Bull Racing,VER,21.0,SUPERSOFT,2.0,75882000000,5.0,True,1,True
Red Bull Racing,VER,22.0,SUPERSOFT,2.0,75793000000,6.0,True,1,True
Red Bull Racing,VER,23.0,SUPERSOFT,2.0,75896000000,7.0,True,1,True
Red Bull Racing,VER,24.0,SUPERSOFT,2.0,75576000000,8.0,True,1,True
Red Bull Racing,VER,25.0,SUPERSOFT,2.0,75566000000,9.0,True,1,True
Red Bull Racing,VER,26.0,SUPERSOFT,2.0,75456000000,10.0,True,1,True
Red Bull Racing,VER,27.0,SUPERSOFT,2.0,75384000000,11.0,True,1,True
Red Bull Racing,VER,28.0,SUPERSOFT,2.0,75397000000,12.0,True,1,True
Red Bull Racing,VER,29.0,SUPERSOFT,2.0,75222000000,13.0,True,1,True
Red Bull Racing,VER,30.0,SUPERSOFT,2.0,75202000000,14.0,True,1,True
Red Bull Racing,VER,31.0,SUPERSOFT,2.0,75342000000,15.0,True,1,True
Red Bull Racing,VER,32.0,SUPERSOFT,2.0,75382000000,16.0,True,1,True
Red Bull Racing,VER,33.0,SUPERSOFT,2.0,75284000000,17.0,True,1,True
Red Bull Racing,VER,34.0,SUPERSOFT,2.0,75300000000,18.0,True,1,True
Red Bull Racing,VER,35.0,SUPERSOFT,2.0,75225000000,19.0,True,1,True
Red Bull Racing,VER,36.0,SUPERSOFT,2.0,75250000000,20.0,True,1,True
Red Bull Racing,VER,37.0,SUPERSOFT,2.0,75350000000,21.0,True,1,True
Red Bull Racing,VER,38.0,SUPERSOFT,2.0,75800000000,22.0,True,1,True
Red Bull Racing,VER,39.0,SUPERSOFT,2.0,74817000000,23.0,True,1,True
Red Bull Racing,VER,40.0,SUPERSOFT,2.0,74614000000,24.0,True,1,True
Red Bull Racing,VER,41.0,SUPERSOFT,2.0,74924000000,25.0,True,1,True
