['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
McLaren,ALO,2,SOFT,1.0,102614000000,1.0,True,1,True
McLaren,ALO,3,SOFT,1.0,100881000000,2.0,True,1,True
McLaren,ALO,4,SOFT,1.0,101448000000,3.0,True,1,True
McLaren,ALO,5,SOFT,1.0,101412000000,4.0,True,1,True
McLaren,ALO,6,SOFT,1.0,100826000000,5.0,True,1,True
McLaren,ALO,7,SOFT,1.0,100684000000,6.0,True,1,True
McLaren,ALO,8,SOFT,1.0,100986000000,7.0,True,1,True
McLaren,ALO,9,SOFT,1.0,101224000000,8.0,True,1,True
McLaren,ALO,10,SOFT,1.0,100373000000,9.0,True,1,True
McLaren,ALO,11,SOFT,1.0,100823000000,10.0,True,1,True
McLaren,ALO,12,SOFT,1.0,101356000000,11.0,True,1,True
McLaren,ALO,13,SOFT,1.0,100650000000,12.0,True,1,True
McLaren,ALO,14,SOFT,1.0,100663000000,13.0,True,1,True
McLaren,ALO,15,SOFT,1.0,100473000000,14.0,True,1,True
McLaren,ALO,16,SOFT,1.0,101169000000,15.0,True,1,True
McLaren,ALO,17,SOFT,1.0,100397000000,16.0,True,1,True
McLaren,ALO,18,SOFT,1.0,100280000000,17.0,True,1,True
McLaren,ALO,19,SOFT,1.0,99971000000,18.0,True,1,True
McLaren,ALO,20,SOFT,1.0,100102000000,19.0,True,1,True
McLaren,ALO,21,SOFT,1.0,100147000000,20.0,True,1,True
McLaren,ALO,22,SOFT,1.0,100249000000,21.0,True,1,True
McLaren,ALO,23,SOFT,1.0,99981000000,22.0,True,1,True
McLaren,ALO,24,SOFT,1.0,100031000000,23.0,True,1,True
McLaren,ALO,25,SOFT,1.0,99938000000,24.0,True,1,True
McLaren,ALO,26,SOFT,1.0,99722000000,25.0,True,1,True
McLaren,ALO,27,SOFT,1.0,99939000000,26.0,True,1,True
McLaren,ALO,28,SOFT,1.0,100259000000,27.0,True,1,True
McLaren,ALO,29,SOFT,1.0,105351000000,28.0,True,1,False
McLaren,ALO,30,SOFT,1.0,118205000000,29.0,True,2,False
McLaren,ALO,31,SOFT,1.0,126309000000,30.0,True,4,False
McLaren,ALO,32,SOFT,1.0,135062000000,31.0,True,4,False
McLaren,ALO,33,SOFT,1.0,114260000000,32.0,True,4,False
McLaren,ALO,34,SOFT,1.0,136988000000,33.0,True,4,False
McLaren,ALO,35,SOFT,1.0,143510000000,34.0,True,4,False
McLaren,ALO,36,SOFT,1.0,100202000000,35.0,True,1,False
McLaren,ALO,37,SOFT,1.0,99183000000,36.0,True,1,True
McLaren,ALO,38,SOFT,1.0,98636000000,37.0,True,1,True
McLaren,ALO,39,SOFT,1.0,97961000000,38.0,True,1,True
McLaren,ALO,40,SOFT,1.0,98407000000,39.0,True,1,True
McLaren,ALO,41,SOFT,1.0,98543000000,40.0,True,1,True
McLaren,ALO,42,SOFT,1.0,99190000000,41.0,True,1,True
McLaren,ALO,43,SOFT,1.0,98215000000,42.0,True,2,True
McLaren,ALO,44,SOFT,1.0,98648000000,43.0,True,1,True
McLaren,ALO,45,SOFT,1.0,98360000000,44.0,True,1,True
McLaren,ALO,46,SOFT,1.0,98107000000,45.0,True,1,True
McLaren,ALO,47,SOFT,1.0,98699000000,46.0,True,1,True
McLaren,ALO,48,MEDIUM,2.0,97657000000,1.0,True,1,True
McLaren,ALO,49,MEDIUM,2.0,97840000000,2.0,True,1,True
McLaren,ALO,50,MEDIUM,2.0,97386000000,3.0,True,1,True
McLaren,ALO,51,MEDIUM,2.0,97448000000,4.0,True,1,True
McLaren,ALO,52,MEDIUM,2.0,97414000000,5.0,True,1,True
McLaren,ALO,53,MEDIUM,2.0,97826000000,6.0,True,1,True
McLaren,ALO,54,MEDIUM,2.0,98190000000,7.0,True,1,True
McLaren,ALO,55,MEDIUM,2.0,97451000000,8.0,True,1,True
McLaren,ALO,56,MEDIUM,2.0,97234000000,9.0,True,1,True
