['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Mercedes,BOT,2,SOFT,1.0,99357000000,4.0,False,1,True
Mercedes,BOT,3,SOFT,1.0,99074000000,5.0,False,1,True
Mercedes,BOT,4,SOFT,1.0,98810000000,6.0,False,1,True
Mercedes,BOT,5,SOFT,1.0,98981000000,7.0,False,1,True
Mercedes,BOT,6,SOFT,1.0,98566000000,8.0,False,1,True
Mercedes,BOT,7,SOFT,1.0,98717000000,9.0,False,1,True
Mercedes,BOT,8,SOFT,1.0,98881000000,10.0,False,1,True
Mercedes,BOT,9,SOFT,1.0,98683000000,11.0,False,1,True
Mercedes,BOT,10,SOFT,1.0,98801000000,12.0,False,1,True
Mercedes,BOT,11,SOFT,1.0,99081000000,13.0,False,1,True
Mercedes,BOT,12,SOFT,1.0,98958000000,14.0,False,1,True
Mercedes,BOT,13,SOFT,1.0,None,15.0,False,1,False
Mercedes,BOT,14,SOFT,1.0,99244000000,16.0,False,1,True
Mercedes,BOT,15,SOFT,1.0,99248000000,17.0,False,1,True
Mercedes,BOT,16,SOFT,1.0,98979000000,18.0,False,1,True
Mercedes,BOT,17,SOFT,1.0,99555000000,19.0,False,1,True
Mercedes,BOT,18,SOFT,1.0,99320000000,20.0,False,1,True
Mercedes,BOT,19,SOFT,1.0,103746000000,21.0,False,1,False
Mercedes,BOT,20,SOFT,1.0,114023000000,22.0,False,1,False
Mercedes,BOT,21,SOFT,1.0,97011000000,23.0,False,1,True
Mercedes,BOT,22,SOFT,1.0,97550000000,24.0,False,1,True
Mercedes,BOT,23,SOFT,1.0,97571000000,25.0,False,1,True
Mercedes,BOT,24,SOFT,1.0,97673000000,26.0,False,1,True
Mercedes,BOT,25,SOFT,1.0,97575000000,27.0,False,1,True
Mercedes,BOT,26,SOFT,1.0,98577000000,28.0,False,1,True
Mercedes,BOT,27,SOFT,1.0,98448000000,29.0,False,1,True
Mercedes,BOT,28,SOFT,1.0,97763000000,30.0,False,1,True
Mercedes,BOT,29,SOFT,1.0,97654000000,31.0,False,1,True
Mercedes,BOT,30,SOFT,1.0,98698000000,32.0,False,2,True
Mercedes,BOT,31,SOFT,1.0,100989000000,33.0,False,4,False
Mercedes,BOT,32,SOFT,1.0,None,34.0,False,4,False
Mercedes,BOT,33,SOFT,1.0,None,35.0,False,4,False
Mercedes,BOT,34,SOFT,1.0,147194000000,36.0,False,4,False
Mercedes,BOT,35,SOFT,1.0,147778000000,37.0,False,4,False
Mercedes,BOT,36,SOFT,1.0,97716000000,38.0,False,1,False
Mercedes,BOT,37,SOFT,1.0,97675000000,39.0,False,1,True
Mercedes,BOT,38,SOFT,1.0,97841000000,40.0,False,1,True
Mercedes,BOT,39,SOFT,1.0,97775000000,41.0,False,1,True
Mercedes,BOT,40,SOFT,1.0,97788000000,42.0,False,1,True
Mercedes,BOT,41,SOFT,1.0,97561000000,43.0,False,1,True
Mercedes,BOT,42,SOFT,1.0,97533000000,44.0,False,1,True
Mercedes,BOT,43,SOFT,1.0,97664000000,45.0,False,2,True
Mercedes,BOT,44,SOFT,1.0,97138000000,46.0,False,1,True
Mercedes,BOT,45,SOFT,1.0,98909000000,47.0,False,1,True
Mercedes,BOT,46,SOFT,1.0,97683000000,48.0,False,1,True
Mercedes,BOT,47,SOFT,1.0,97168000000,49.0,False,1,True
Mercedes,BOT,48,MEDIUM,2.0,97186000000,1.0,True,1,True
Mercedes,BOT,49,MEDIUM,2.0,97278000000,2.0,True,1,True
Mercedes,BOT,50,MEDIUM,2.0,96987000000,3.0,True,1,True
Mercedes,BOT,51,MEDIUM,2.0,97228000000,4.0,True,1,True
Mercedes,BOT,52,MEDIUM,2.0,97341000000,5.0,True,1,True
Mercedes,BOT,53,MEDIUM,2.0,97291000000,6.0,True,1,True
Mercedes,BOT,54,MEDIUM,2.0,97070000000,7.0,True,1,True
Mercedes,BOT,55,MEDIUM,2.0,97206000000,8.0,True,1,True
Mercedes,BOT,56,MEDIUM,2.0,97235000000,9.0,True,1,True
