['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Toro Rosso,GAS,2,MEDIUM,1.0,103991000000,1.0,True,1,True
Toro Rosso,GAS,3,MEDIUM,1.0,102555000000,2.0,True,1,True
Toro Rosso,GAS,4,MEDIUM,1.0,102258000000,3.0,True,1,True
Toro Rosso,GAS,5,MEDIUM,1.0,101533000000,4.0,True,1,True
Toro Rosso,GAS,6,MEDIUM,1.0,101731000000,5.0,True,1,True
Toro Rosso,GAS,7,MEDIUM,1.0,101907000000,6.0,True,1,True
Toro Rosso,GAS,8,MEDIUM,1.0,101580000000,7.0,True,1,True
Toro Rosso,GAS,9,MEDIUM,1.0,101904000000,8.0,True,1,True
Toro Rosso,GAS,10,MEDIUM,1.0,101613000000,9.0,True,1,True
Toro Rosso,GAS,11,MEDIUM,1.0,101506000000,10.0,True,1,True
Toro Rosso,GAS,12,MEDIUM,1.0,101541000000,11.0,True,1,True
Toro Rosso,GAS,13,MEDIUM,1.0,101178000000,12.0,True,1,True
Toro Rosso,GAS,14,MEDIUM,1.0,102156000000,13.0,True,1,True
Toro Rosso,GAS,15,MEDIUM,1.0,102420000000,14.0,True,1,True
Toro Rosso,GAS,16,MEDIUM,1.0,102046000000,15.0,True,1,True
Toro Rosso,GAS,17,MEDIUM,1.0,101866000000,16.0,True,1,True
Toro Rosso,GAS,18,MEDIUM,1.0,101695000000,17.0,True,1,True
Toro Rosso,GAS,19,MEDIUM,1.0,102164000000,18.0,True,1,True
Toro Rosso,GAS,20,MEDIUM,1.0,106866000000,19.0,True,1,False
Toro Rosso,GAS,21,MEDIUM,1.0,118295000000,20.0,True,1,False
Toro Rosso,GAS,22,MEDIUM,1.0,98521000000,21.0,True,1,True
Toro Rosso,GAS,23,MEDIUM,1.0,98704000000,22.0,True,1,True
Toro Rosso,GAS,24,MEDIUM,1.0,98699000000,23.0,True,1,True
Toro Rosso,GAS,25,MEDIUM,1.0,98915000000,24.0,True,1,True
Toro Rosso,GAS,26,MEDIUM,1.0,98957000000,25.0,True,1,True
Toro Rosso,GAS,27,MEDIUM,1.0,99014000000,26.0,True,1,True
Toro Rosso,GAS,28,MEDIUM,1.0,99460000000,27.0,True,1,True
Toro Rosso,GAS,29,MEDIUM,1.0,103579000000,28.0,True,2,True
Toro Rosso,GAS,30,MEDIUM,1.0,100749000000,29.0,True,1,True
Toro Rosso,GAS,31,MEDIUM,1.0,137386000000,30.0,True,4,False
Toro Rosso,GAS,32,MEDIUM,1.0,None,31.0,True,4,False
Toro Rosso,GAS,33,MEDIUM,1.0,101092000000,32.0,True,4,False
Toro Rosso,GAS,34,MEDIUM,1.0,99478000000,33.0,True,4,False
Toro Rosso,GAS,35,MEDIUM,1.0,136392000000,34.0,True,4,False
Toro Rosso,GAS,36,MEDIUM,1.0,102461000000,35.0,True,1,False
Toro Rosso,GAS,37,MEDIUM,1.0,101631000000,36.0,True,1,True
Toro Rosso,GAS,38,MEDIUM,1.0,100225000000,37.0,True,1,True
Toro Rosso,GAS,39,MEDIUM,1.0,99098000000,38.0,True,1,True
Toro Rosso,GAS,40,MEDIUM,1.0,99285000000,39.0,True,1,True
Toro Rosso,GAS,41,MEDIUM,1.0,99102000000,40.0,True,1,True
Toro Rosso,GAS,42,MEDIUM,1.0,99228000000,41.0,True,1,True
Toro Rosso,GAS,43,MEDIUM,1.0,99157000000,42.0,True,2,True
Toro Rosso,GAS,44,MEDIUM,1.0,99360000000,43.0,True,1,True
Toro Rosso,GAS,45,MEDIUM,1.0,98989000000,44.0,True,1,True
Toro Rosso,GAS,46,MEDIUM,1.0,99199000000,45.0,True,1,True
Toro Rosso,GAS,47,SOFT,2.0,99215000000,1.0,True,1,True
Toro Rosso,GAS,48,ULTRASOFT,3.0,98538000000,1.0,True,1,True
Toro Rosso,GAS,49,ULTRASOFT,3.0,98818000000,2.0,True,1,True
Toro Rosso,GAS,50,ULTRASOFT,3.0,98741000000,3.0,True,1,True
Toro Rosso,GAS,51,ULTRASOFT,3.0,99423000000,4.0,True,1,True
Toro Rosso,GAS,52,ULTRASOFT,3.0,98447000000,5.0,True,1,True
Toro Rosso,GAS,53,ULTRASOFT,3.0,99015000000,6.0,True,1,True
Toro Rosso,GAS,54,ULTRASOFT,3.0,98367000000,7.0,True,1,True
Toro Rosso,GAS,55,ULTRASOFT,3.0,98764000000,8.0,True,1,True
Toro Rosso,GAS,56,ULTRASOFT,3.0,98916000000,9.0,True,1,True
