['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Haas F1 Team,GRO,2,ULTRASOFT,1.0,102127000000,4.0,False,1,True
Haas F1 Team,GRO,3,ULTRASOFT,1.0,100893000000,5.0,False,1,True
Haas F1 Team,GRO,4,ULTRASOFT,1.0,101175000000,6.0,False,1,True
Haas F1 Team,GRO,5,ULTRASOFT,1.0,101206000000,7.0,False,1,True
Haas F1 Team,GRO,6,ULTRASOFT,1.0,101806000000,8.0,False,1,True
Haas F1 Team,GRO,7,ULTRASOFT,1.0,101296000000,9.0,False,1,True
Haas F1 Team,GRO,8,ULTRASOFT,1.0,101283000000,10.0,False,1,True
Haas F1 Team,GRO,9,ULTRASOFT,1.0,100918000000,11.0,False,1,True
Haas F1 Team,GRO,10,ULTRASOFT,1.0,100485000000,12.0,False,1,True
Haas F1 Team,GRO,11,ULTRASOFT,1.0,100717000000,13.0,False,1,True
Haas F1 Team,GRO,12,ULTRASOFT,1.0,101432000000,14.0,False,1,True
Haas F1 Team,GRO,13,ULTRASOFT,1.0,100499000000,15.0,False,1,True
Haas F1 Team,GRO,14,ULTRASOFT,1.0,100654000000,16.0,False,1,True
Haas F1 Team,GRO,15,ULTRASOFT,1.0,100678000000,17.0,False,1,True
Haas F1 Team,GRO,16,ULTRASOFT,1.0,105320000000,18.0,False,1,False
Haas F1 Team,GRO,17,ULTRASOFT,1.0,118007000000,19.0,False,1,False
Haas F1 Team,GRO,18,ULTRASOFT,1.0,99850000000,20.0,False,1,True
Haas F1 Team,GRO,19,ULTRASOFT,1.0,100244000000,21.0,False,1,True
Haas F1 Team,GRO,20,ULTRASOFT,1.0,100015000000,22.0,False,1,True
Haas F1 Team,GRO,21,ULTRASOFT,1.0,99521000000,23.0,False,1,True
Haas F1 Team,GRO,22,ULTRASOFT,1.0,100095000000,24.0,False,1,True
Haas F1 Team,GRO,23,ULTRASOFT,1.0,99838000000,25.0,False,1,True
Haas F1 Team,GRO,24,ULTRASOFT,1.0,99754000000,26.0,False,1,True
Haas F1 Team,GRO,25,ULTRASOFT,1.0,101095000000,27.0,False,1,True
Haas F1 Team,GRO,26,ULTRASOFT,1.0,99355000000,28.0,False,1,True
Haas F1 Team,GRO,27,ULTRASOFT,1.0,99413000000,29.0,False,1,True
Haas F1 Team,GRO,28,ULTRASOFT,1.0,99327000000,30.0,False,1,True
Haas F1 Team,GRO,29,ULTRASOFT,1.0,99978000000,31.0,False,1,True
Haas F1 Team,GRO,30,ULTRASOFT,1.0,99695000000,32.0,False,2,True
Haas F1 Team,GRO,31,ULTRASOFT,1.0,125979000000,33.0,False,4,False
Haas F1 Team,GRO,32,ULTRASOFT,1.0,136443000000,34.0,False,4,False
Haas F1 Team,GRO,33,ULTRASOFT,1.0,111670000000,35.0,False,4,False
Haas F1 Team,GRO,34,ULTRASOFT,1.0,141898000000,36.0,False,4,False
Haas F1 Team,GRO,35,ULTRASOFT,1.0,145150000000,37.0,False,4,False
Haas F1 Team,GRO,36,ULTRASOFT,1.0,101973000000,38.0,False,1,False
Haas F1 Team,GRO,37,ULTRASOFT,1.0,99913000000,39.0,False,1,True
Haas F1 Team,GRO,38,ULTRASOFT,1.0,99503000000,40.0,False,1,True
Haas F1 Team,GRO,39,ULTRASOFT,1.0,99010000000,41.0,False,1,True
Haas F1 Team,GRO,40,ULTRASOFT,1.0,98787000000,42.0,False,1,True
Haas F1 Team,GRO,41,ULTRASOFT,1.0,98944000000,43.0,False,1,True
Haas F1 Team,GRO,42,ULTRASOFT,1.0,98776000000,44.0,False,1,True
Haas F1 Team,GRO,43,ULTRASOFT,1.0,98699000000,45.0,False,2,True
Haas F1 Team,GRO,44,ULTRASOFT,1.0,98704000000,46.0,False,1,True
Haas F1 Team,GRO,45,ULTRASOFT,1.0,99960000000,47.0,False,1,True
Haas F1 Team,GRO,46,ULTRASOFT,1.0,105401000000,48.0,False,1,False
Haas F1 Team,GRO,47,MEDIUM,3.0,117064000000,1.0,True,1,False
Haas F1 Team,GRO,48,MEDIUM,3.0,97712000000,2.0,True,1,True
Haas F1 Team,GRO,49,MEDIUM,3.0,98100000000,3.0,True,1,True
Haas F1 Team,GRO,50,MEDIUM,3.0,98058000000,4.0,True,1,True
Haas F1 Team,GRO,51,MEDIUM,3.0,97410000000,5.0,True,1,True
Haas F1 Team,GRO,52,MEDIUM,3.0,97483000000,6.0,True,1,True
Haas F1 Team,GRO,53,MEDIUM,3.0,97811000000,7.0,True,1,True
Haas F1 Team,GRO,54,MEDIUM,3.0,98221000000,8.0,True,1,True
Haas F1 Team,GRO,55,MEDIUM,3.0,97659000000,9.0,True,1,True
Haas F1 Team,GRO,56,MEDIUM,3.0,97990000000,10.0,True,1,True
